subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
math,2000,1000,50,48,0.419348,0.998982,0.590724
math,2001,1000,50,48,0.391469,0.999311,0.562561
math,2002,1094,50,47,0.398179,0.999076,0.569418
math,2003,1336,50,49,0.395069,0.999046,0.566226
math,2004,1611,50,48,0.393068,0.998959,0.564154
math,2005,1922,50,49,0.390884,0.999307,0.561956
math,2006,2345,50,50,0.335387,0.999623,0.502259
math,2007,2817,50,50,0.387439,0.999464,0.558411
math,2008,3098,50,50,0.387607,0.999503,0.558592
math,2009,3473,50,50,0.375753,0.999487,0.546174
math,2010,3973,50,50,0.408304,0.999573,0.57978
math,2011,4648,50,50,0.37498,0.999269,0.545325
math,2012,5295,50,50,0.408827,0.999475,0.580291
math,2013,6007,50,50,0.434565,0.999493,0.605756
math,2014,6481,50,50,0.432289,0.999375,0.60352
math,2015,7184,50,50,0.449812,0.999379,0.620391
math,2016,7650,50,50,0.465781,0.999291,0.635396
math,2017,8024,50,50,0.468531,0.999265,0.637945
math,2018,8503,50,50,0.472532,0.999369,0.641665
math,2019,9062,50,50,0.485197,0.999263,0.65322
math,2020,9990,50,50,0.492446,0.999317,0.659769
math,2021,10180,50,50,0.483158,0.999394,0.651397
math,2022,10164,50,50,0.473607,0.999444,0.642671
math,2023,10801,50,50,0.497803,0.999322,0.664561
math,2024,12863,50,50,0.527349,0.999345,0.690386
math,2025,16564,50,50,0.537515,0.999356,0.699042
