subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
physics,2000,1000,50,45,0.382708,0.998995,0.553409
physics,2001,1000,50,49,0.38117,0.998867,0.55178
physics,2002,1000,50,49,0.377143,0.99883,0.547542
physics,2003,1025,50,48,0.394402,0.999018,0.565536
physics,2004,1276,50,50,0.386104,0.998919,0.556939
physics,2005,1612,50,49,0.392292,0.999109,0.563378
physics,2006,1895,50,50,0.415381,0.999108,0.586799
physics,2007,2125,50,50,0.395151,0.998921,0.56629
physics,2008,2341,50,49,0.409734,0.998876,0.581103
physics,2009,2747,50,50,0.428162,0.998804,0.599383
physics,2010,3558,50,50,0.413984,0.999357,0.585447
physics,2011,4188,50,50,0.461048,0.999283,0.630977
physics,2012,5042,50,50,0.451283,0.99919,0.621753
physics,2013,5515,50,49,0.464848,0.999155,0.6345
physics,2014,5695,50,50,0.487929,0.999257,0.65569
physics,2015,6110,50,50,0.484071,0.99911,0.652166
physics,2016,6725,50,50,0.500005,0.999066,0.666463
physics,2017,7159,50,50,0.506079,0.99898,0.671818
physics,2018,8224,50,50,0.527603,0.999482,0.690636
physics,2019,9270,50,50,0.549551,0.999505,0.709179
physics,2020,10911,50,49,0.583266,0.999383,0.736621
physics,2021,10434,50,50,0.565764,0.999472,0.72253
physics,2022,10195,50,50,0.559024,0.999253,0.716954
physics,2023,10742,50,50,0.581837,0.999278,0.735451
physics,2024,11851,50,50,0.600349,0.999445,0.750116
physics,2025,14671,50,50,0.606212,0.999514,0.754696
