subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
cs,lda,image,emerging,emerging,True,0.238291,1.6e-05,0.5468,22,84.6
cs,lda,dataset,emerging,emerging,True,0.05641,0.0,0.7333,11,42.3
cs,lda,training,emerging,emerging,True,0.332308,0.0,0.7899,13,57.7
cs,lda,deep,emerging,emerging,True,0.25265,0.000621,0.3922,13,50.0
cs,lda,video,emerging,emerging,True,0.059487,0.004537,0.29,16,76.9
cs,lda,learning,emerging,emerging,True,1.063248,0.0,0.7631,26,100.0
cs,lda,llm,emerging,emerging,True,0.158291,0.025267,0.1917,2,7.7
cs,lda,human,emerging,emerging,True,0.093675,0.000812,0.3792,10,65.4
cs,lda,datum,emerging,stable,False,0.0,1.0,0.0,0,0.0
cs,lda,deep_learning,emerging,stable,False,0.0,1.0,0.0,0,0.0
cs,lda,detection,emerging,emerging,True,0.162051,2e-06,0.6149,12,57.7
cs,lda,prediction,emerging,emerging,True,0.077265,2e-06,0.6169,11,46.2
cs,lda,visual,emerging,emerging,True,0.085128,0.000145,0.4585,7,42.3
cs,lda,neural_network,emerging,stable,False,0.0,1.0,0.0,0,0.0
cs,lda,multi,emerging,emerging,True,0.052991,0.005133,0.2832,5,34.6
cs,lda,accuracy,emerging,emerging,True,0.042393,0.009093,0.2512,8,46.2
cs,lda,benchmark,emerging,emerging,True,0.015043,0.031143,0.1793,1,7.7
cs,lda,quality,emerging,emerging,True,0.06735,2.1e-05,0.5373,11,46.2
cs,lda,attention,emerging,emerging,True,0.075897,0.000153,0.4563,7,34.6
cs,lda,transformer,emerging,emerging,True,0.055385,0.004645,0.2887,4,15.4
cs,lda,network,stable,emerging,False,0.36,0.000263,0.4322,25,96.2
cs,lda,graph,stable,emerging,False,0.163419,0.0,0.6716,20,92.3
cs,lda,design,stable,stable,True,0.022906,0.219373,0.0622,4,50.0
cs,lda,knowledge,stable,stable,True,0.027009,0.2011,0.0672,7,46.2
cs,lda,space,stable,emerging,False,0.035556,0.004869,0.2861,4,46.2
cs,lda,distribution,stable,stable,True,0.000342,0.98772,0.0,7,69.2
cs,lda,communication,stable,stable,True,0.033846,0.091122,0.1143,7,65.4
cs,lda,control,stable,emerging,False,0.090256,0.001584,0.3457,15,73.1
cs,lda,rate,stable,stable,True,-0.004786,0.847759,0.0016,10,57.7
cs,lda,language,stable,emerging,False,0.168547,0.000465,0.4059,12,88.5
cs,lda,machine,stable,emerging,False,0.032479,0.028367,0.1848,7,38.5
cs,lda,key,stable,stable,True,0.02735,0.05485,0.1451,7,65.4
cs,lda,error,stable,emerging,False,0.052991,0.009865,0.2466,9,61.5
cs,lda,source,stable,stable,True,0.018803,0.206669,0.0656,6,61.5
cs,lda,environment,stable,stable,True,-0.007863,0.583479,0.0127,2,23.1
cs,lda,game,stable,stable,True,0.016752,0.140683,0.0882,16,84.6
cs,lda,optimal,stable,emerging,False,0.12547,0.0,0.6795,13,80.8
cs,lda,strategy,stable,stable,True,-0.002393,0.650192,0.0087,1,3.8
cs,lda,node,stable,emerging,False,0.06188,1.8e-05,0.5413,9,50.0
cs,lda,local,stable,emerging,False,0.014359,0.040591,0.1633,1,7.7
cs,lda,logic,decaying,stable,False,-0.02188,0.104857,0.1058,26,100.0
cs,lda,program,decaying,stable,False,-0.007521,0.665734,0.0079,5,38.5
cs,lda,algorithm,decaying,emerging,False,0.095726,0.012521,0.2329,26,100.0
cs,lda,quantum,decaying,decaying,True,-0.088889,0.008568,0.2546,26,100.0
cs,lda,theory,decaying,stable,False,0.022906,0.184964,0.072,11,73.1
cs,lda,programming,decaying,decaying,True,-0.081026,0.000147,0.4581,9,69.2
cs,lda,code,decaying,emerging,False,0.061197,2.5e-05,0.5294,21,92.3
cs,lda,rule,decaying,stable,False,0.0,1.0,0.0,0,0.0
cs,lda,complexity,decaying,decaying,True,-0.048205,0.020522,0.2041,4,65.4
cs,lda,constraint,decaying,decaying,True,-0.025983,0.029078,0.1834,1,11.5
cs,lda,polynomial,decaying,stable,False,0.011966,0.494549,0.0197,6,73.1
cs,lda,set,decaying,stable,False,0.012308,0.675596,0.0074,5,61.5
cs,lda,protocol,decaying,stable,False,-0.012308,0.516118,0.0178,7,42.3
cs,lda,computer,decaying,decaying,True,-0.026667,0.044924,0.1572,2,19.2
cs,lda,grid,decaying,decaying,True,-0.068376,0.005147,0.2831,7,34.6
cs,lda,proof,decaying,stable,False,0.01812,0.084505,0.1189,2,19.2
cs,lda,information,decaying,stable,False,0.022906,0.534417,0.0163,23,96.2
cs,lda,finite,decaying,emerging,False,0.02735,0.020834,0.2032,22,96.2
cs,lda,function,decaying,emerging,False,0.047863,0.005886,0.2757,2,26.9
cs,lda,database,decaying,stable,False,-0.029744,0.129405,0.0932,3,23.1
