subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,image,emerging,22,22,2004,26,84.6,87,3.95,"[0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 2, 3, 6, 4, 5, 6, 8, 7, 7, 5, 6, 4, 5, 4, 4, 3]",····██████████████████████
cs,dataset,emerging,11,11,2015,26,42.3,11,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",···············███████████
cs,training,emerging,13,15,2013,26,57.7,64,4.27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 3, 5, 4, 6, 6, 7, 7, 7, 7, 6]",·█·······█···█████████████
cs,deep,emerging,13,13,2013,26,50.0,57,4.38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 5, 8, 8, 9, 8, 6, 3, 3, 2, 1]",·············█████████████
cs,video,emerging,16,20,2010,26,76.9,28,1.4,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 1, 3, 1, 3, 2, 1, 1, 1, 2, 1, 1]",█····█·██·████████████████
cs,learning,emerging,26,26,2000,26,100.0,240,9.23,"[1, 2, 3, 2, 2, 2, 3, 1, 2, 2, 1, 4, 6, 3, 4, 4, 8, 14, 15, 20, 20, 26, 27, 25, 23, 20]",██████████████████████████
cs,llm,emerging,2,2,2024,26,7.7,19,9.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13]",························██
cs,human,emerging,10,17,2016,26,65.4,28,1.65,"[1, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 2, 1, 1, 2, 3, 1, 2, 2, 5]",█····███·█·█·█··██████████
cs,datum,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
cs,deep_learning,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
