subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,mathbb_mathbb,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,mathbb,emerging,21,25,2005,26,96.2,401,16.04,"[1, 1, 2, 2, 0, 3, 5, 3, 3, 6, 8, 7, 7, 8, 24, 27, 28, 27, 29, 29, 27, 30, 28, 30, 32, 34]",████·█████████████████████
math,graph,emerging,26,26,2000,26,100.0,41,1.58,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",██████████████████████████
math,optimization,emerging,16,20,2010,26,76.9,45,2.25,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 3, 3, 4, 3, 3, 3, 3]",···█·██·█·████████████████
math,mathcal_mathcal,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,algorithm,emerging,18,23,2008,26,88.5,59,2.57,"[0, 1, 1, 2, 0, 2, 1, 0, 3, 2, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3]",·███·██·██████████████████
math,mathcal,emerging,22,25,2004,26,96.2,277,11.08,"[1, 1, 1, 0, 1, 5, 3, 2, 5, 5, 2, 6, 5, 6, 14, 15, 17, 17, 17, 20, 21, 20, 23, 25, 24, 21]",███·██████████████████████
math,numerical,emerging,22,22,2004,26,84.6,22,1.0,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",····██████████████████████
math,stochastic,emerging,22,23,2004,26,88.5,39,1.7,"[0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2]",·█··██████████████████████
math,network,emerging,16,17,2010,26,65.4,19,1.12,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1]",······█···████████████████
math,optimal,emerging,16,19,2010,26,73.1,34,1.79,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 2, 2, 1, 1, 2, 3, 1, 2, 3, 2, 3, 3, 2]",·····███··████████████████
math,convergence,emerging,19,21,2007,26,80.8,35,1.67,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 2]",····██·███████████████████
math,datum,emerging,1,1,2003,26,3.8,1,1.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",···█······················
math,control,emerging,22,24,2004,26,92.3,27,1.12,"[0, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",·██·██████████████████████
math,frac,emerging,24,24,2002,26,92.3,119,4.96,"[0, 0, 1, 1, 2, 2, 2, 1, 1, 3, 2, 4, 3, 5, 6, 7, 6, 9, 8, 6, 8, 8, 7, 7, 9, 11]",··████████████████████████
math,approximation,emerging,3,5,2008,26,19.2,6,1.2,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",·····█··███·········█·····
