subject,num_topics,alpha,eta,passes,iterations,chunksize,random_state,workers,coherence_cv,irbo_mean,topic_quality,time_seconds
math,50,asymmetric,auto,15,50,2000,42,5,0.5991670900820325,0.9950052852623731,0.7479422308495353,105.3
math,50,asymmetric,auto,15,150,2000,42,5,0.5828800308862475,0.9958619115240116,0.7353551662298338,106.0
math,50,asymmetric,0.01,15,50,2000,42,5,0.5936292755501329,0.9946678952949272,0.7435182696733562,105.2
math,50,asymmetric,0.01,15,150,2000,42,5,0.583697434155584,0.9961027821596968,0.7360710956958357,105.4
math,50,0.01,auto,15,50,2000,42,5,0.5911001710634401,0.9949875985700816,0.7416201687964223,94.1
math,50,0.01,auto,15,150,2000,42,5,0.5813511885582497,0.9959166461927753,0.7341522006761882,94.9
math,50,0.01,0.01,15,50,2000,42,5,0.5959654066285741,0.9946146860182916,0.745333037338905,104.4
math,50,0.01,0.01,15,150,2000,42,5,0.5864703414981313,0.9950031839150555,0.7379698081381804,106.4
math,75,asymmetric,auto,15,50,2000,42,5,0.5269204633595683,0.9967388027157141,0.6893956981973628,148.2
math,75,asymmetric,auto,15,150,2000,42,5,0.5289699914735363,0.9965345468764658,0.6910983973007172,154.1
math,75,asymmetric,0.01,15,50,2000,42,5,0.5265038439607264,0.99691538551322,0.6890812094547955,119.2
math,75,asymmetric,0.01,15,150,2000,42,5,0.5289567699601176,0.9966773750184943,0.6911214549271935,119.5
math,75,0.01,auto,15,50,2000,42,5,0.5406141169276855,0.9969367777136446,0.7010604950961561,148.3
math,75,0.01,auto,15,150,2000,42,5,0.5396882702730726,0.9965175017408263,0.7001780837033392,152.5
math,75,0.01,0.01,15,50,2000,42,5,0.5384082272903474,0.9971915282482625,0.6992657052159841,120.2
math,75,0.01,0.01,15,150,2000,42,5,0.5428964206189706,0.9965807861197684,0.7028881483581209,118.5
math,150,asymmetric,auto,15,50,2000,42,5,0.4606632227183896,0.9987894289677488,0.6305179638870407,138.0
math,150,asymmetric,auto,15,150,2000,42,5,0.4529222205779043,0.998115055967444,0.6230970008121439,134.1
math,150,asymmetric,0.01,15,50,2000,42,5,0.4602828123762319,0.998785120808608,0.6301606853381256,148.6
math,150,asymmetric,0.01,15,150,2000,42,5,0.4511890775284575,0.998156719244884,0.6214630219890315,144.0
math,150,0.01,auto,15,50,2000,42,5,0.46549663061360597,0.9986714654473422,0.6350066000022155,143.1
math,150,0.01,auto,15,150,2000,42,5,0.45767934260879334,0.9985869601286622,0.6276772628608931,141.1
math,150,0.01,0.01,15,50,2000,42,5,0.46564450621324305,0.99872115603702,0.6351542262100648,155.6
math,150,0.01,0.01,15,150,2000,42,5,0.4501131308849596,0.9986317432429491,0.6205333576386522,153.3
