model,category,n_keywords,n_captured,capture_pct,avg_span_paper,avg_span_simple
DTM,all,150,76,50.67,0.00078943,14.0526
DTM,emerging,50,22,44.0,0.000545,9.9091
DTM,stable,50,29,58.0,0.00092979,18.5172
DTM,decaying,50,25,50.0,0.00084172,12.52
LDA,all,150,91,60.67,0.00147368,18.6264
LDA,emerging,50,30,60.0,0.00111947,16.9
LDA,stable,50,26,52.0,0.00116873,21.6154
LDA,decaying,50,35,70.0,0.00200383,17.8857
Top2Vec,all,150,94,62.67,0.00156683,17.2447
Top2Vec,emerging,50,31,62.0,0.0009721,13.7419
Top2Vec,stable,50,28,56.0,0.00102964,18.5357
Top2Vec,decaying,50,35,70.0,0.00252334,19.3143
BERTopic,all,150,136,90.67,0.00098704,11.5809
BERTopic,emerging,50,49,98.0,0.00085376,12.9184
BERTopic,stable,50,39,78.0,0.00043613,9.3846
BERTopic,decaying,50,48,96.0,0.00157071,12.0
TopicGPT,all,150,88,58.67,0.00118608,13.0114
TopicGPT,emerging,50,28,56.0,0.00071789,10.2857
TopicGPT,stable,50,26,52.0,0.00068773,12.8077
TopicGPT,decaying,50,34,68.0,0.00195274,15.4118
