model,category,n_keywords,n_captured,capture_pct,avg_span_paper,avg_span_simple
DTM,all,90,76,84.4,0.00070314,15.2632
DTM,emerging,30,25,83.3,0.00060928,10.56
DTM,stable,30,30,100.0,0.0007832,21.9667
DTM,decaying,30,21,70.0,0.00070052,11.2857
LDA,all,90,70,77.8,0.0012082,13.0143
LDA,emerging,30,21,70.0,0.00084395,10.6667
LDA,stable,30,24,80.0,0.00064217,17.2083
LDA,decaying,30,25,83.3,0.00205756,10.96
Top2Vec,all,90,79,87.8,0.00162422,14.0127
Top2Vec,emerging,30,23,76.7,0.00110252,12.8696
Top2Vec,stable,30,28,93.3,0.00053825,14.5357
Top2Vec,decaying,30,28,93.3,0.00313871,14.4286
BERTopic,all,90,79,87.8,0.00194527,14.5949
BERTopic,emerging,30,23,76.7,0.00118474,13.6087
BERTopic,stable,30,28,93.3,0.00053429,14.1429
BERTopic,decaying,30,28,93.3,0.00398096,15.8571
