model,subject,trend,rank,word,freq,n_topics_in_category
BERTopic,math,GROWING,1,solutions,107,59
BERTopic,math,GROWING,2,equations,90,59
BERTopic,math,GROWING,3,equation,82,59
BERTopic,math,GROWING,4,control,77,59
BERTopic,math,GROWING,5,game,60,59
BERTopic,math,GROWING,6,convex,60,59
BERTopic,math,GROWING,7,method,57,59
BERTopic,math,GROWING,8,network,56,59
BERTopic,math,GROWING,9,algorithm,55,59
BERTopic,math,GROWING,10,numerical,54,59
BERTopic,math,GROWING,11,games,53,59
BERTopic,math,GROWING,12,optimization,53,59
BERTopic,math,GROWING,13,networks,52,59
BERTopic,math,GROWING,14,stochastic,51,59
BERTopic,math,GROWING,15,model,49,59
BERTopic,math,GROWING,16,boundary,45,59
BERTopic,math,GROWING,17,system,43,59
BERTopic,math,GROWING,18,mean,42,59
BERTopic,math,GROWING,19,methods,41,59
BERTopic,math,GROWING,20,flow,41,59
BERTopic,math,STABLE,1,random,85,49
BERTopic,math,STABLE,2,category,51,49
BERTopic,math,STABLE,3,processes,50,49
BERTopic,math,STABLE,4,categories,49,49
BERTopic,math,STABLE,5,process,49,49
BERTopic,math,STABLE,6,matrices,46,49
BERTopic,math,STABLE,7,topological,42,49
BERTopic,math,STABLE,8,maps,41,49
BERTopic,math,STABLE,9,series,39,49
BERTopic,math,STABLE,10,sets,39,49
BERTopic,math,STABLE,11,distribution,38,49
BERTopic,math,STABLE,12,periodic,36,49
BERTopic,math,STABLE,13,quantum,36,49
BERTopic,math,STABLE,14,matrix,36,49
BERTopic,math,STABLE,15,numbers,36,49
BERTopic,math,STABLE,16,groups,36,49
BERTopic,math,STABLE,17,mathcal,35,49
BERTopic,math,STABLE,18,group,34,49
BERTopic,math,STABLE,19,ell,32,49
BERTopic,math,STABLE,20,modules,32,49
BERTopic,math,DECLINING,1,algebra,123,42
BERTopic,math,DECLINING,2,algebras,117,42
BERTopic,math,DECLINING,3,lie,75,42
BERTopic,math,DECLINING,4,manifolds,63,42
BERTopic,math,DECLINING,5,surfaces,51,42
BERTopic,math,DECLINING,6,group,50,42
BERTopic,math,DECLINING,7,curvature,50,42
BERTopic,math,DECLINING,8,mathcal,48,42
BERTopic,math,DECLINING,9,operators,47,42
BERTopic,math,DECLINING,10,curves,47,42
BERTopic,math,DECLINING,11,polynomials,45,42
BERTopic,math,DECLINING,12,homology,45,42
BERTopic,math,DECLINING,13,mathfrak,45,42
BERTopic,math,DECLINING,14,operator,44,42
BERTopic,math,DECLINING,15,quantum,43,42
BERTopic,math,DECLINING,16,mathbb,42,42
BERTopic,math,DECLINING,17,invariants,40,42
BERTopic,math,DECLINING,18,banach,37,42
BERTopic,math,DECLINING,19,varieties,36,42
BERTopic,math,DECLINING,20,metric,36,42
