model,subject,trend,rank,word,freq,n_topics_in_category
TopicGPT,math,GROWING,1,categories,41,33
TopicGPT,math,GROWING,2,fractional,36,33
TopicGPT,math,GROWING,3,hardy,35,33
TopicGPT,math,GROWING,4,diffusion,29,33
TopicGPT,math,GROWING,5,network,27,33
TopicGPT,math,GROWING,6,optimization,26,33
TopicGPT,math,GROWING,7,operads,25,33
TopicGPT,math,GROWING,8,primes,24,33
TopicGPT,math,GROWING,9,networks,24,33
TopicGPT,math,GROWING,10,sobolev,23,33
TopicGPT,math,GROWING,11,category,23,33
TopicGPT,math,GROWING,12,mcmc,22,33
TopicGPT,math,GROWING,13,hausdorff,22,33
TopicGPT,math,GROWING,14,control,22,33
TopicGPT,math,GROWING,15,queue,21,33
TopicGPT,math,GROWING,16,monte,21,33
TopicGPT,math,GROWING,17,carlo,21,33
TopicGPT,math,GROWING,18,nonlocal,21,33
TopicGPT,math,GROWING,19,inequalities,20,33
TopicGPT,math,GROWING,20,functors,19,33
TopicGPT,math,STABLE,1,modular,65,50
TopicGPT,math,STABLE,2,galois,63,50
TopicGPT,math,STABLE,3,adic,57,50
TopicGPT,math,STABLE,4,banach,44,50
TopicGPT,math,STABLE,5,walk,44,50
TopicGPT,math,STABLE,6,forms,43,50
TopicGPT,math,STABLE,7,hecke,42,50
TopicGPT,math,STABLE,8,motivic,40,50
TopicGPT,math,STABLE,9,iwasawa,30,50
TopicGPT,math,STABLE,10,maass,29,50
TopicGPT,math,STABLE,11,zeta,28,50
TopicGPT,math,STABLE,12,walks,27,50
TopicGPT,math,STABLE,13,siegel,27,50
TopicGPT,math,STABLE,14,ensembles,26,50
TopicGPT,math,STABLE,15,ramanujan,26,50
TopicGPT,math,STABLE,16,geodesics,24,50
TopicGPT,math,STABLE,17,temperature,24,50
TopicGPT,math,STABLE,18,k3,24,50
TopicGPT,math,STABLE,19,permutations,24,50
TopicGPT,math,STABLE,20,quiver,24,50
TopicGPT,math,DECLINING,1,knot,53,41
TopicGPT,math,DECLINING,2,symplectic,51,41
TopicGPT,math,DECLINING,3,knots,49,41
TopicGPT,math,DECLINING,4,hopf,49,41
TopicGPT,math,DECLINING,5,contact,45,41
TopicGPT,math,DECLINING,6,ideals,44,41
TopicGPT,math,DECLINING,7,foliations,43,41
TopicGPT,math,DECLINING,8,foliation,42,41
TopicGPT,math,DECLINING,9,fano,42,41
TopicGPT,math,DECLINING,10,bundles,38,41
TopicGPT,math,DECLINING,11,hodge,37,41
TopicGPT,math,DECLINING,12,superalgebra,32,41
TopicGPT,math,DECLINING,13,superalgebras,32,41
TopicGPT,math,DECLINING,14,ideal,31,41
TopicGPT,math,DECLINING,15,toric,30,41
TopicGPT,math,DECLINING,16,moduli,29,41
TopicGPT,math,DECLINING,17,ricci,29,41
TopicGPT,math,DECLINING,18,dirac,28,41
TopicGPT,math,DECLINING,19,macaulay,28,41
TopicGPT,math,DECLINING,20,sheaves,27,41
