subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
cs,2000,2001,49,2,"[28, 49]","[0.2198, 0.5653]","grammar, xml, circularity, language, reduplication, finite, tape, 2q1cas, qpa, numeration"
cs,2000,2001,79,2,"[38, 79]","[0.2703, 0.4472]","agent, maxi, observable, game, cooperative, policy, adjustment, belief, search, soccer"
cs,2000,2001,50,2,"[50, 288]","[0.5884, 0.2686]","program, debugger, debugging, aadebug, revision, grammar, execution, assertion, instrumentation, ilog"
cs,2000,2001,55,2,"[55, 76]","[0.8938, 0.4147]","logic, program, programming, termination, constraint, semantic, rule, language, prolog, reasoning"
cs,2000,2001,82,2,"[82, 111]","[0.7004, 0.2769]","document, retrieval, irex, ntcir2, gsa, query, information, enhenced, ntcir1, logical"
cs,2000,2001,250,2,"[180, 250]","[0.3274, 0.3835]","homology, branching, spaceship, spm, cellular_automata, cellular_automaton, globular, automata, quantum, combinatoric"
cs,2000,2001,265,2,"[265, 277]","[0.5055, 0.3686]","mining, rule, association, datum, web, site, database, filter, supermarket, alarm"
cs,2001,2002,120,2,"[12, 120]","[0.2956, 0.5552]","rbf, wavelet, identification, dimension, dfw, complexity, orthonormal, ridgelet, continuous, finite"
cs,2001,2002,246,3,"[18, 145, 246]","[0.209, 0.2372, 0.3147]","cable, internet, access, incumbent, broadband, market, domestic, facility, wholesale, medium"
cs,2001,2002,32,2,"[32, 187]","[0.3042, 0.4687]","selectional_preference, word_sense_disambiguation, verb, wordnet, duluth, word, senseval, sens, class, lexical"
cs,2001,2002,129,2,"[49, 129]","[0.3138, 0.7109]","grammar, sentence, parser, corpus, parsing, semantic, discourse, parse, language, anaphora"
cs,2001,2002,89,2,"[89, 277]","[0.5691, 0.2198]","tic, mining, induction, datum, matrix, tree, bipartite, correspondence, kernel, scarce"
cs,2002,2003,1,2,"[1, 200]","[0.6179, 0.4486]","graph, vertex, edge, hbox_hbox, cycle, algorithm, tree, gale, connectivity, hausdorff"
cs,2002,2003,214,2,"[15, 214]","[0.3406, 0.2646]","speech_recognition, speech, context, kullback_leibler, algorithm, kullback_leibler_divergence, domain, article, speaker, weather"
cs,2002,2003,38,2,"[38, 197]","[0.8078, 0.2703]","agent, interface, server, briefcase, trading, language, trade, action, selection, today"
cs,2002,2003,41,2,"[41, 97]","[0.5234, 0.2703]","object, language, software, specification, athena, persistency, oocp, weave, program, tool"
cs,2002,2003,218,3,"[60, 120, 218]","[0.2703, 0.2703, 0.7099]","rbf, rbfs, manifold, gmst, geodesic, radial_basis, distance, function, mst, dependent"
cs,2002,2003,91,2,"[65, 91]","[0.2372, 0.4591]","web, ontology, babar, service, language, semantic, information, resource, datum, oai"
cs,2002,2003,116,2,"[83, 116]","[0.3742, 0.5361]","grid, service, datum, resource, management, cluster, babar, file, computing, software"
cs,2002,2003,95,2,"[95, 113]","[0.6836, 0.2703]","quantum, quantum_circuit, circuit, computer, unitary, bdd, elementary, sound, matrix, gate"
cs,2002,2003,170,2,"[124, 170]","[0.2703, 0.3956]","keyphrase, factorization, document, lattice, extraction, factored, web, enhancement, kea, indexing"
cs,2002,2003,265,2,"[252, 265]","[0.3372, 0.5609]","mining, redescription, association, datum, rule, frequent_itemset, distortion, database, algorithm, cartwheel"
cs,2003,2004,10,2,"[10, 120]","[0.658, 0.2138]","polynomial, algebraic, tensor, fibonomial_coefficient, function, pthree, symmetry, algebra, curve, algorithm"
cs,2003,2004,100,2,"[63, 100]","[0.2703, 0.5406]","algorithm, service, allocation, middleman, agent, bidding, tsp, market, toll, balanced_separator"
cs,2003,2004,178,2,"[136, 178]","[0.3956, 0.3512]","query, disjunctive_paraconsistent, database, disjunctive, relational, paraconsistent_intuitionistic, deductive, relation, xml, winnow"
cs,2003,2004,214,2,"[168, 214]","[0.2138, 0.4991]","speech, lecture, speech_recognition, speaker, inspire, context, smart_home, kullback_leibler, algorithm, mllr"
cs,2004,2005,1,2,"[1, 200]","[0.7163, 0.3503]","graph, vertex, edge, algorithm, king, cycle, digraph, poset, tree, homomorphism"
cs,2004,2005,20,2,"[20, 118]","[0.309, 0.3138]","robot, milp, control, nonlinear, trajectory, tracking, rigid, horizon, link, motion"
cs,2004,2005,50,2,"[50, 61]","[0.209, 0.209]","reuse, software, path, program, domain, white_box, code, substitute, right, culture"
cs,2004,2005,102,2,"[79, 102]","[0.3686, 0.3629]","agent, network, protocol, robot, awake, stabilization, synchronization, skeptic, processor, semaphore"
cs,2004,2005,95,2,"[95, 113]","[0.5005, 0.2703]","quantum, computer, cmos, processor, algorithm, rsvp, quantum_circuit, proportional, circuit, cqpl"
cs,2004,2005,103,2,"[100, 103]","[0.2703, 0.379]","algorithm, sequence, compression, string, dna, van_emde_boas, query, search, insertion, alpha"
cs,2004,2005,114,2,"[114, 224]","[0.4007, 0.2138]","presynaptic, neuron, spike, assembly, biological, nnamm, memory, neural_network, aftereffect, astrocyte"
cs,2004,2005,182,2,"[139, 182]","[0.2703, 0.9613]","wireless, sensor, ethernet, network, contextawareness, tinyos, mote, awareness, pda, wird"
cs,2004,2005,143,2,"[143, 146]","[0.2475, 0.2703]","engagement, robot, gesture, painting, interaction, human, interactor, engaged, canvas, swarm"
cs,2004,2005,198,2,"[198, 214]","[0.2667, 0.2703]","speech, rule, linguistic, lexical, language, frequency, word, zipf_law, human, code"
