subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_disappear
cs,2000,2001,125,123,51,23,14,37,7,42,40.8,18.4,11.2,29.6
cs,2001,2002,123,135,39,38,11,35,5,53,31.71,30.89,8.94,28.46
cs,2002,2003,135,145,35,48,21,31,10,52,25.93,35.56,15.56,22.96
cs,2003,2004,145,166,55,50,8,32,4,57,37.93,34.48,5.52,22.07
cs,2004,2005,166,164,51,52,20,43,10,51,30.72,31.33,12.05,25.9
cs,2005,2006,164,162,48,60,4,52,2,52,29.27,36.59,2.44,31.71
cs,2006,2007,162,163,48,49,10,55,4,62,29.63,30.25,6.17,33.95
cs,2007,2008,163,167,58,52,6,47,3,54,35.58,31.9,3.68,28.83
cs,2008,2009,167,174,53,51,24,39,12,58,31.74,30.54,14.37,23.35
cs,2009,2010,174,196,78,50,15,31,7,61,44.83,28.74,8.62,17.82
cs,2010,2011,196,202,80,53,16,47,8,61,40.82,27.04,8.16,23.98
cs,2011,2012,202,238,110,64,12,16,6,58,54.46,31.68,5.94,7.92
cs,2012,2013,238,245,124,78,15,21,7,36,52.1,32.77,6.3,8.82
cs,2013,2014,245,252,148,51,26,20,13,40,60.41,20.82,10.61,8.16
cs,2014,2015,252,280,171,53,10,18,5,51,67.86,21.03,3.97,7.14
cs,2015,2016,280,292,207,50,14,9,7,28,73.93,17.86,5.0,3.21
cs,2016,2017,292,300,237,44,4,7,2,17,81.16,15.07,1.37,2.4
cs,2017,2018,300,303,261,30,6,3,3,9,87.0,10.0,2.0,1.0
cs,2018,2019,303,304,270,25,6,2,3,6,89.11,8.25,1.98,0.66
cs,2019,2020,304,305,289,13,2,0,1,2,95.07,4.28,0.66,0.0
cs,2020,2021,305,304,294,9,0,2,0,1,96.39,2.95,0.0,0.66
cs,2021,2022,304,305,293,9,2,0,1,2,96.38,2.96,0.66,0.0
cs,2022,2023,305,305,299,4,2,0,1,1,98.03,1.31,0.66,0.0
cs,2023,2024,305,305,302,3,0,0,0,0,99.02,0.98,0.0,0.0
cs,2024,2025,305,305,304,1,0,0,0,0,99.67,0.33,0.0,0.0
