subject,year_from,year_to,avg_sim,avg_drift,n_topics
cs,2000,2001,0.6,0.4,74
cs,2001,2002,0.5682926829268293,0.4317073170731707,82
cs,2002,2003,0.5642105263157895,0.4357894736842105,95
cs,2003,2004,0.5656862745098039,0.43431372549019603,102
cs,2004,2005,0.5548387096774193,0.44516129032258067,124
cs,2005,2006,0.5418032786885245,0.4581967213114754,122
cs,2006,2007,0.5575221238938053,0.4424778761061947,113
cs,2007,2008,0.565,0.435,120
cs,2008,2009,0.5888888888888889,0.4111111111111111,126
cs,2009,2010,0.6210144927536232,0.3789855072463768,138
cs,2010,2011,0.6337931034482759,0.36620689655172417,145
cs,2011,2012,0.653179190751445,0.3468208092485549,173
cs,2012,2013,0.6628865979381443,0.3371134020618557,194
cs,2013,2014,0.696,0.30400000000000005,200
cs,2014,2015,0.7046728971962617,0.2953271028037383,214
cs,2015,2016,0.7392405063291139,0.2607594936708861,237
cs,2016,2017,0.7780487804878049,0.22195121951219512,246
cs,2017,2018,0.815810276679842,0.18418972332015812,253
cs,2018,2019,0.8396887159533074,0.16031128404669262,257
cs,2019,2020,0.8705426356589147,0.12945736434108526,258
cs,2020,2021,0.8832684824902723,0.11673151750972763,257
cs,2021,2022,0.898062015503876,0.10193798449612404,258
cs,2022,2023,0.8942084942084941,0.1057915057915058,259
cs,2023,2024,0.8918918918918919,0.10810810810810811,259
cs,2024,2025,0.9061776061776062,0.09382239382239382,259
