subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
math,2000,2001,147,155,54,68,2,0,23,1,31,36.73,46.26,1.36,0.0,15.65
math,2001,2002,155,158,46,80,4,0,25,2,28,29.68,51.61,2.58,0.0,16.13
math,2002,2003,158,164,65,61,8,0,24,4,30,41.14,38.61,5.06,0.0,15.19
math,2003,2004,164,171,79,61,10,0,14,5,22,48.17,37.2,6.1,0.0,8.54
math,2004,2005,171,180,68,84,4,0,15,2,25,39.77,49.12,2.34,0.0,8.77
math,2005,2006,180,188,93,72,8,0,7,4,15,51.67,40.0,4.44,0.0,3.89
math,2006,2007,188,190,93,82,6,0,7,3,9,49.47,43.62,3.19,0.0,3.72
math,2007,2008,190,190,105,71,8,0,6,4,6,55.26,37.37,4.21,0.0,3.16
math,2008,2009,190,193,111,61,6,0,12,3,15,58.42,32.11,3.16,0.0,6.32
math,2009,2010,193,193,116,70,4,0,3,2,3,60.1,36.27,2.07,0.0,1.55
math,2010,2011,193,195,124,65,2,0,2,1,4,64.25,33.68,1.04,0.0,1.04
math,2011,2012,195,196,137,55,2,0,1,1,2,70.26,28.21,1.03,0.0,0.51
math,2012,2013,196,196,151,42,2,0,1,1,1,77.04,21.43,1.02,0.0,0.51
math,2013,2014,196,196,161,35,0,0,0,0,0,82.14,17.86,0.0,0.0,0.0
math,2014,2015,196,196,165,31,0,0,0,0,0,84.18,15.82,0.0,0.0,0.0
math,2015,2016,196,196,166,30,0,0,0,0,0,84.69,15.31,0.0,0.0,0.0
math,2016,2017,196,196,172,24,0,0,0,0,0,87.76,12.24,0.0,0.0,0.0
math,2017,2018,196,196,179,17,0,0,0,0,0,91.33,8.67,0.0,0.0,0.0
math,2018,2019,196,196,182,14,0,0,0,0,0,92.86,7.14,0.0,0.0,0.0
math,2019,2020,196,196,184,12,0,0,0,0,0,93.88,6.12,0.0,0.0,0.0
math,2020,2021,196,196,179,17,0,0,0,0,0,91.33,8.67,0.0,0.0,0.0
math,2021,2022,196,196,184,12,0,0,0,0,0,93.88,6.12,0.0,0.0,0.0
math,2022,2023,196,196,185,11,0,0,0,0,0,94.39,5.61,0.0,0.0,0.0
math,2023,2024,196,196,189,7,0,0,0,0,0,96.43,3.57,0.0,0.0,0.0
math,2024,2025,196,196,188,8,0,0,0,0,0,95.92,4.08,0.0,0.0,0.0
