subject,topic_id,year_from,year_to,cosine_sim,drift
math,0,2000,2001,0.7,0.3
math,1,2000,2001,0.7,0.3
math,2,2000,2001,0.4,0.6
math,3,2000,2001,0.6,0.4
math,4,2000,2001,0.8,0.2
math,5,2000,2001,0.6,0.4
math,6,2000,2001,0.8,0.2
math,7,2000,2001,0.7,0.3
math,8,2000,2001,0.6,0.4
math,9,2000,2001,0.6,0.4
math,10,2000,2001,0.5,0.5
math,11,2000,2001,0.8,0.2
math,13,2000,2001,0.7,0.3
math,14,2000,2001,0.8,0.2
math,15,2000,2001,0.5,0.5
math,16,2000,2001,0.6,0.4
math,17,2000,2001,0.7,0.3
math,18,2000,2001,0.9,0.1
math,19,2000,2001,0.9,0.1
math,20,2000,2001,0.5,0.5
math,21,2000,2001,0.4,0.6
math,22,2000,2001,0.6,0.4
math,23,2000,2001,0.8,0.2
math,24,2000,2001,0.7,0.3
math,25,2000,2001,0.7,0.3
math,26,2000,2001,0.7,0.3
math,28,2000,2001,0.4,0.6
math,29,2000,2001,0.9,0.1
math,30,2000,2001,0.5,0.5
math,31,2000,2001,0.7,0.3
math,32,2000,2001,0.8,0.2
math,33,2000,2001,0.4,0.6
math,34,2000,2001,0.8,0.2
math,36,2000,2001,0.8,0.2
math,37,2000,2001,0.7,0.3
math,38,2000,2001,0.5,0.5
math,39,2000,2001,0.4,0.6
math,40,2000,2001,0.5,0.5
math,41,2000,2001,0.7,0.3
math,42,2000,2001,0.7,0.3
math,43,2000,2001,0.7,0.3
math,44,2000,2001,0.6,0.4
math,45,2000,2001,0.7,0.3
math,46,2000,2001,0.7,0.3
math,47,2000,2001,0.8,0.2
math,48,2000,2001,0.7,0.3
math,51,2000,2001,0.7,0.3
math,52,2000,2001,0.8,0.2
math,53,2000,2001,0.7,0.3
math,54,2000,2001,0.4,0.6
math,55,2000,2001,0.5,0.5
math,57,2000,2001,0.8,0.2
math,58,2000,2001,0.8,0.2
math,59,2000,2001,0.7,0.3
math,60,2000,2001,0.5,0.5
math,61,2000,2001,0.8,0.2
math,62,2000,2001,0.2,0.8
math,63,2000,2001,0.8,0.2
math,64,2000,2001,0.8,0.2
math,65,2000,2001,0.7,0.3
math,66,2000,2001,0.8,0.2
math,67,2000,2001,0.6,0.4
math,68,2000,2001,0.5,0.5
math,69,2000,2001,0.7,0.3
math,70,2000,2001,0.2,0.8
math,71,2000,2001,0.5,0.5
math,72,2000,2001,0.3,0.7
math,75,2000,2001,0.7,0.3
math,76,2000,2001,0.6,0.4
math,78,2000,2001,0.6,0.4
