subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
math,0,0.496,0.0,0.504,1.0
math,1,0.7240000000000001,0.3,0.276,0.7
math,2,0.684,0.3,0.316,0.7
math,3,0.52,0.0,0.48,1.0
math,4,0.444,0.0,0.556,1.0
math,5,0.44166666666666665,0.0,0.5583333333333333,1.0
math,6,0.488,0.0,0.512,1.0
math,7,0.324,0.0,0.6759999999999999,1.0
math,8,0.596,0.2,0.40399999999999997,0.8
math,9,0.44799999999999995,0.0,0.552,1.0
math,10,0.568,0.3,0.43200000000000005,0.7
math,11,0.38,0.1,0.62,0.9
math,12,0.428,0.2,0.572,0.8
math,13,0.408,0.0,0.5920000000000001,1.0
math,14,0.528,0.1,0.47200000000000003,0.9
math,15,0.596,0.3,0.40399999999999997,0.7
math,16,0.5880000000000001,0.2,0.41200000000000003,0.8
math,17,0.47600000000000003,0.1,0.524,0.9
math,18,0.612,0.4,0.38799999999999996,0.6
math,19,0.34,0.0,0.66,1.0
math,20,0.452,0.0,0.5479999999999999,1.0
math,21,0.488,0.2,0.512,0.8
math,22,0.41200000000000003,0.0,0.588,1.0
math,23,0.472,0.0,0.528,1.0
math,24,0.544,0.0,0.456,1.0
math,25,0.52,0.1,0.48,0.9
math,26,0.456,0.1,0.544,0.9
math,27,0.616,0.1,0.384,0.9
math,28,0.496,0.2,0.504,0.8
math,29,0.46,0.2,0.54,0.8
math,30,0.316,0.0,0.684,1.0
math,31,0.5434782608695652,0.1,0.45652173913043476,0.9
math,32,0.5285714285714286,0.0,0.4714285714285714,1.0
math,33,0.41333333333333333,0.0,0.5866666666666667,1.0
math,34,0.392,0.1,0.608,0.9
math,35,0.572,0.1,0.428,0.9
math,36,0.36,0.1,0.64,0.9
math,37,0.436,0.2,0.564,0.8
math,38,0.424,0.2,0.5760000000000001,0.8
math,39,0.48,0.0,0.52,1.0
math,40,0.5519999999999999,0.0,0.44799999999999995,1.0
math,41,0.512,0.0,0.488,1.0
math,42,0.35200000000000004,0.1,0.648,0.9
math,43,0.3909090909090909,0.0,0.6090909090909091,1.0
math,44,0.47600000000000003,0.0,0.524,1.0
math,45,0.396,0.1,0.604,0.9
math,46,0.384,0.0,0.616,1.0
math,47,0.37200000000000005,0.0,0.628,1.0
math,48,0.4772727272727273,0.1,0.5227272727272727,0.9
math,49,0.456,0.2,0.544,0.8
math,50,0.524,0.0,0.47600000000000003,1.0
