subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
math,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.868793,0.131207,"bundles, curves, moduli, projective, smooth, surfaces, varieties, toric, k3, variety, curve, algebraic, surface","bundles, curves, k3, moduli, projective, smooth, surfaces, varieties, mathbb, surface, curve, toric"
math,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.889769,0.110231,"bundles, curves, k3, moduli, projective, smooth, surfaces, varieties, mathbb, surface, curve, toric","bundles, curves, k3, mathbb, moduli, projective, surfaces, varieties, smooth, surface, variety, mathcal"
math,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.922318,0.077682,"bundles, curves, k3, mathbb, moduli, projective, surfaces, varieties, smooth, surface, variety, mathcal","bundles, curves, k3, mathbb, mathcal, moduli, projective, surfaces, varieties, smooth, fano, variety"
math,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.996126,0.003874,"bundles, curves, k3, mathbb, mathcal, moduli, projective, surfaces, varieties, smooth, fano, variety","bundles, curves, k3, mathbb, mathcal, moduli, projective, surfaces, varieties, fano, smooth"
math,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.509293,0.490707,"method, numerical, error, methods, equations, model, smagorinsky, solution, subgrid, bkm, boundary, eddy, equation, shock, time, dsc, fd, filter, fluid, integral, mesh, rbf, reynolds, scale, schemes, tlm, turbulent, walls, wrong","equations, method, methods, numerical, element, error, order, time, galerkin, finite, schemes, fd, fluid, mesh, problem, solution, wrong"
math,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.683036,0.316964,"equations, method, methods, numerical, element, error, order, time, galerkin, finite, schemes, fd, fluid, mesh, problem, solution, wrong","element, equations, galerkin, method, methods, numerical, order, error, mesh, finite, time, scheme, schemes"
math,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.858605,0.141395,"element, equations, galerkin, method, methods, numerical, order, error, mesh, finite, time, scheme, schemes","element, galerkin, mesh, method, methods, numerical, order, time, equations, error, finite, scheme"
math,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.990579,0.009421,"element, galerkin, mesh, method, methods, numerical, order, time, equations, error, finite, scheme","element, galerkin, mesh, method, methods, numerical, order, time, equations, scheme, error"
math,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.418889,0.581111,"graph, graphs, vertices, circuit, circuits, hamilton, vertex, edges, gg, hypergraph, konig, number, consolidations, directed, pebbling, 2k, complexes, dom, edge, haxell","edges, gg, graph, graphs, number, vertex, vertices, edge, geq, bipartite, leq, bbz, bidirected, complexes, degree, hypergraph, pebbling, subgraph"
math,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.700631,0.299369,"edges, gg, graph, graphs, number, vertex, vertices, edge, geq, bipartite, leq, bbz, bidirected, complexes, degree, hypergraph, pebbling, subgraph","edge, edges, gg, graph, graphs, number, vertex, vertices, leq, bipartite, kk, cal, geq, mathcal, subgraph"
math,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.965133,0.034867,"edge, edges, gg, graph, graphs, number, vertex, vertices, leq, bipartite, kk, cal, geq, mathcal, subgraph","edge, edges, gg, graph, graphs, number, vertex, vertices, kk, mathcal, cal, geq"
math,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.912459,0.087541,"edge, edges, gg, graph, graphs, number, vertex, vertices, kk, mathcal, cal, geq","edge, edges, gg, graph, graphs, mathcal, number, vertex, vertices, ex, kk, leq"
math,3,2000–2005,2005–2010,2000–2005 → 2005–2010,0.475619,0.524381,"sample, estimating, estimation, estimator, estimators, data, distribution, modifies, process, roughness, ifs, increments, levy, likelihood, nonparametric, pricing, regression, asthma, box, censored, financial, fractal, jack, mdma, model, shrinkage","data, estimation, estimator, estimators, likelihood, model, regression, sample, models, distribution, nonparametric"
math,3,2005–2010,2010–2015,2005–2010 → 2010–2015,0.83676,0.16324,"data, estimation, estimator, estimators, likelihood, model, regression, sample, models, distribution, nonparametric","data, distribution, estimation, estimator, estimators, likelihood, model, regression, sample, models, test"
math,3,2010–2015,2015–2020,2010–2015 → 2015–2020,0.990579,0.009421,"data, distribution, estimation, estimator, estimators, likelihood, model, regression, sample, models, test","data, distribution, estimation, estimator, estimators, likelihood, model, regression, sample, test, inference, models"
math,3,2015–2020,2020–2025,2015–2020 → 2020–2025,0.967931,0.032069,"data, distribution, estimation, estimator, estimators, likelihood, model, regression, sample, test, inference, models","data, distribution, estimation, estimator, estimators, model, regression, sample, inference, likelihood, test"
math,4,2000–2005,2005–2010,2000–2005 → 2005–2010,0.43773,0.56227,"solutions, equation, equations, left, mathbb, right, du, elliptic, frac, problem, boundary, div, ij, mbox, rightarrow, array, damascelli, ds, monotone, nabla, nonlinear, om, pacella, partial, perforated, shah, solution, varepsilon","boundary, elliptic, equation, equations, frac, mathbb, nabla, solutions, infty, partial, int, quad, om, problem"
math,4,2005–2010,2010–2015,2005–2010 → 2010–2015,0.701156,0.298844,"boundary, elliptic, equation, equations, frac, mathbb, nabla, solutions, infty, partial, int, quad, om, problem","elliptic, equation, frac, mathbb, nabla, solutions, boundary, partial, infty, equations, quad, begin, int, problem"
math,4,2010–2015,2015–2020,2010–2015 → 2015–2020,0.68995,0.31005,"elliptic, equation, frac, mathbb, nabla, solutions, boundary, partial, infty, equations, quad, begin, int, problem","begin, elliptic, equation, frac, mathbb, nabla, partial, quad, solutions, boundary, end, infty, mbox"
math,4,2015–2020,2020–2025,2015–2020 → 2020–2025,0.902226,0.097774,"begin, elliptic, equation, frac, mathbb, nabla, partial, quad, solutions, boundary, end, infty, mbox","begin, elliptic, end, equation, frac, mathbb, nabla, partial, quad, solutions"
math,5,2000–2005,2005–2010,2000–2005 → 2005–2010,0.10794,0.89206,"multivector, concepts, problem, steiner, thoery, convex, field, generalized, minimax, nonconvex, procedures, shortest, backtracking, bound, compositon, conservative, copositive, descent, dissipative, force, functionals, functions, gradient, log, nonlinear, optimization, parameter, quasiconvex, recurrences, spaces, theory, worst","convex, optimization, method, nonconvex, regression, algorithm, convergence, extrema, gradient, lasso, maximizer, problems, saddle, shrinkage, thresholding, tisp, algorithms, bds, bound, copositive, deciding, descent, dimensionality, false, log, minimax, minimizer, multivector, penalty, point, problem, procedures, selection, stagewise, verified"
math,5,2005–2010,2010–2015,2005–2010 → 2010–2015,0.491225,0.508775,"convex, optimization, method, nonconvex, regression, algorithm, convergence, extrema, gradient, lasso, maximizer, problems, saddle, shrinkage, thresholding, tisp, algorithms, bds, bound, copositive, deciding, descent, dimensionality, false, log, minimax, minimizer, multivector, penalty, point, problem, procedures, selection, stagewise, verified","algorithm, convergence, convex, gradient, nonconvex, optimization, problems, algorithms, method, methods, tisp, proximal, shrinkage, thresholding"
math,5,2010–2015,2015–2020,2010–2015 → 2015–2020,0.904571,0.095429,"algorithm, convergence, convex, gradient, nonconvex, optimization, problems, algorithms, method, methods, tisp, proximal, shrinkage, thresholding","algorithm, convergence, convex, gradient, method, optimization, problems, algorithms, nonconvex, stochastic, descent, methods, proximal"
math,5,2015–2020,2020–2025,2015–2020 → 2020–2025,0.944216,0.055784,"algorithm, convergence, convex, gradient, method, optimization, problems, algorithms, nonconvex, stochastic, descent, methods, proximal","algorithm, convergence, convex, gradient, method, optimization, problems, stochastic, learning, methods, nonconvex, descent"
math,6,2000–2005,2005–2010,2000–2005 → 2005–2010,0.707619,0.292381,"convex, polytope, polytopes, points, mathbb, polygon, bodies, dimensional, flipturn, flipturns, polyhedra, tetrahedra, vertices, volumes, apollonian, bicycle, bier, cones, dissections, ehrhart, hales, kakeya, lattice, packing, polyhedral, set, spheres, tf","convex, mathbb, points, polytope, polytopes, bodies, lattice, sets, varlambda, dimensional, polyhedra, set, vertices, apollonian, ehrhart, packing, plane, triangulations"
