subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_disappear
physics,2000,2001,148,158,77,41,8,22,4,36,52.03,27.7,5.41,14.86
physics,2001,2002,158,159,77,48,11,22,5,29,48.73,30.38,6.96,13.92
physics,2002,2003,159,168,58,56,14,31,7,47,36.48,35.22,8.81,19.5
physics,2003,2004,168,170,81,45,10,32,5,39,48.21,26.79,5.95,19.05
physics,2004,2005,170,181,90,40,18,22,9,42,52.94,23.53,10.59,12.94
physics,2005,2006,181,188,101,50,6,24,3,34,55.8,27.62,3.31,13.26
physics,2006,2007,188,195,113,47,10,18,5,30,60.11,25.0,5.32,9.57
physics,2007,2008,195,193,115,58,10,12,5,15,58.97,29.74,5.13,6.15
physics,2008,2009,193,198,112,48,18,15,9,29,58.03,24.87,9.33,7.77
physics,2009,2010,198,205,138,46,8,6,4,17,69.7,23.23,4.04,3.03
physics,2010,2011,205,204,153,39,2,11,1,11,74.63,19.02,0.98,5.37
physics,2011,2012,204,205,163,28,4,9,2,12,79.9,13.73,1.96,4.41
physics,2012,2013,205,205,164,35,2,4,1,5,80.0,17.07,0.98,1.95
physics,2013,2014,205,206,156,33,8,8,4,13,76.1,16.1,3.9,3.9
physics,2014,2015,206,206,170,32,2,2,1,3,82.52,15.53,0.97,0.97
physics,2015,2016,206,206,175,26,2,3,1,4,84.95,12.62,0.97,1.46
physics,2016,2017,206,207,189,16,0,1,0,2,91.75,7.77,0.0,0.49
physics,2017,2018,207,207,194,10,0,3,0,3,93.72,4.83,0.0,1.45
physics,2018,2019,207,207,195,9,2,1,1,2,94.2,4.35,0.97,0.48
physics,2019,2020,207,207,202,4,0,1,0,1,97.58,1.93,0.0,0.48
physics,2020,2021,207,207,201,6,0,0,0,0,97.1,2.9,0.0,0.0
physics,2021,2022,207,207,201,4,2,0,1,1,97.1,1.93,0.97,0.0
physics,2022,2023,207,207,201,6,0,0,0,0,97.1,2.9,0.0,0.0
physics,2023,2024,207,207,202,5,0,0,0,0,97.58,2.42,0.0,0.0
physics,2024,2025,207,207,200,6,0,1,0,1,96.62,2.9,0.0,0.48
