subject,topic_id,year_from,year_to,cosine_sim,drift
physics,0,2000,2001,0.6,0.4
physics,1,2000,2001,0.5,0.5
physics,2,2000,2001,0.7,0.3
physics,3,2000,2001,0.8,0.2
physics,5,2000,2001,0.8,0.2
physics,6,2000,2001,0.1,0.9
physics,7,2000,2001,0.8,0.2
physics,8,2000,2001,0.8,0.2
physics,9,2000,2001,0.4,0.6
physics,10,2000,2001,0.6,0.4
physics,11,2000,2001,0.7,0.3
physics,13,2000,2001,0.8,0.2
physics,14,2000,2001,0.6,0.4
physics,15,2000,2001,0.4,0.6
physics,16,2000,2001,0.5,0.5
physics,17,2000,2001,0.7,0.3
physics,18,2000,2001,0.4,0.6
physics,19,2000,2001,0.6,0.4
physics,20,2000,2001,0.7,0.3
physics,21,2000,2001,0.7,0.3
physics,22,2000,2001,0.6,0.4
physics,23,2000,2001,0.6,0.4
physics,24,2000,2001,0.8,0.2
physics,25,2000,2001,0.9,0.1
physics,27,2000,2001,0.7,0.3
physics,28,2000,2001,0.5,0.5
physics,29,2000,2001,0.7,0.3
physics,30,2000,2001,0.6,0.4
physics,31,2000,2001,0.3,0.7
physics,32,2000,2001,0.8,0.2
physics,34,2000,2001,0.4,0.6
physics,35,2000,2001,0.3,0.7
physics,36,2000,2001,0.8,0.2
physics,37,2000,2001,0.3,0.7
physics,38,2000,2001,0.8,0.2
physics,39,2000,2001,0.7,0.3
physics,40,2000,2001,0.9,0.1
physics,41,2000,2001,0.7,0.3
physics,42,2000,2001,0.9,0.1
physics,43,2000,2001,0.2,0.8
physics,44,2000,2001,0.5,0.5
physics,45,2000,2001,0.6,0.4
physics,47,2000,2001,0.6,0.4
physics,50,2000,2001,0.7,0.3
physics,51,2000,2001,0.6,0.4
physics,52,2000,2001,0.6,0.4
physics,53,2000,2001,0.6,0.4
physics,55,2000,2001,0.8,0.2
physics,56,2000,2001,0.5,0.5
physics,57,2000,2001,0.6,0.4
physics,58,2000,2001,0.7,0.3
physics,59,2000,2001,0.5,0.5
physics,61,2000,2001,0.7,0.3
physics,62,2000,2001,0.7,0.3
physics,63,2000,2001,0.3,0.7
physics,65,2000,2001,0.8,0.2
physics,66,2000,2001,0.9,0.1
physics,67,2000,2001,0.8,0.2
physics,68,2000,2001,0.2,0.8
physics,69,2000,2001,0.9,0.1
physics,70,2000,2001,0.7,0.3
physics,71,2000,2001,0.8,0.2
physics,72,2000,2001,0.2,0.8
physics,73,2000,2001,0.5,0.5
physics,74,2000,2001,0.6,0.4
physics,76,2000,2001,0.7,0.3
physics,77,2000,2001,0.8,0.2
physics,78,2000,2001,0.8,0.2
physics,83,2000,2001,0.5,0.5
physics,84,2000,2001,0.4,0.6
physics,86,2000,2001,0.7,0.3
physics,88,2000,2001,0.9,0.1
physics,89,2000,2001,0.6,0.4
physics,90,2000,2001,0.5,0.5
physics,91,2000,2001,0.6,0.4
physics,92,2000,2001,0.6,0.4
physics,94,2000,2001,0.6,0.4
physics,95,2000,2001,0.6,0.4
physics,96,2000,2001,0.2,0.8
physics,98,2000,2001,0.9,0.1
physics,99,2000,2001,0.6,0.4
physics,100,2000,2001,0.2,0.8
physics,101,2000,2001,0.8,0.2
physics,102,2000,2001,0.6,0.4
physics,103,2000,2001,0.6,0.4
physics,108,2000,2001,0.5,0.5
physics,109,2000,2001,0.8,0.2
physics,110,2000,2001,0.8,0.2
physics,112,2000,2001,0.5,0.5
physics,113,2000,2001,0.9,0.1
physics,116,2000,2001,0.5,0.5
physics,117,2000,2001,0.4,0.6
physics,119,2000,2001,0.6,0.4
physics,120,2000,2001,0.5,0.5
physics,121,2000,2001,0.3,0.7
physics,122,2000,2001,0.2,0.8
physics,125,2000,2001,0.7,0.3
physics,126,2000,2001,0.7,0.3
physics,127,2000,2001,0.3,0.7
physics,130,2000,2001,0.8,0.2
physics,131,2000,2001,0.7,0.3
physics,132,2000,2001,0.7,0.3
physics,133,2000,2001,0.8,0.2
physics,134,2000,2001,0.5,0.5
physics,135,2000,2001,0.8,0.2
physics,136,2000,2001,0.6,0.4
physics,138,2000,2001,0.6,0.4
physics,140,2000,2001,0.5,0.5
physics,145,2000,2001,0.8,0.2
physics,146,2000,2001,0.5,0.5
physics,148,2000,2001,0.6,0.4
physics,149,2000,2001,0.5,0.5
physics,154,2000,2001,0.7,0.3
physics,161,2000,2001,0.5,0.5
physics,163,2000,2001,0.5,0.5
physics,164,2000,2001,0.9,0.1
physics,166,2000,2001,0.5,0.5
physics,167,2000,2001,0.2,0.8
physics,168,2000,2001,0.8,0.2
physics,174,2000,2001,0.8,0.2
physics,183,2000,2001,0.4,0.6
physics,187,2000,2001,0.2,0.8
physics,191,2000,2001,0.3,0.7
physics,193,2000,2001,0.3,0.7
physics,194,2000,2001,0.6,0.4
physics,195,2000,2001,0.9,0.1
physics,202,2000,2001,0.6,0.4
physics,203,2000,2001,0.7,0.3
physics,206,2000,2001,0.8,0.2
physics,208,2000,2001,0.8,0.2
physics,0,2001,2002,0.7,0.3
physics,1,2001,2002,0.7,0.3
physics,2,2001,2002,0.8,0.2
physics,3,2001,2002,0.7,0.3
physics,5,2001,2002,0.8,0.2
physics,6,2001,2002,0.5,0.5
physics,7,2001,2002,0.5,0.5
physics,8,2001,2002,0.9,0.1
physics,10,2001,2002,0.9,0.1
physics,11,2001,2002,0.7,0.3
physics,13,2001,2002,0.7,0.3
physics,14,2001,2002,0.4,0.6
physics,15,2001,2002,0.8,0.2
physics,16,2001,2002,0.5,0.5
physics,17,2001,2002,0.4,0.6
physics,18,2001,2002,0.2,0.8
physics,19,2001,2002,0.6,0.4
physics,20,2001,2002,0.9,0.1
physics,21,2001,2002,0.7,0.3
physics,22,2001,2002,0.6,0.4
physics,23,2001,2002,0.9,0.1
physics,24,2001,2002,0.9,0.1
physics,25,2001,2002,1.0,0.0
physics,26,2001,2002,0.8,0.2
physics,27,2001,2002,0.9,0.1
physics,28,2001,2002,0.3,0.7
physics,29,2001,2002,0.8,0.2
physics,30,2001,2002,0.8,0.2
physics,31,2001,2002,0.7,0.3
physics,32,2001,2002,0.8,0.2
physics,34,2001,2002,0.7,0.3
physics,35,2001,2002,0.7,0.3
physics,36,2001,2002,0.7,0.3
physics,37,2001,2002,0.7,0.3
physics,38,2001,2002,0.6,0.4
physics,39,2001,2002,0.7,0.3
physics,40,2001,2002,0.9,0.1
physics,41,2001,2002,0.6,0.4
physics,42,2001,2002,0.6,0.4
physics,43,2001,2002,0.4,0.6
