subject,year_from,year_to,topic_id,ttc,tts,ttq
cs,2000,2001,0,0.350454,0.0,0.0
cs,2000,2001,1,0.291294,0.2,0.237165
cs,2000,2001,3,0.587824,0.5,0.540367
cs,2000,2001,4,0.270025,0.3,0.284224
cs,2000,2001,7,0.299554,0.3,0.299777
cs,2000,2001,10,0.393429,0.2,0.26519
cs,2000,2001,12,0.310468,0.1,0.151275
cs,2000,2001,13,0.379139,0.1,0.158258
cs,2000,2001,14,0.405757,0.0,0.0
cs,2000,2001,15,0.357836,0.3,0.326376
cs,2000,2001,17,0.344018,0.0,0.0
cs,2000,2001,22,0.241887,0.0,0.0
cs,2000,2001,23,0.616272,0.3,0.403552
cs,2000,2001,25,0.293592,0.1,0.149186
cs,2000,2001,28,0.358687,0.1,0.156397
cs,2000,2001,30,0.312024,0.0,0.0
cs,2000,2001,31,0.552505,0.0,0.0
cs,2000,2001,32,0.419034,0.0,0.0
cs,2000,2001,34,0.23579,0.0,0.0
cs,2000,2001,38,0.299168,0.0,0.0
cs,2000,2001,40,0.240084,0.0,0.0
cs,2000,2001,45,0.397809,0.0,0.0
cs,2000,2001,46,0.371036,0.0,0.0
cs,2000,2001,47,0.463638,0.3,0.364286
cs,2000,2001,52,0.30261,0.0,0.0
cs,2000,2001,53,0.034228,0.0,0.0
cs,2000,2001,56,0.399174,0.2,0.266483
cs,2000,2001,57,0.359597,0.3,0.327106
cs,2000,2001,59,0.36808,0.1,0.157272
cs,2000,2001,60,0.465675,0.0,0.0
cs,2000,2001,63,0.40636,0.0,0.0
cs,2000,2001,65,0.241982,0.0,0.0
cs,2000,2001,67,0.355621,0.1,0.156104
cs,2000,2001,71,0.413392,0.0,0.0
cs,2000,2001,72,0.064697,0.0,0.0
cs,2000,2001,74,0.3,0.2,0.24
cs,2000,2001,85,0.520598,0.0,0.0
cs,2000,2001,87,0.325023,0.2,0.247626
cs,2000,2001,89,0.349894,0.0,0.0
cs,2000,2001,97,0.503609,0.0,0.0
cs,2000,2001,99,0.356785,0.1,0.156216
cs,2000,2001,101,0.545914,0.0,0.0
cs,2000,2001,103,0.381325,0.1,0.158448
cs,2000,2001,104,0.544889,0.1,0.168987
cs,2000,2001,112,0.446759,0.1,0.163421
cs,2000,2001,115,0.695291,0.2,0.310644
cs,2000,2001,116,0.306604,0.0,0.0
cs,2000,2001,118,0.438049,0.0,0.0
cs,2000,2001,119,0.24263,0.1,0.141628
cs,2000,2001,123,0.225567,0.3,0.257513
cs,2000,2001,127,0.555263,0.0,0.0
cs,2000,2001,128,0.346044,0.2,0.253492
cs,2000,2001,129,0.315403,0.0,0.0
cs,2000,2001,130,0.206149,0.2,0.203028
cs,2000,2001,133,0.407636,0.2,0.268342
cs,2000,2001,135,0.325787,0.2,0.247847
cs,2000,2001,147,0.47326,0.0,0.0
cs,2000,2001,150,0.394893,0.1,0.159587
cs,2000,2001,163,0.441287,0.0,0.0
cs,2000,2001,165,0.305061,0.0,0.0
cs,2000,2001,167,0.359314,0.0,0.0
cs,2000,2001,182,0.229664,0.2,0.213808
cs,2000,2001,183,0.516575,0.2,0.288358
cs,2000,2001,209,0.277246,0.0,0.0
cs,2000,2001,213,0.388333,0.1,0.159044
cs,2000,2001,216,0.507008,0.0,0.0
cs,2000,2001,219,0.324025,0.2,0.247336
cs,2000,2001,222,0.430883,0.2,0.273194
cs,2000,2001,223,0.449495,0.2,0.276827
cs,2000,2001,231,0.517777,0.2,0.288545
cs,2000,2001,244,0.375201,0.5,0.428703
cs,2001,2002,0,0.370397,0.2,0.259747
cs,2001,2002,1,0.437302,0.5,0.466554
cs,2001,2002,3,0.48471,0.4,0.438299
cs,2001,2002,4,0.256887,0.1,0.14396
cs,2001,2002,7,0.737283,0.2,0.314647
cs,2001,2002,10,0.390643,0.2,0.264554
cs,2001,2002,12,0.36203,0.2,0.257659
cs,2001,2002,13,0.446181,0.1,0.163382
cs,2001,2002,14,0.251661,0.0,0.0
cs,2001,2002,15,0.44614,0.2,0.276188
cs,2001,2002,17,0.34393,0.3,0.320467
cs,2001,2002,19,0.187602,0.0,0.0
cs,2001,2002,21,0.78925,0.0,0.0
cs,2001,2002,22,0.19735,0.0,0.0
cs,2001,2002,23,0.269017,0.1,0.145802
cs,2001,2002,25,0.335,0.2,0.250467
cs,2001,2002,26,0.332361,0.0,0.0
cs,2001,2002,28,0.284842,0.0,0.0
cs,2001,2002,29,0.424883,0.1,0.161896
cs,2001,2002,31,0.261687,0.1,0.144704
cs,2001,2002,32,0.596458,0.1,0.171283
cs,2001,2002,34,0.212753,0.0,0.0
cs,2001,2002,35,0.287778,0.1,0.148424
cs,2001,2002,38,0.502065,0.2,0.28605
cs,2001,2002,40,0.915216,0.4,0.556694
cs,2001,2002,41,0.316669,0.0,0.0
cs,2001,2002,44,0.437116,0.1,0.162764
cs,2001,2002,45,0.271996,0.1,0.146236
cs,2001,2002,46,0.306524,0.0,0.0
cs,2001,2002,47,0.381691,0.5,0.432908
cs,2001,2002,56,0.274245,0.0,0.0
cs,2001,2002,57,0.463568,0.0,0.0
cs,2001,2002,59,0.379405,0.2,0.261927
cs,2001,2002,60,0.230179,0.2,0.214031
cs,2001,2002,63,0.383835,0.0,0.0
cs,2001,2002,65,0.473216,0.1,0.165109
cs,2001,2002,67,0.330811,0.1,0.153576
cs,2001,2002,71,0.197512,0.0,0.0
cs,2001,2002,74,0.429466,0.1,0.162226
cs,2001,2002,76,0.353925,0.0,0.0
cs,2001,2002,77,0.0529,0.0,0.0
cs,2001,2002,82,0.565513,0.1,0.169948
cs,2001,2002,85,0.383053,0.3,0.336477
cs,2001,2002,87,0.460217,0.1,0.1643
cs,2001,2002,89,0.507496,0.0,0.0
cs,2001,2002,97,0.306356,0.0,0.0
cs,2001,2002,99,0.362403,0.0,0.0
