subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
cs,2000,2001,79,0.465774,0.408517,0.389209
cs,2001,2002,84,0.449881,0.506588,0.437349
cs,2002,2003,101,0.441371,0.526613,0.448634
cs,2003,2004,114,0.429899,0.528631,0.435988
cs,2004,2005,129,0.438321,0.570903,0.450212
cs,2005,2006,127,0.446864,0.56877,0.451497
cs,2006,2007,117,0.444582,0.571509,0.456121
cs,2007,2008,129,0.449949,0.531536,0.43998
cs,2008,2009,129,0.440532,0.550077,0.437511
cs,2009,2010,141,0.456106,0.492441,0.42999
cs,2010,2011,157,0.465618,0.487712,0.431359
cs,2011,2012,182,0.480038,0.442038,0.4176
cs,2012,2013,217,0.481934,0.44703,0.422429
cs,2013,2014,225,0.495018,0.417124,0.409925
cs,2014,2015,235,0.50124,0.418373,0.415751
cs,2015,2016,270,0.515635,0.380721,0.398158
cs,2016,2017,287,0.529402,0.340773,0.379327
cs,2017,2018,298,0.542797,0.317946,0.361863
cs,2018,2019,304,0.564431,0.289967,0.343175
cs,2019,2020,307,0.585646,0.242506,0.311443
cs,2020,2021,306,0.597745,0.21596,0.285458
cs,2021,2022,307,0.602857,0.212888,0.288095
cs,2022,2023,308,0.608627,0.193323,0.269292
cs,2023,2024,309,0.615759,0.172499,0.250062
cs,2024,2025,309,0.622448,0.154401,0.23117
