subject,year_from,year_to,topic_id,ttc,tts,ttq
math,2000,2001,0,0.355635,0.7,0.471648
math,2000,2001,1,0.556821,0.7,0.620255
math,2000,2001,2,0.524727,0.9,0.66294
math,2000,2001,3,0.267963,0.7,0.387565
math,2000,2001,4,0.395089,0.5,0.441396
math,2000,2001,6,0.353606,0.8,0.490436
math,2000,2001,7,0.493571,0.7,0.578935
math,2000,2001,8,0.552479,0.7,0.617552
math,2000,2001,9,0.441794,0.6,0.508885
math,2000,2001,10,0.447739,0.8,0.574144
math,2000,2001,11,0.408978,0.5,0.449932
math,2000,2001,12,0.395003,0.7,0.505025
math,2000,2001,13,0.548969,0.7,0.615353
math,2000,2001,14,0.346737,0.8,0.483789
math,2000,2001,15,0.324141,0.9,0.476623
math,2000,2001,16,0.368942,0.9,0.523346
math,2000,2001,17,0.417676,0.7,0.52318
math,2000,2001,18,0.460225,0.9,0.60902
math,2000,2001,19,0.429074,0.4,0.414027
math,2000,2001,20,0.416854,0.7,0.522535
math,2000,2001,21,0.334902,0.7,0.45305
math,2000,2001,22,0.299046,0.6,0.399151
math,2000,2001,23,0.383729,0.4,0.391695
math,2000,2001,24,0.386964,0.4,0.393374
math,2000,2001,25,0.409307,0.5,0.450131
math,2000,2001,26,0.377127,0.6,0.463146
math,2000,2001,27,0.288659,0.9,0.437119
math,2000,2001,28,0.763304,0.8,0.781221
math,2000,2001,29,0.624484,0.8,0.701429
math,2000,2001,30,0.356902,0.4,0.377224
math,2000,2001,34,0.356503,0.7,0.472411
math,2000,2001,35,0.415134,0.8,0.546618
math,2000,2001,36,0.331041,0.7,0.449505
math,2000,2001,37,0.325945,0.5,0.394633
math,2000,2001,38,0.534367,0.8,0.640744
math,2000,2001,39,0.394329,0.8,0.528268
math,2000,2001,40,0.350057,0.7,0.466717
math,2000,2001,41,0.444294,0.3,0.35816
math,2000,2001,42,0.361111,0.5,0.419355
math,2000,2001,43,0.386703,0.7,0.498189
math,2000,2001,44,0.398452,0.7,0.507835
math,2000,2001,45,0.401401,0.6,0.481007
math,2000,2001,46,0.427591,0.7,0.53089
math,2000,2001,47,0.316475,0.9,0.468284
math,2000,2001,49,0.285617,0.7,0.405699
math,2000,2001,50,0.332708,0.7,0.451039
math,2000,2001,51,0.381714,0.6,0.466589
math,2000,2001,52,0.501258,0.6,0.546202
math,2000,2001,53,0.392631,0.8,0.526742
math,2000,2001,54,0.259236,0.2,0.225798
math,2000,2001,55,0.480137,0.6,0.533418
math,2000,2001,56,0.102206,0.4,0.162812
math,2000,2001,57,0.276401,0.8,0.410852
math,2000,2001,59,0.242855,0.8,0.3726
math,2000,2001,60,0.412935,0.8,0.544709
math,2000,2001,61,0.369632,0.7,0.483797
math,2000,2001,62,0.371868,0.5,0.426518
