subject,year_from,year_to,n_topics,avg_ttc,coherence_at_t_next,ttc_ratio,avg_tts,avg_ttq
math,2000,2001,135,0.364302,0.516336,0.705551,0.139259,0.16514
math,2001,2002,139,0.380627,0.49067,0.775729,0.141727,0.168456
math,2002,2003,150,0.377917,0.475068,0.795502,0.124,0.151784
math,2003,2004,161,0.381573,0.435987,0.875194,0.145342,0.175864
math,2004,2005,173,0.360032,0.426803,0.843555,0.162428,0.189287
math,2005,2006,183,0.365134,0.409213,0.892284,0.191257,0.212026
math,2006,2007,192,0.371636,0.402256,0.923879,0.211458,0.236465
math,2007,2008,199,0.38162,0.39635,0.962836,0.233884,0.25768
math,2008,2009,204,0.391374,0.416274,0.940184,0.246078,0.267934
math,2009,2010,207,0.396195,0.408939,0.968836,0.275362,0.295502
math,2010,2011,208,0.407602,0.418166,0.974738,0.300481,0.324355
math,2011,2012,210,0.414892,0.439435,0.944149,0.318095,0.335615
math,2012,2013,210,0.43464,0.441167,0.985206,0.354762,0.369549
math,2013,2014,210,0.439166,0.445542,0.985689,0.375238,0.38806
math,2014,2015,211,0.430192,0.467542,0.920113,0.404265,0.397701
math,2015,2016,210,0.448074,0.458022,0.97828,0.42619,0.420634
math,2016,2017,210,0.452555,0.482364,0.938203,0.443333,0.433678
math,2017,2018,211,0.463346,0.473593,0.978363,0.451659,0.445904
math,2018,2019,211,0.468512,0.483418,0.969166,0.450711,0.446342
math,2019,2020,211,0.477742,0.504171,0.947579,0.477725,0.466955
math,2020,2021,211,0.483855,0.502895,0.96214,0.492417,0.478766
math,2021,2022,211,0.472591,0.498174,0.948646,0.484834,0.468038
math,2022,2023,211,0.483944,0.506982,0.954558,0.495735,0.477954
math,2023,2024,211,0.498714,0.54119,0.921515,0.512796,0.494668
math,2024,2025,211,0.530831,0.571296,0.929171,0.556398,0.532357
