subject,year_from,year_to,topic_id,ttc,tts,ttq
physics,2000,2001,0,0.385575,0.6,0.469462
physics,2000,2001,1,0.467555,0.5,0.483234
physics,2000,2001,2,0.230915,0.7,0.347272
physics,2000,2001,3,0.317374,0.8,0.454457
physics,2000,2001,5,0.469493,0.8,0.591724
physics,2000,2001,6,0.360577,0.1,0.156576
physics,2000,2001,7,0.418035,0.8,0.549127
physics,2000,2001,8,0.782041,0.8,0.790919
physics,2000,2001,9,0.474587,0.4,0.434113
physics,2000,2001,10,0.377116,0.6,0.463137
physics,2000,2001,11,0.360407,0.7,0.475826
physics,2000,2001,13,0.5986,0.8,0.684799
physics,2000,2001,14,0.342182,0.6,0.435816
physics,2000,2001,15,0.504085,0.4,0.446051
physics,2000,2001,16,0.505557,0.5,0.502763
physics,2000,2001,17,0.343654,0.7,0.460992
physics,2000,2001,18,0.321013,0.4,0.35618
physics,2000,2001,19,0.395722,0.6,0.476906
physics,2000,2001,20,0.25442,0.7,0.373199
physics,2000,2001,21,0.399963,0.7,0.509061
physics,2000,2001,22,0.282687,0.6,0.384309
physics,2000,2001,23,0.445334,0.6,0.511225
physics,2000,2001,24,0.337598,0.8,0.474822
physics,2000,2001,25,0.590605,0.9,0.713193
physics,2000,2001,27,0.310519,0.7,0.430201
physics,2000,2001,28,0.4263,0.5,0.460218
physics,2000,2001,29,0.364189,0.7,0.479111
physics,2000,2001,30,0.327144,0.6,0.423422
physics,2000,2001,31,0.367193,0.3,0.330213
physics,2000,2001,32,0.559475,0.8,0.65846
physics,2000,2001,34,0.415908,0.4,0.407799
physics,2000,2001,35,0.28678,0.3,0.293241
physics,2000,2001,36,0.540731,0.8,0.645297
physics,2000,2001,37,0.298029,0.3,0.299011
physics,2000,2001,38,0.227279,0.8,0.353989
physics,2000,2001,39,0.406045,0.7,0.51396
physics,2000,2001,40,0.53089,0.9,0.667838
physics,2000,2001,41,0.304828,0.7,0.424709
physics,2000,2001,42,0.647168,0.9,0.752926
physics,2000,2001,43,0.313493,0.2,0.244204
physics,2000,2001,44,0.335861,0.5,0.401814
physics,2000,2001,45,0.188992,0.6,0.287443
physics,2000,2001,47,0.564507,0.6,0.581713
physics,2000,2001,50,0.265313,0.7,0.384785
physics,2000,2001,51,0.460882,0.6,0.52132
physics,2000,2001,52,0.095873,0.6,0.165329
physics,2000,2001,53,0.280724,0.6,0.382491
physics,2000,2001,55,0.431892,0.8,0.560948
physics,2000,2001,56,0.261622,0.5,0.343507
physics,2000,2001,57,0.191678,0.6,0.29054
physics,2000,2001,58,0.498994,0.7,0.582648
physics,2000,2001,59,0.236221,0.5,0.320856
physics,2000,2001,61,0.434412,0.7,0.536117
physics,2000,2001,62,0.40261,0.7,0.5112
physics,2000,2001,63,0.220214,0.3,0.253988
physics,2000,2001,65,0.362443,0.8,0.49887
physics,2000,2001,66,0.452932,0.9,0.6026
physics,2000,2001,67,0.329019,0.8,0.466272
physics,2000,2001,68,0.062749,0.2,0.095527
physics,2000,2001,69,0.442487,0.9,0.593285
physics,2000,2001,70,0.37522,0.7,0.488558
physics,2000,2001,71,0.464306,0.8,0.587587
physics,2000,2001,72,0.337594,0.2,0.251189
physics,2000,2001,73,0.325663,0.5,0.394426
physics,2000,2001,74,0.3042,0.6,0.403716
physics,2000,2001,76,0.584885,0.7,0.637286
physics,2000,2001,77,0.434857,0.8,0.563443
physics,2000,2001,78,0.37508,0.8,0.510712
physics,2000,2001,83,0.345111,0.5,0.408362
physics,2000,2001,84,0.178258,0.4,0.246614
physics,2000,2001,86,0.449186,0.7,0.547222
physics,2000,2001,88,0.326107,0.9,0.478745
physics,2000,2001,89,0.396137,0.6,0.477208
physics,2000,2001,90,0.399015,0.5,0.443836
physics,2000,2001,91,0.328365,0.6,0.424443
physics,2000,2001,92,0.462823,0.6,0.522559
physics,2000,2001,94,0.384915,0.6,0.468972
physics,2000,2001,95,0.481872,0.6,0.534487
physics,2000,2001,96,0.484133,0.2,0.283064
physics,2000,2001,98,0.515991,0.9,0.655925
physics,2000,2001,99,0.548274,0.6,0.572972
physics,2000,2001,100,0.43501,0.2,0.274018
physics,2000,2001,101,0.519831,0.8,0.630179
physics,2000,2001,102,0.548889,0.6,0.573308
physics,2000,2001,103,0.480507,0.6,0.533646
