subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
physics,2000,2001,128,0.477325,0.439621,0.410917
physics,2001,2002,139,0.464832,0.480792,0.437557
physics,2002,2003,145,0.45174,0.53844,0.44624
physics,2003,2004,147,0.473546,0.478254,0.434802
physics,2004,2005,160,0.47831,0.483881,0.438241
physics,2005,2006,173,0.483586,0.461733,0.418499
physics,2006,2007,182,0.493308,0.451926,0.419068
physics,2007,2008,186,0.497203,0.432426,0.417583
physics,2008,2009,186,0.502623,0.427253,0.400017
physics,2009,2010,198,0.516711,0.398779,0.398316
physics,2010,2011,203,0.525485,0.36321,0.378195
physics,2011,2012,203,0.539162,0.350542,0.370873
physics,2012,2013,204,0.550553,0.339745,0.37076
physics,2013,2014,204,0.555504,0.346282,0.371452
physics,2014,2015,205,0.565855,0.305006,0.347585
physics,2015,2016,206,0.570001,0.293986,0.33714
physics,2016,2017,206,0.580766,0.276883,0.333688
physics,2017,2018,207,0.59285,0.248212,0.311747
physics,2018,2019,207,0.601808,0.235789,0.305774
physics,2019,2020,207,0.611971,0.216513,0.294332
physics,2020,2021,207,0.616803,0.208553,0.287626
physics,2021,2022,207,0.617221,0.206839,0.28414
physics,2022,2023,207,0.613899,0.205523,0.279365
physics,2023,2024,207,0.61581,0.210311,0.286083
physics,2024,2025,207,0.622864,0.195132,0.271722
