subject,model,n_topics,coherence,irbo_mean,topic_quality
cs,allenai/specter2,1,0.3162945054224798,0.0,0.0
cs,sentence-transformers/all-MiniLM-L6-v2,808,0.4334258286073758,0.9937819602606004,0.6035992417371226
cs,all-distilroberta-v1,834,0.3678118872608766,0.9824169330574192,0.5352346517677058
cs,intfloat/e5-base-v2,1,0.2489188246938281,0.0,0.0
cs,all-mpnet-base-v2,1031,0.3842297150189115,0.9849950441645636,0.552815544089466
cs,BAAI/bge-base-en-v1.5,92,0.352765244530719,0.9875601981577472,0.5198392923037226
math,allenai/specter2,1,0.3204465501549854,0.0,0.0
math,sentence-transformers/all-MiniLM-L6-v2,642,0.4206368635619842,0.992713714892644,0.5908965401973868
math,all-distilroberta-v1,690,0.3737634647107174,0.9890790805950068,0.5425155316869721
math,intfloat/e5-base-v2,1,0.3534355680998077,0.0,0.0
math,all-mpnet-base-v2,746,0.3888023494992992,0.9901248613914758,0.5583512593938749
math,BAAI/bge-base-en-v1.5,31,0.3561125942694328,0.9832351018515636,0.5228551240446506
physics,allenai/specter2,1,0.2915552339830644,0.0,0.0
physics,sentence-transformers/all-MiniLM-L6-v2,687,0.4851318207574789,0.9937543071125936,0.6519796586224716
physics,all-distilroberta-v1,719,0.3667607841886936,0.9878671104444456,0.5349231586567097
physics,intfloat/e5-base-v2,1,0.3266518628343314,0.0,0.0
physics,all-mpnet-base-v2,810,0.4266546821873987,0.9892730660879944,0.5961857674198697
physics,BAAI/bge-base-en-v1.5,76,0.3792073108821459,0.9916872971125594,0.5486272554884681
