subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
cs,2000,488,210,109,0.474854,0.998272,0.643575
cs,2001,594,210,111,0.458972,0.997267,0.62863
cs,2002,648,210,124,0.473371,0.996474,0.641839
cs,2003,825,210,125,0.457427,0.996652,0.627058
cs,2004,948,210,151,0.50205,0.996818,0.667774
cs,2005,1000,210,154,0.493801,0.997148,0.660509
cs,2006,1000,210,147,0.50492,0.997066,0.670364
cs,2007,1000,210,144,0.504953,0.996948,0.670366
cs,2008,1000,210,152,0.507644,0.996833,0.672707
cs,2009,1000,210,160,0.503414,0.996899,0.668998
cs,2010,1362,210,172,0.529898,0.996576,0.6919
cs,2011,1622,210,184,0.530377,0.996201,0.692218
cs,2012,2254,210,209,0.534157,0.995848,0.695343
cs,2013,2719,210,219,0.562881,0.995314,0.719093
cs,2014,2989,210,223,0.568062,0.994609,0.72312
cs,2015,3345,210,242,0.586138,0.99361,0.737323
cs,2016,4280,210,248,0.596223,0.992515,0.744944
cs,2017,5534,210,253,0.624897,0.991054,0.766492
cs,2018,7470,210,257,0.645322,0.989866,0.781295
cs,2019,9549,210,259,0.655759,0.98926,0.788704
cs,2020,12352,210,258,0.664231,0.988847,0.794667
cs,2021,14096,210,258,0.671617,0.989252,0.800061
cs,2022,14993,210,259,0.669927,0.989064,0.798799
cs,2023,17825,210,259,0.668992,0.988851,0.798066
cs,2024,23529,210,259,0.672247,0.988665,0.800316
cs,2025,33334,210,259,0.673997,0.988723,0.801574
