subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
math,2000,1000,211,155,0.493763,0.998317,0.660731
math,2001,1000,211,163,0.516336,0.998324,0.680642
math,2002,1094,211,164,0.49067,0.998397,0.657973
math,2003,1336,211,173,0.475068,0.998453,0.643809
math,2004,1611,211,183,0.435987,0.998637,0.606978
math,2005,1922,211,189,0.426803,0.998111,0.597927
math,2006,2345,211,197,0.409213,0.998028,0.580435
math,2007,2817,211,202,0.402256,0.997994,0.573396
math,2008,3098,211,204,0.39635,0.997992,0.56737
math,2009,3473,211,209,0.416274,0.997708,0.587447
math,2010,3973,211,209,0.408939,0.99743,0.580058
math,2011,4648,211,210,0.418166,0.99732,0.589261
math,2012,5295,211,211,0.439435,0.996936,0.609994
math,2013,6007,211,210,0.441167,0.996279,0.611537
math,2014,6481,211,211,0.445542,0.994862,0.615456
math,2015,7184,211,211,0.467542,0.993753,0.635903
math,2016,7650,211,210,0.458022,0.99263,0.626817
math,2017,8024,211,211,0.482364,0.992229,0.649149
math,2018,8503,211,211,0.473593,0.99191,0.641093
math,2019,9062,211,211,0.483418,0.991206,0.649884
math,2020,9990,211,211,0.504171,0.990347,0.668181
math,2021,10180,211,211,0.502895,0.989961,0.666972
math,2022,10164,211,211,0.498174,0.989424,0.662686
math,2023,10801,211,211,0.506982,0.987863,0.670075
math,2024,12863,211,211,0.54119,0.986706,0.698995
math,2025,16564,211,211,0.571296,0.988171,0.724015
