subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
physics,2000,1000,204,142,0.497347,0.997017,0.663645
physics,2001,1000,204,155,0.503903,0.996943,0.669439
physics,2002,1000,204,158,0.47347,0.99612,0.641857
physics,2003,1025,204,163,0.483402,0.996451,0.650992
physics,2004,1276,204,172,0.47841,0.996087,0.646374
physics,2005,1612,204,183,0.462798,0.996149,0.631984
physics,2006,1895,204,184,0.487373,0.994931,0.654255
physics,2007,2125,204,191,0.473138,0.995279,0.641377
physics,2008,2341,204,188,0.47165,0.994851,0.639919
physics,2009,2747,204,196,0.500395,0.994943,0.665889
physics,2010,3558,204,204,0.507441,0.994759,0.672056
physics,2011,4188,204,200,0.5146,0.994141,0.678162
physics,2012,5042,204,201,0.540694,0.994034,0.700408
physics,2013,5515,204,201,0.557909,0.993597,0.714579
physics,2014,5695,204,202,0.556483,0.993628,0.713416
physics,2015,6110,204,203,0.578603,0.993371,0.731269
physics,2016,6725,204,203,0.583953,0.993243,0.735492
physics,2017,7159,204,204,0.589333,0.992991,0.739675
physics,2018,8224,204,203,0.618368,0.992876,0.762097
physics,2019,9270,204,204,0.626684,0.992964,0.768407
physics,2020,10911,204,204,0.643397,0.993088,0.780881
physics,2021,10434,204,204,0.624776,0.99291,0.766955
physics,2022,10195,204,204,0.633857,0.992967,0.773776
physics,2023,10742,204,204,0.63846,0.992825,0.777153
physics,2024,11851,204,204,0.646954,0.992743,0.783388
physics,2025,14671,204,204,0.659299,0.992751,0.792373
