subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
math,top2vec,mathbb,emerging,emerging,True,3.729573,0.0,0.8912,22,96.2
math,top2vec,mathcal,emerging,emerging,True,2.031111,0.0,0.8756,26,100.0
math,top2vec,mathrm,emerging,emerging,True,0.615043,0.0,0.6748,14,69.2
math,top2vec,frac,emerging,emerging,True,0.66735,0.0,0.806,25,96.2
math,top2vec,optimization,emerging,emerging,True,0.347692,0.0,0.7811,21,88.5
math,top2vec,method,emerging,emerging,True,0.34735,0.0,0.7428,26,100.0
math,top2vec,time,emerging,emerging,True,0.64,0.0,0.8304,26,100.0
math,top2vec,optimal,emerging,emerging,True,0.273846,0.0,0.6893,21,88.5
math,top2vec,control,emerging,emerging,True,0.200342,0.0,0.6862,26,100.0
math,top2vec,numerical,emerging,emerging,True,0.251282,0.0,0.8463,23,88.5
math,top2vec,convergence,emerging,emerging,True,0.212991,3e-06,0.608,16,80.8
math,top2vec,data,emerging,emerging,True,0.611624,0.0,0.8119,21,92.3
math,top2vec,problem,emerging,emerging,True,0.446154,0.0,0.8162,20,92.3
math,top2vec,stochastic,emerging,emerging,True,0.371624,0.0,0.7641,26,100.0
math,top2vec,learning,emerging,emerging,True,0.278291,0.0,0.7239,13,73.1
math,top2vec,problems,emerging,emerging,True,0.263248,0.0,0.7344,18,76.9
math,top2vec,varepsilon,emerging,emerging,True,0.273504,1e-06,0.643,14,65.4
math,top2vec,mathfrak,emerging,emerging,True,0.382906,0.0,0.8103,22,92.3
math,top2vec,model,emerging,emerging,True,0.661197,0.0,0.812,26,100.0
math,top2vec,graph,emerging,emerging,True,0.478291,0.0,0.7772,26,100.0
math,top2vec,study,stable,stable,True,-0.006496,0.21177,0.0642,1,3.8
math,top2vec,non,stable,stable,True,-0.004444,0.681225,0.0072,2,19.2
math,top2vec,number,stable,emerging,False,0.152137,0.002056,0.3322,23,92.3
math,top2vec,new,stable,decaying,False,-0.018803,0.02398,0.1948,2,11.5
math,top2vec,paper,stable,stable,True,-0.003761,0.474636,0.0215,1,3.8
math,top2vec,results,stable,stable,True,-0.001026,0.907059,0.0006,1,11.5
math,top2vec,result,stable,stable,True,-0.005812,0.265491,0.0514,1,3.8
math,top2vec,function,stable,emerging,False,0.087179,0.008098,0.2578,23,96.2
math,top2vec,prove,stable,stable,True,0.0,1.0,0.0,0,0.0
math,top2vec,set,stable,emerging,False,0.090598,0.015571,0.2203,23,92.3
math,top2vec,type,stable,stable,True,-0.008205,0.516118,0.0178,3,30.8
math,top2vec,functions,stable,emerging,False,0.184274,0.000223,0.4396,26,100.0
math,top2vec,finite,stable,emerging,False,0.09094,0.003691,0.3012,22,92.3
math,top2vec,local,stable,stable,True,-0.005128,0.801659,0.0027,1,26.9
math,top2vec,random,stable,emerging,False,0.169573,0.000286,0.4285,26,100.0
math,top2vec,positive,stable,stable,True,0.01812,0.157188,0.0816,2,34.6
math,top2vec,case,stable,stable,True,0.0,1.0,0.0,0,0.0
math,top2vec,point,stable,emerging,False,0.048205,0.007491,0.2622,16,73.1
math,top2vec,spaces,stable,emerging,False,0.244786,1e-06,0.6329,26,100.0
math,top2vec,systems,stable,emerging,False,0.178462,0.000272,0.4307,26,100.0
math,top2vec,algebras,decaying,stable,False,-0.000684,0.985185,0.0,26,100.0
math,top2vec,algebra,decaying,stable,False,0.014701,0.634936,0.0095,26,100.0
math,top2vec,group,decaying,stable,False,0.064615,0.249041,0.055,26,100.0
math,top2vec,manifolds,decaying,stable,False,0.062906,0.068625,0.1315,26,100.0
math,top2vec,lie,decaying,stable,False,0.042393,0.123513,0.096,26,100.0
math,top2vec,quantum,decaying,stable,False,-0.025983,0.352846,0.0361,26,100.0
math,top2vec,groups,decaying,emerging,False,0.109744,0.021056,0.2025,26,100.0
math,top2vec,complex,decaying,stable,False,0.020513,0.543698,0.0156,26,100.0
math,top2vec,manifold,decaying,stable,False,-0.001368,0.981486,0.0,26,100.0
math,top2vec,cohomology,decaying,stable,False,0.025641,0.568225,0.0138,26,100.0
math,top2vec,theory,decaying,stable,False,0.035897,0.1382,0.0893,26,100.0
math,top2vec,space,decaying,emerging,False,0.094359,0.041185,0.1625,25,96.2
math,top2vec,algebraic,decaying,stable,False,-0.038632,0.062287,0.1374,5,50.0
math,top2vec,invariants,decaying,stable,False,0.012991,0.587549,0.0124,24,96.2
math,top2vec,geometry,decaying,stable,False,-0.031111,0.192912,0.0696,3,42.3
math,top2vec,symplectic,decaying,emerging,False,0.064274,0.013556,0.2283,26,100.0
math,top2vec,hopf,decaying,stable,False,-0.013333,0.119486,0.098,26,100.0
math,top2vec,invariant,decaying,stable,False,0.001368,0.942018,0.0002,5,53.8
math,top2vec,varieties,decaying,emerging,False,0.078974,0.032991,0.1758,26,100.0
math,top2vec,let,decaying,decaying,True,-0.023932,0.049588,0.1512,3,30.8
