subject,umap_n_neighbors,umap_n_components,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,min_count,n_topics,coherence,irbo_mean,topic_quality,time_seconds
cs,10,5,15,eom,50,902,0.43227769988858356,0.9865780855985146,0.6011544090178232,84.7
cs,10,5,30,eom,50,516,0.4319429418329525,0.9842178162262079,0.6003922033933279,66.9
cs,10,5,50,eom,50,317,0.44622936736209773,0.9827245166623167,0.6137644388164964,66.5
cs,10,10,15,eom,50,912,0.43333963408119514,0.9866851554521224,0.6022004508209862,69.2
cs,10,10,30,eom,50,502,0.4356609629589789,0.9834105160652032,0.6038223990063745,68.6
cs,10,10,50,eom,50,300,0.4370861916915076,0.9814120824470286,0.6048109855576878,69.1
cs,10,30,15,eom,50,933,0.4290465944072348,0.9869695806070868,0.5980947743605041,86.6
cs,10,30,30,eom,50,502,0.4298753462813487,0.9842348465625286,0.598395086365025,85.8
cs,10,30,50,eom,50,309,0.4473252278094732,0.9820770449416596,0.6146734844760782,85.5
cs,15,5,15,eom,50,792,0.4331613942493393,0.9865046720738623,0.6019947216118339,70.0
cs,15,5,30,eom,50,463,0.43242396634969893,0.9840709024546245,0.6008293459869081,67.9
cs,15,5,50,eom,50,295,0.43748134126101895,0.9827102844107128,0.6054357813744337,66.0
cs,15,10,15,eom,50,825,0.43452819193481684,0.986707661600947,0.6033513650771427,67.2
cs,15,10,30,eom,50,443,0.4363156723001455,0.9855374584922215,0.6048521179390419,67.3
cs,15,10,50,eom,50,282,0.43751957623339316,0.9815888729841514,0.60525937673084,67.9
cs,15,30,15,eom,50,852,0.432760573067009,0.9871334800990188,0.6017244027309562,84.4
cs,15,30,30,eom,50,478,0.432628710011624,0.9854430643200375,0.6012826281767152,84.7
cs,15,30,50,eom,50,298,0.44113294259338526,0.9824174642550327,0.6088673850635219,85.0
cs,30,5,15,eom,50,683,0.43555087530323355,0.9864012191008037,0.6042790275007058,74.7
cs,30,5,30,eom,50,398,0.43377011830360596,0.9844277734508701,0.6021943118571014,74.0
cs,30,5,50,eom,50,263,0.4436285139482291,0.984629238357722,0.6116677540834277,74.4
cs,30,10,15,eom,50,697,0.4299832416249981,0.9862303386196769,0.5988680293763943,76.1
cs,30,10,30,eom,50,391,0.4427841860919318,0.9858949501225972,0.6111080955781938,76.3
cs,30,10,50,eom,50,263,0.4442380369864981,0.9849673473384079,0.6123122200300088,75.4
cs,30,30,15,eom,50,708,0.4369880383153207,0.9870069599586325,0.6057749300505816,94.3
cs,30,30,30,eom,50,409,0.4387768111495002,0.9843383890653393,0.6069850977361825,95.7
cs,30,30,50,eom,50,257,0.4459147545919792,0.9846944275194723,0.6138500709849739,96.5
math,10,5,15,eom,50,716,0.4243892688496194,0.9843154588360443,0.5930737786038279,51.4
math,10,5,30,eom,50,405,0.4277691332727369,0.984654329278325,0.5964283944248197,50.0
math,10,5,50,eom,50,241,0.4339118798952256,0.9850760913497909,0.6024522086151264,49.5
math,10,10,15,eom,50,736,0.4217736717583064,0.9845849341989228,0.5905634609777751,51.1
math,10,10,30,eom,50,400,0.4290222640675885,0.9844434643341541,0.597606514864345,50.7
math,10,10,50,eom,50,246,0.43366334010466306,0.984801137075601,0.6021612205503278,50.6
math,10,30,15,eom,50,761,0.4236646221095947,0.9843714757422629,0.592375962409009,65.6
math,10,30,30,eom,50,385,0.42994759524300846,0.9841498211843288,0.598449362910326,65.3
math,10,30,50,eom,50,245,0.42995073906504866,0.9844811505169885,0.5985136525527105,64.5
math,15,5,15,eom,50,652,0.4222916107186977,0.98517177764416,0.5911766945495828,52.4
math,15,5,30,eom,50,343,0.43133175508488775,0.984627260973935,0.5998775384932045,52.3
math,15,5,50,eom,50,228,0.4390409596988955,0.9846373338959746,0.6072946703956239,52.8
math,15,10,15,eom,50,659,0.42148637326187416,0.9854051875626452,0.5904290995331667,54.4
math,15,10,30,eom,50,379,0.4309465095950705,0.9847534869300268,0.5995282602892154,54.4
math,15,10,50,eom,50,221,0.43380340936680883,0.9854455504545464,0.6024167029671005,53.2
math,15,30,15,eom,50,676,0.425481069139976,0.9852472523318948,0.5943086955992002,70.6
math,15,30,30,eom,50,354,0.431728686313358,0.9857311752762111,0.6004662804107621,68.8
math,15,30,50,eom,50,232,0.4340010840687416,0.9839103004746675,0.6023199216640944,68.9
math,30,5,15,eom,50,542,0.42405365417780777,0.9860008271080273,0.5930512037750723,60.9
math,30,5,30,eom,50,326,0.43246382538687406,0.9857881995788247,0.6011875580736908,61.1
math,30,5,50,eom,50,196,0.44307727601816516,0.9844144312663987,0.611102204591005,60.2
math,30,10,15,eom,50,548,0.4263777611235501,0.9860971626171291,0.5953378617632274,61.2
math,30,10,30,eom,50,343,0.4344270964956934,0.9854752726348234,0.6030233777568911,60.7
math,30,10,50,eom,50,201,0.4409801724673454,0.9854094145611643,0.6092949886003938,60.9
math,30,30,15,eom,50,542,0.42940855030742375,0.9857496249191009,0.598221915843212,77.3
math,30,30,30,eom,50,323,0.4326304736801145,0.9853207205423987,0.6012615551113184,76.8
math,30,30,50,eom,50,196,0.43775545734831683,0.9843524017667759,0.6060097805738313,77.3
physics,10,5,15,eom,50,763,0.48191374036277884,0.9882137722962769,0.6478809371085565,53.2
physics,10,5,30,eom,50,377,0.49321006837015474,0.9874447837045082,0.6578409662457851,52.6
physics,10,5,50,eom,50,245,0.5078069545290703,0.9859561952004929,0.6703544840753048,52.9
physics,10,10,15,eom,50,769,0.48178009385744713,0.9881403651829015,0.6477443795740551,54.2
physics,10,10,30,eom,50,399,0.4931659747179668,0.9868313836929683,0.6576655808950351,55.2
physics,10,10,50,eom,50,256,0.5116796206891795,0.9860217400673641,0.6737354230540307,61.8
physics,10,30,15,eom,50,753,0.4795043332041116,0.9879931084825077,0.6456528825681318,66.2
physics,10,30,30,eom,50,412,0.4998795630082706,0.9869936541286011,0.6636449575274368,66.1
physics,10,30,50,eom,50,261,0.5056452409992488,0.9865628106562404,0.6686075572394006,65.8
physics,15,5,15,eom,50,683,0.483886644614232,0.987489733970703,0.6495049137891284,56.1
physics,15,5,30,eom,50,371,0.5027354090282675,0.9874541968911225,0.6662617798417144,54.5
physics,15,5,50,eom,50,222,0.5112021870976865,0.9872590854360348,0.6736096727459537,56.5
physics,15,10,15,eom,50,672,0.4804868115543631,0.9881208175898585,0.6465702773870268,58.6
physics,15,10,30,eom,50,373,0.4961227663162477,0.9872192185900392,0.6603762782570974,57.5
physics,15,10,50,eom,50,227,0.5089066887677802,0.9866012940438891,0.6714614745712274,62.7
physics,15,30,15,eom,50,673,0.4797795602588633,0.9876983462549309,0.645839335817139,76.6
physics,15,30,30,eom,50,370,0.49816492420396585,0.9877926655144291,0.6623118475924796,75.2
physics,15,30,50,eom,50,232,0.512193327367644,0.9876704819532125,0.6745655536864829,77.3
physics,30,5,15,eom,50,570,0.4891050652474519,0.9878972150289871,0.6542786538204864,66.7
physics,30,5,30,eom,50,322,0.506501161697763,0.987858218573131,0.6696532867606064,65.5
physics,30,5,50,eom,50,200,0.5152530744928311,0.9871969532206898,0.6771024072607676,65.8
physics,30,10,15,eom,50,578,0.48425758839457433,0.9881652528847537,0.6499851929511137,67.3
physics,30,10,30,eom,50,300,0.5012765452456797,0.9881780786992787,0.6651434497090031,67.2
physics,30,10,50,eom,50,202,0.514294224157171,0.9871392677988076,0.6762604225729507,65.8
physics,30,30,15,eom,50,565,0.48310424836127175,0.9883479622049458,0.6489848545155016,81.1
physics,30,30,30,eom,50,321,0.5043076157119667,0.9886675614868097,0.6679181118076875,81.2
physics,30,30,50,eom,50,207,0.5179001305227624,0.9878812470023997,0.6795459611864972,81.0
