subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
cs,2000,2001,26,36,0,0,26,0,36,0.0,0.0,100.0
cs,2001,2002,36,36,0,0,36,0,36,0.0,0.0,100.0
cs,2002,2003,36,32,1,0,35,0,31,2.78,0.0,97.22
cs,2003,2004,32,36,0,0,32,0,36,0.0,0.0,100.0
cs,2004,2005,36,41,2,0,34,0,39,5.56,0.0,94.44
cs,2005,2006,41,39,3,0,38,0,36,7.32,0.0,92.68
cs,2006,2007,39,42,2,0,37,0,40,5.13,0.0,94.87
cs,2007,2008,42,46,3,0,39,0,43,7.14,0.0,92.86
cs,2008,2009,46,41,2,0,44,0,39,4.35,0.0,95.65
cs,2009,2010,41,52,0,0,41,0,52,0.0,0.0,100.0
cs,2010,2011,52,62,2,0,50,0,60,3.85,0.0,96.15
cs,2011,2012,62,76,2,2,58,1,73,3.23,3.23,93.55
cs,2012,2013,76,94,4,0,72,0,90,5.26,0.0,94.74
cs,2013,2014,94,97,3,0,91,0,94,3.19,0.0,96.81
cs,2014,2015,97,115,7,0,90,0,108,7.22,0.0,92.78
cs,2015,2016,115,128,11,0,104,0,117,9.57,0.0,90.43
cs,2016,2017,128,135,13,6,109,3,119,10.16,4.69,85.16
cs,2017,2018,135,138,40,8,87,3,95,29.63,5.93,64.44
cs,2018,2019,138,137,40,20,78,9,88,28.99,14.49,56.52
cs,2019,2020,137,138,62,17,58,7,69,45.26,12.41,42.34
cs,2020,2021,138,138,76,6,56,3,59,55.07,4.35,40.58
cs,2021,2022,138,138,82,4,52,2,54,59.42,2.9,37.68
cs,2022,2023,138,138,88,14,36,7,43,63.77,10.14,26.09
cs,2023,2024,138,138,98,10,30,5,35,71.01,7.25,21.74
cs,2024,2025,138,138,102,14,22,7,29,73.91,10.14,15.94
