subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
cs,0,2000–2005,2020–2025,0.34998,0.65002,35,16,7,28,9,20.0,"web, documents, keyphrases, text, document, keyphrase, search, apweb, databases, genex, talkmine, algorithm, c4, categories, content, database, des, descriptions, donn, es, hierarchy, learning, mining, nrc, ontologies, pages, query, recommendation, recommender, relevancy, requ, research, semantic, treillis, une","documents, queries, query, search, text, information, retrieval, document, web, classification, data, based, clarification, engines, semantic, topic","document, documents, query, search, semantic, text, web","based, clarification, classification, data, engines, information, queries, retrieval, topic","algorithm, apweb, c4, categories, content, database, databases, des, descriptions, donn, es, genex, hierarchy, keyphrase, keyphrases, learning, mining, nrc, ontologies, pages"
cs,1,2000–2005,2020–2025,0.043525,0.956475,10,20,1,9,19,10.0,"1970s, 1990s, building, depth, disambiguation, pointers, prospects, shifted, story, understanding","dialogue, language, models, story, text, conversational, sentiment, social, dataset, emotion, llms, media, model, neural, task, ai, bert, narrative, news, sarcasm",story,"ai, bert, conversational, dataset, dialogue, emotion, language, llms, media, model, models, narrative, neural, news, sarcasm, sentiment, social, task, text","1970s, 1990s, building, depth, disambiguation, pointers, prospects, shifted, understanding"
cs,2,2000–2005,2020–2025,0.15501,0.84499,30,17,6,24,11,20.0,"article, articles, assessments, classifier, document, documents, energy, featured, filter, inex, irex, list, marko, match, model, novelty, pool, relevance, relevant, retrieval, search, sentence, sentences, topic, trec, userdefined, vector, words, xml, zettair","document, documents, query, ranking, relevance, retrieval, ir, search, models, model, queries, bert, bm25, information, llm, llms, rag","document, documents, model, relevance, retrieval, search","bert, bm25, information, ir, llm, llms, models, queries, query, rag, ranking","article, articles, assessments, classifier, energy, featured, filter, inex, irex, list, marko, match, novelty, pool, relevant, sentence, sentences, topic, trec, userdefined"
cs,3,2000–2005,2020–2025,0.101268,0.898732,24,17,2,22,15,8.33,"parsing, semantic, dop, ilp, calculation, chart, classifiers, environment, formalisms, hmms, hyperexponential, inductive, interpretations, lds, logic, pattern, predictiveness, results, strategies, syntactic, tilde, time, tree, uninflected","language, logical, reasoning, learning, models, parsing, semantic, neural, symbolic, visual, question, parser, knowledge, llms, model, tasks, vqa","parsing, semantic","knowledge, language, learning, llms, logical, model, models, neural, parser, question, reasoning, symbolic, tasks, visual, vqa","calculation, chart, classifiers, dop, environment, formalisms, hmms, hyperexponential, ilp, inductive, interpretations, lds, logic, pattern, predictiveness, results, strategies, syntactic, tilde, time"
cs,4,2000–2005,2020–2025,0.093649,0.906351,33,25,8,25,17,24.24,"algorithms, auctions, bidder, bidders, bidding, auction, bids, arcs, bid, combinatorial, disadvantaged, log, relaxation, toll, tolls, adversary, allocation, approximation, auctioneer, bins, climbing, epsilon, hill, ln, medians, object, optimal, pricing, revenue, searcher, service, stackelberg, tm","algorithm, optimal, problem, allocation, agents, online, submodular, log, approximation, auctions, combinatorial, competitive, ratio, advice, assignment, auction, envy, facility, goods, knapsack, mpmd, problems, revenue, subsidies, varepsilon","allocation, approximation, auction, auctions, combinatorial, log, optimal, revenue","advice, agents, algorithm, assignment, competitive, envy, facility, goods, knapsack, mpmd, online, problem, problems, ratio, submodular, subsidies, varepsilon","adversary, algorithms, arcs, auctioneer, bid, bidder, bidders, bidding, bids, bins, climbing, disadvantaged, epsilon, hill, ln, medians, object, pricing, relaxation, searcher"
cs,5,2000–2005,2020–2025,0.184377,0.815623,28,18,3,25,15,10.71,"models, word, approach, backing, conditional, distributions, em, estimated, factored, factorization, factorizations, grammars, hypotheses, joint, katz, lattice, likelihood, maximizing, model, paraphrasing, parsing, prediction, rate, recognizer, resolved, tagging, wer, words","model, models, text, language, latent, learning, generation, topic, embeddings, sentence, training, word, llms, boldsymbol, context, data, retrieval, variational","model, models, word","boldsymbol, context, data, embeddings, generation, language, latent, learning, llms, retrieval, sentence, text, topic, training, variational","approach, backing, conditional, distributions, em, estimated, factored, factorization, factorizations, grammars, hypotheses, joint, katz, lattice, likelihood, maximizing, paraphrasing, parsing, prediction, rate"
cs,6,2000–2005,2020–2025,0.200951,0.799049,20,21,6,14,15,30.0,"channels, distortion, beq, channel, coding, encoder, information, source, achievable, arranging, bec, bounds, communication, knowing, multichannel, problem, quantizers, rate, rates, wyner","caching, channel, coded, coding, cache, rate, scheme, allocation, communication, broadcast, problem, transmission, users, wireless, channels, codes, d2d, gtwcs, mathsf, mimo, scma","channel, channels, coding, communication, problem, rate","allocation, broadcast, cache, caching, coded, codes, d2d, gtwcs, mathsf, mimo, scheme, scma, transmission, users, wireless","achievable, arranging, bec, beq, bounds, distortion, encoder, information, knowing, multichannel, quantizers, rates, source, wyner"
cs,8,2000–2005,2020–2025,0.381505,0.618495,39,28,9,30,19,23.08,"rewriting, checking, calculus, logic, normed, chr, circularity, decidable, exptime, forum, prss, rules, tautology, 2lr, altl, automata, automaton, ctl, decidability, deduction, elan, exists, fixpoint, grammars, hpsg, inevitability, lcf, level, logics, petri, pevt, pfrr, provers, rewrite, rule, simulation, simulations, specification, timed","calculus, rewriting, automata, rules, logic, logics, proof, regular, repair, rewrite, mathrm, calculi, checking, forall, fsynth, grammars, hl, hyperproperties, hypertsl, ltl, ltlebr, mathit, mathsf, maude, pegs, rewriter, symbolic, tock","automata, calculus, checking, grammars, logic, logics, rewrite, rewriting, rules","calculi, forall, fsynth, hl, hyperproperties, hypertsl, ltl, ltlebr, mathit, mathrm, mathsf, maude, pegs, proof, regular, repair, rewriter, symbolic, tock","2lr, altl, automaton, chr, circularity, ctl, decidability, decidable, deduction, elan, exists, exptime, fixpoint, forum, hpsg, inevitability, lcf, level, normed, petri"
cs,9,2000–2005,2020–2025,0.074512,0.925488,12,19,1,11,18,8.33,"infomediary, notice, p3p, practices, privacy, site, tools, web, cluding, cookies, pets, pur","consent, data, gdpr, privacy, protection, users, compliance, federated, fl, personal, user, blockchain, cookie, feddice, floc, health, kart, ropa, security",privacy,"blockchain, compliance, consent, cookie, data, feddice, federated, fl, floc, gdpr, health, kart, personal, protection, ropa, security, user, users","cluding, cookies, infomediary, notice, p3p, pets, practices, pur, site, tools, web"
cs,10,2000–2005,2020–2025,0.388725,0.611275,32,16,6,26,10,18.75,"language, programs, programming, logic, languages, prolog, athena, constraint, debugging, declarative, grammars, program, specification, abstract, alma, asf, chr, clp, curry, design, grammar, jdi, logen, metaprogramming, rules, safety, slicing, statecharts, trace, tracer, tracers, unification","code, language, program, programming, programs, specification, verification, formal, languages, semantics, compiler, llms, specifications, generation, haskell, llm","language, languages, program, programming, programs, specification","code, compiler, formal, generation, haskell, llm, llms, semantics, specifications, verification","abstract, alma, asf, athena, chr, clp, constraint, curry, debugging, declarative, design, grammar, grammars, jdi, logen, logic, metaprogramming, prolog, rules, safety"
