subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
cs,0,2000,2000,0,0.651322,0.348678
cs,0,2000,2001,1,0.376412,0.623588
cs,0,2000,2002,2,0.167486,0.832514
cs,0,2000,2003,3,0.150052,0.849948
cs,0,2000,2004,4,0.090416,0.909584
cs,0,2000,2005,5,0.045191,0.954809
cs,0,2000,2006,6,0.063416,0.936584
cs,0,2000,2007,7,0.0,1.0
cs,0,2000,2008,8,0.0,1.0
cs,0,2000,2009,9,0.0,1.0
cs,0,2000,2010,10,0.0,1.0
cs,0,2000,2011,11,0.235416,0.764584
cs,0,2000,2012,12,0.235416,0.764584
cs,0,2000,2013,13,0.235416,0.764584
cs,0,2000,2014,14,0.267486,0.732514
cs,0,2000,2015,15,0.267486,0.732514
cs,0,2000,2016,16,0.235416,0.764584
cs,0,2000,2017,17,0.250052,0.749948
cs,0,2000,2018,18,0.157644,0.842356
cs,0,2000,2019,19,0.135416,0.864584
cs,0,2000,2020,20,0.094291,0.905709
cs,0,2000,2021,21,0.077261,0.922739
cs,0,2000,2022,22,0.032069,0.967931
cs,0,2000,2023,23,0.032069,0.967931
cs,0,2000,2024,24,0.035944,0.964056
cs,0,2000,2025,25,0.077261,0.922739
cs,1,2000,2000,0,0.651322,0.348678
cs,1,2000,2011,11,0.0,1.0
cs,1,2000,2012,12,0.0,1.0
cs,1,2000,2013,13,0.0,1.0
cs,1,2000,2014,14,0.0,1.0
cs,1,2000,2015,15,0.0,1.0
cs,1,2000,2016,16,0.0,1.0
cs,1,2000,2017,17,0.090416,0.909584
cs,1,2000,2018,18,0.135416,0.864584
cs,1,2000,2019,19,0.045191,0.954809
cs,1,2000,2020,20,0.032069,0.967931
cs,1,2000,2021,21,0.090416,0.909584
cs,1,2000,2022,22,0.135416,0.864584
cs,1,2000,2023,23,0.135416,0.864584
cs,1,2000,2024,24,0.003874,0.996126
cs,1,2000,2025,25,0.0,1.0
cs,2,2000,2000,0,0.651322,0.348678
cs,2,2000,2002,2,0.0,1.0
cs,2,2000,2005,5,0.0,1.0
cs,2,2000,2007,7,0.054297,0.945703
cs,2,2000,2008,8,0.045191,0.954809
cs,2,2000,2009,9,0.108608,0.891392
cs,2,2000,2010,10,0.135608,0.864392
cs,2,2000,2011,11,0.032069,0.967931
cs,2,2000,2012,12,0.032069,0.967931
cs,2,2000,2013,13,0.0,1.0
cs,2,2000,2014,14,0.014636,0.985364
cs,2,2000,2015,15,0.045191,0.954809
cs,2,2000,2016,16,0.067419,0.932581
cs,2,2000,2017,17,0.072074,0.927926
cs,2,2000,2018,18,0.026102,0.973898
cs,2,2000,2019,19,0.059827,0.940173
cs,2,2000,2020,20,0.085644,0.914356
cs,2,2000,2021,21,0.085644,0.914356
cs,2,2000,2022,22,0.122486,0.877514
cs,2,2000,2023,23,0.108608,0.891392
cs,2,2000,2024,24,0.077261,0.922739
cs,2,2000,2025,25,0.077261,0.922739
cs,3,2000,2000,0,0.651322,0.348678
cs,3,2000,2001,1,0.452666,0.547334
cs,3,2000,2002,2,0.298833,0.701167
cs,3,2000,2011,11,0.0,1.0
cs,3,2000,2014,14,0.090416,0.909584
cs,3,2000,2015,15,0.135416,0.864584
cs,3,2000,2016,16,0.235416,0.764584
cs,3,2000,2017,17,0.235416,0.764584
cs,3,2000,2018,18,0.235416,0.764584
cs,3,2000,2019,19,0.298833,0.701167
cs,3,2000,2020,20,0.267486,0.732514
cs,3,2000,2021,21,0.267486,0.732514
cs,3,2000,2022,22,0.298833,0.701167
cs,3,2000,2023,23,0.167486,0.832514
cs,3,2000,2024,24,0.040727,0.959273
cs,3,2000,2025,25,0.0,1.0
cs,4,2000,2000,0,0.651322,0.348678
cs,4,2000,2001,1,0.352406,0.647594
cs,4,2000,2002,2,0.274192,0.725808
cs,4,2000,2003,3,0.152462,0.847538
cs,4,2000,2004,4,0.0,1.0
cs,4,2000,2005,5,0.0,1.0
cs,4,2000,2007,7,0.014636,0.985364
cs,4,2000,2008,8,0.0,1.0
cs,4,2000,2009,9,0.008657,0.991343
cs,4,2000,2010,10,0.0,1.0
cs,4,2000,2011,11,0.01851,0.98149
cs,4,2000,2012,12,0.012531,0.987469
cs,4,2000,2013,13,0.029976,0.970024
cs,4,2000,2014,14,0.035944,0.964056
cs,4,2000,2015,15,0.039818,0.960182
cs,4,2000,2016,16,0.035944,0.964056
cs,4,2000,2017,17,0.049066,0.950934
cs,4,2000,2018,18,0.01851,0.98149
cs,4,2000,2019,19,0.026102,0.973898
cs,4,2000,2020,20,0.0,1.0
cs,4,2000,2021,21,0.014636,0.985364
cs,4,2000,2022,22,0.003874,0.996126
cs,4,2000,2023,23,0.0,1.0
cs,4,2000,2024,24,0.0,1.0
cs,4,2000,2025,25,0.003874,0.996126
cs,5,2000,2000,0,0.651322,0.348678
cs,5,2000,2001,1,0.032069,0.967931
cs,5,2000,2003,3,0.0,1.0
cs,5,2000,2006,6,0.003874,0.996126
cs,5,2000,2011,11,0.0,1.0
cs,5,2000,2012,12,0.0,1.0
cs,5,2000,2013,13,0.0,1.0
cs,5,2000,2014,14,0.0,1.0
cs,5,2000,2015,15,0.032069,0.967931
cs,5,2000,2016,16,0.063416,0.936584
cs,5,2000,2017,17,0.063416,0.936584
cs,5,2000,2018,18,0.135416,0.864584
cs,5,2000,2019,19,0.235416,0.764584
cs,5,2000,2020,20,0.235416,0.764584
cs,5,2000,2021,21,0.135416,0.864584
cs,5,2000,2022,22,0.045191,0.954809
cs,5,2000,2023,23,0.0,1.0
cs,5,2000,2024,24,0.0,1.0
cs,5,2000,2025,25,0.0,1.0
cs,6,2000,2000,0,0.651322,0.348678
cs,6,2000,2004,4,0.250052,0.749948
cs,6,2000,2005,5,0.267486,0.732514
cs,6,2000,2006,6,0.122486,0.877514
cs,6,2000,2007,7,0.122486,0.877514
cs,6,2000,2008,8,0.135608,0.864392
cs,6,2000,2009,9,0.077261,0.922739
cs,6,2000,2010,10,0.034759,0.965241
cs,6,2000,2011,11,0.030885,0.969115
cs,6,2000,2012,12,0.003874,0.996126
cs,6,2000,2013,13,0.0,1.0
cs,6,2000,2014,14,0.032069,0.967931
cs,6,2000,2015,15,0.0,1.0
cs,6,2000,2016,16,0.0,1.0
cs,6,2000,2017,17,0.0,1.0
cs,6,2000,2018,18,0.0,1.0
cs,6,2000,2019,19,0.0,1.0
cs,6,2000,2020,20,0.0,1.0
cs,6,2000,2021,21,0.003874,0.996126
cs,6,2000,2022,22,0.0,1.0
cs,6,2000,2023,23,0.026102,0.973898
cs,6,2000,2024,24,0.008657,0.991343
cs,6,2000,2025,25,0.026102,0.973898
cs,7,2011,2011,0,0.651322,0.348678
cs,7,2011,2012,1,0.276154,0.723846
cs,7,2011,2014,3,0.0,1.0
cs,7,2011,2015,4,0.0,1.0
cs,7,2011,2016,5,0.008657,0.991343
cs,7,2011,2017,6,0.008657,0.991343
cs,7,2011,2018,7,0.008657,0.991343
cs,7,2011,2019,8,0.008657,0.991343
cs,7,2011,2020,9,0.008657,0.991343
cs,7,2011,2021,10,0.0,1.0
cs,7,2011,2022,11,0.0,1.0
cs,7,2011,2023,12,0.0,1.0
cs,7,2011,2024,13,0.0,1.0
cs,7,2011,2025,14,0.0,1.0
cs,8,2000,2000,0,0.651322,0.348678
cs,8,2000,2001,1,0.312957,0.687043
cs,8,2000,2002,2,0.135416,0.864584
cs,8,2000,2003,3,0.040727,0.959273
cs,8,2000,2004,4,0.030885,0.969115
cs,8,2000,2005,5,0.022228,0.977772
cs,8,2000,2006,6,0.036864,0.963136
cs,8,2000,2007,7,0.257644,0.742356
cs,8,2000,2008,8,0.348061,0.651939
cs,8,2000,2009,9,0.212677,0.787323
cs,8,2000,2010,10,0.239559,0.760441
cs,8,2000,2011,11,0.157644,0.842356
cs,8,2000,2012,12,0.135416,0.864584
cs,8,2000,2013,13,0.135416,0.864584
cs,8,2000,2014,14,0.161519,0.838481
cs,8,2000,2015,15,0.1848,0.8152
cs,8,2000,2016,16,0.135416,0.864584
cs,8,2000,2017,17,0.338364,0.661636
cs,8,2000,2018,18,0.23449,0.76551
cs,8,2000,2019,19,0.216147,0.783853
cs,8,2000,2020,20,0.23449,0.76551
cs,8,2000,2021,21,0.162584,0.837416
cs,8,2000,2022,22,0.20749,0.79251
cs,8,2000,2023,23,0.153926,0.846074
cs,8,2000,2024,24,0.239559,0.760441
cs,8,2000,2025,25,0.125176,0.874824
cs,9,2000,2000,0,0.651322,0.348678
cs,9,2000,2001,1,0.512031,0.487969
cs,9,2000,2008,8,0.090416,0.909584
cs,9,2000,2010,10,0.0,1.0
cs,9,2000,2011,11,0.045191,0.954809
cs,9,2000,2013,13,0.235416,0.764584
cs,9,2000,2014,14,0.235416,0.764584
cs,9,2000,2015,15,0.135416,0.864584
cs,9,2000,2016,16,0.235416,0.764584
cs,9,2000,2017,17,0.235416,0.764584
cs,9,2000,2018,18,0.235416,0.764584
cs,9,2000,2019,19,0.235416,0.764584
cs,9,2000,2020,20,0.235416,0.764584
cs,9,2000,2021,21,0.235416,0.764584
cs,9,2000,2022,22,0.235416,0.764584
cs,9,2000,2023,23,0.235416,0.764584
cs,9,2000,2024,24,0.235416,0.764584
cs,9,2000,2025,25,0.235416,0.764584
cs,10,2000,2000,0,0.651322,0.348678
cs,10,2000,2001,1,0.117584,0.882416
cs,10,2000,2002,2,0.081926,0.918074
cs,10,2000,2003,3,0.059827,0.940173
cs,10,2000,2004,4,0.0515,0.9485
cs,10,2000,2005,5,0.01851,0.98149
cs,10,2000,2006,6,0.198833,0.801167
cs,10,2000,2007,7,0.01851,0.98149
cs,10,2000,2008,8,0.035944,0.964056
cs,10,2000,2009,9,0.014636,0.985364
cs,10,2000,2010,10,0.153926,0.846074
cs,10,2000,2011,11,0.153926,0.846074
cs,10,2000,2012,12,0.081926,0.918074
cs,10,2000,2013,13,0.059827,0.940173
cs,10,2000,2014,14,0.01851,0.98149
cs,10,2000,2015,15,0.105052,0.894948
cs,10,2000,2016,16,0.036864,0.963136
cs,10,2000,2017,17,0.150052,0.849948
cs,10,2000,2018,18,0.150052,0.849948
cs,10,2000,2019,19,0.150052,0.849948
cs,10,2000,2020,20,0.150052,0.849948
cs,10,2000,2021,21,0.150052,0.849948
cs,10,2000,2022,22,0.105052,0.894948
cs,10,2000,2023,23,0.105052,0.894948
cs,10,2000,2024,24,0.078052,0.921948
cs,10,2000,2025,25,0.059827,0.940173
cs,11,2000,2000,0,0.651322,0.348678
cs,11,2000,2001,1,0.514425,0.485575
cs,11,2000,2003,3,0.0,1.0
cs,11,2000,2004,4,0.0,1.0
cs,11,2000,2007,7,0.0,1.0
cs,11,2000,2008,8,0.003874,0.996126
cs,11,2000,2009,9,0.003874,0.996126
cs,11,2000,2010,10,0.026102,0.973898
cs,11,2000,2011,11,0.0,1.0
cs,11,2000,2012,12,0.003874,0.996126
cs,11,2000,2013,13,0.003874,0.996126
cs,11,2000,2014,14,0.008657,0.991343
cs,11,2000,2015,15,0.014636,0.985364
cs,11,2000,2016,16,0.0,1.0
cs,11,2000,2017,17,0.0,1.0
cs,11,2000,2018,18,0.003874,0.996126
cs,11,2000,2019,19,0.003874,0.996126
cs,11,2000,2020,20,0.003874,0.996126
cs,11,2000,2021,21,0.0,1.0
cs,11,2000,2022,22,0.0,1.0
cs,11,2000,2023,23,0.022228,0.977772
cs,11,2000,2024,24,0.0,1.0
cs,11,2000,2025,25,0.0,1.0
cs,12,2001,2001,0,0.651322,0.348678
cs,12,2001,2002,1,0.27073,0.72927
cs,12,2001,2003,2,0.032069,0.967931
cs,12,2001,2004,3,0.008657,0.991343
cs,12,2001,2005,4,0.0,1.0
cs,12,2001,2006,5,0.0,1.0
cs,12,2001,2007,6,0.008657,0.991343
cs,12,2001,2008,7,0.0,1.0
cs,12,2001,2009,8,0.0,1.0
cs,12,2001,2010,9,0.008657,0.991343
cs,12,2001,2011,10,0.012531,0.987469
cs,12,2001,2012,11,0.008657,0.991343
cs,12,2001,2013,12,0.023293,0.976707
cs,12,2001,2014,13,0.030885,0.969115
cs,12,2001,2015,14,0.008657,0.991343
cs,12,2001,2016,15,0.008657,0.991343
cs,12,2001,2017,16,0.008657,0.991343
