subject,year_from,year_to,avg_sim,avg_drift,n_topics
cs,2000,2001,0.3495517222222222,0.6504482777777778,18
cs,2001,2002,0.30438491304347826,0.6956150869565217,23
cs,2002,2003,0.28831095,0.71168905,20
cs,2003,2004,0.23492465217391303,0.765075347826087,23
cs,2004,2005,0.2985664827586207,0.7014335172413793,29
cs,2005,2006,0.33290132142857143,0.6670986785714286,28
cs,2006,2007,0.24074624137931033,0.7592537586206897,29
cs,2007,2008,0.2839713529411765,0.7160286470588235,34
cs,2008,2009,0.27008028125,0.72991971875,32
cs,2009,2010,0.30260697058823527,0.6973930294117646,34
cs,2010,2011,0.3392107555555555,0.6607892444444444,45
cs,2011,2012,0.3697838461538462,0.6302161538461538,52
cs,2012,2013,0.32702771641791045,0.6729722835820896,67
cs,2013,2014,0.3475707564102564,0.6524292435897435,78
cs,2014,2015,0.36554442696629214,0.6344555730337079,89
cs,2015,2016,0.3890162678571429,0.6109837321428572,112
cs,2016,2017,0.39823099206349205,0.601769007936508,126
cs,2017,2018,0.4396260148148148,0.5603739851851851,135
cs,2018,2019,0.4656672335766423,0.5343327664233576,137
cs,2019,2020,0.4934261751824817,0.5065738248175182,137
cs,2020,2021,0.5083421811594203,0.4916578188405797,138
cs,2021,2022,0.5179137971014492,0.4820862028985507,138
cs,2022,2023,0.5140111956521739,0.4859888043478261,138
cs,2023,2024,0.5142173768115942,0.4857826231884058,138
cs,2024,2025,0.5327353043478261,0.46726469565217393,138
