subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
math,2005,2006,43,2,"[12, 43]","[0.6137, 0.7559]","groups, group, gg, subgroups, finitely, prosoluble, lpg, finite, pgl, infty"
math,2014,2015,5,2,"[2, 5]","[0.5691, 0.8837]","algebra, algebras, hopf, lie, group, mathfrak, groups, modules, mathbb, mathcal"
math,2014,2015,23,2,"[23, 44]","[0.8132, 0.546]","lie, superalgebras, mathfrak, algebras, superalgebra, algebra, chief, widehat, graded, modules"
math,2015,2016,35,2,"[18, 35]","[0.6899, 0.5867]","mathbb, galois, group, varphi, let, ell, groups, kk, gal, infty"
math,2016,2017,12,2,"[12, 33]","[0.8704, 0.6455]","groups, group, subgroups, gg, subgroup, aut, finite, rk, virtually, free"
math,2017,2018,2,2,"[2, 11]","[0.5796, 0.6339]","mathfrak, bethe, widehat, quantum, algebra, algebras, modules, gl, lie, flag"
math,2017,2018,43,2,"[33, 43]","[0.6268, 0.8169]","groups, group, finite, mathbb, mathcal, gg, langle, finitely, rangle, pp"
math,2019,2020,18,2,"[18, 35]","[0.7527, 0.7194]","galois, mathbb, groups, group, mathrm, gg, ell, pp, gl, representations"
math,2019,2020,43,2,"[33, 43]","[0.6545, 0.8668]","groups, group, mathcal, gg, finite, mathbb, pp, abelian, finitely, subgroup"
math,2020,2021,11,2,"[2, 11]","[0.531, 0.7334]","mathfrak, mathcal, quantum, algebras, algebra, weyl, gl, superalgebra, affine, modules"
math,2022,2023,59,2,"[55, 59]","[0.6946, 0.8176]","mathbb, fractional, hardy, operators, infty, spaces, bigg, mathcal, sobolev, int"
math,2023,2024,11,2,"[2, 11]","[0.6301, 0.8415]","mathfrak, algebra, quantum, mathcal, gl, algebras, weyl, superalgebra, sl, superalgebras"
math,2023,2024,18,2,"[18, 35]","[0.8566, 0.7109]","mathbb, group, galois, groups, gl, gg, field, representations, mathrm, pp"
math,2023,2024,43,2,"[33, 43]","[0.6665, 0.9307]","groups, group, mathbb, mathcal, mathrm, gg, pp, finite, finitely, subgroup"
math,2024,2025,11,2,"[2, 11]","[0.6179, 0.9196]","mathfrak, algebra, quantum, gl, mathcal, sl, algebras, weyl, superalgebra, widehat"
