subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
math,2000,2001,49,49,0,0,49,0,49,0.0,0.0,100.0
math,2001,2002,49,53,1,0,48,0,52,2.04,0.0,97.96
math,2002,2003,53,52,0,0,53,0,52,0.0,0.0,100.0
math,2003,2004,52,55,3,0,49,0,52,5.77,0.0,94.23
math,2004,2005,55,57,2,0,53,0,55,3.64,0.0,96.36
math,2005,2006,57,56,3,0,54,0,53,5.26,0.0,94.74
math,2006,2007,56,60,5,0,51,0,55,8.93,0.0,91.07
math,2007,2008,60,61,5,0,55,0,56,8.33,0.0,91.67
math,2008,2009,61,59,5,0,56,0,54,8.2,0.0,91.8
math,2009,2010,59,61,7,0,52,0,54,11.86,0.0,88.14
math,2010,2011,61,62,7,0,54,0,55,11.48,0.0,88.52
math,2011,2012,62,62,8,0,54,0,54,12.9,0.0,87.1
math,2012,2013,62,62,10,0,52,0,52,16.13,0.0,83.87
math,2013,2014,62,62,15,2,45,1,46,24.19,3.23,72.58
math,2014,2015,62,62,10,2,50,1,51,16.13,3.23,80.65
math,2015,2016,62,62,24,2,36,1,37,38.71,3.23,58.06
math,2016,2017,62,63,26,0,36,0,37,41.94,0.0,58.06
math,2017,2018,63,63,24,2,37,1,38,38.1,3.17,58.73
math,2018,2019,63,63,25,4,34,2,36,39.68,6.35,53.97
math,2019,2020,63,63,33,2,28,1,29,52.38,3.17,44.44
math,2020,2021,63,63,28,2,33,1,34,44.44,3.17,52.38
math,2021,2022,63,63,27,4,32,2,34,42.86,6.35,50.79
math,2022,2023,63,63,26,6,31,3,34,41.27,9.52,49.21
math,2023,2024,63,63,30,4,29,2,31,47.62,6.35,46.03
math,2024,2025,63,63,36,6,21,3,24,57.14,9.52,33.33
