subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,0,2000–2005,2020–2025,0.226571,0.773429,28,23,8,20,15,28.57,"toric, witten, mirror, yau, calabi, moduli, ring, varieties, cohomology, hypersurfaces, monopoles, seiberg, semiample, chiral, degenerations, del, genus, gromov, ord, pezzo, rings, roberts, stack, teichmueller, textbf, tilde, varities, wronskian","cohomology, mathbb, mathcal, mathrm, group, mirror, toric, hodge, witten, calabi, moduli, yau, breve, ch, check, chow, invariants, langlands, mathsf, rham, text, textsf, varieties","calabi, cohomology, mirror, moduli, toric, varieties, witten, yau","breve, ch, check, chow, group, hodge, invariants, langlands, mathbb, mathcal, mathrm, mathsf, rham, text, textsf","chiral, degenerations, del, genus, gromov, hypersurfaces, monopoles, ord, pezzo, ring, rings, roberts, seiberg, semiample, stack, teichmueller, textbf, tilde, varities, wronskian"
math,1,2000–2005,2020–2025,0.349853,0.650147,45,16,6,39,10,13.33,"inequalities, laplacian, bergman, det, ij, inequality, log, manifold, riesz, 4m, bigcap, boundary, clamped, coverings, dispersion, domain, eigenvalue, energy, estimate, f3, growing, isoperimetric, lambda, leq, liouville, lip, mm, monic, nonlinear, pl, plate, plb, polynomially, profile, qtext, radius, remainder, segment, sobolev, solutions, subset, surface, transform, vibrating, weinberger","estimates, inequalities, laplacian, mathbb, domains, eigenvalue, inequality, eigenvalues, sobolev, hardy, boundary, dirichlet, frac, steklov, bounds, infty","boundary, eigenvalue, inequalities, inequality, laplacian, sobolev","bounds, dirichlet, domains, eigenvalues, estimates, frac, hardy, infty, mathbb, steklov","4m, bergman, bigcap, clamped, coverings, det, dispersion, domain, energy, estimate, f3, growing, ij, isoperimetric, lambda, leq, liouville, lip, log, manifold"
math,2,2000–2005,2020–2025,0.530849,0.469151,31,25,10,21,15,32.26,"algebra, algebras, bethe, lie, lusztig, vertex, xxz, baxter, gaudin, ggs, hexagon, kazhdan, sl, affine, avoiding, belavin, bh, dynamical, equation, gervais, irf, jordanian, master, moody, opers, quantum, roots, schubert, spin, varieties, yangians","algebra, algebras, mathfrak, quantum, flag, sl, gl, lie, bethe, frak, hbar, lusztig, mathcal, modules, baxter, drinfeld, ell, equivariant, ft, hat, mathbf, mfrak, nichols, schubert, vertex","algebra, algebras, baxter, bethe, lie, lusztig, quantum, schubert, sl, vertex","drinfeld, ell, equivariant, flag, frak, ft, gl, hat, hbar, mathbf, mathcal, mathfrak, mfrak, modules, nichols","affine, avoiding, belavin, bh, dynamical, equation, gaudin, gervais, ggs, hexagon, irf, jordanian, kazhdan, master, moody, opers, roots, spin, varieties, xxz"
math,3,2000–2005,2020–2025,0.199973,0.800027,37,22,8,29,14,21.62,"ideals, multiplier, toric, varieties, divisors, apparent, assessors, gvb, log, mq, otimes, proj, sedenions, 2n, ag, bf, bundles, divisor, equiresolution, families, fujita, ideal, indices, liso, moduli, orders, projective, quartets, quasiadjunction, rec, sheaf, sheaves, singularities, stack, tc, vb, xx","divisors, mathbb, varieties, mathcal, moduli, sheaves, projective, nef, overline, toric, bundles, divisor, 2l, bigl, bigr, cf, cones, jacques, mathscr, quot, rank, seshadri","bundles, divisor, divisors, moduli, projective, sheaves, toric, varieties","2l, bigl, bigr, cf, cones, jacques, mathbb, mathcal, mathscr, nef, overline, quot, rank, seshadri","2n, ag, apparent, assessors, bf, equiresolution, families, fujita, gvb, ideal, ideals, indices, liso, log, mq, multiplier, orders, otimes, proj, quartets"
math,4,2000–2005,2020–2025,0.35845,0.64155,32,17,7,25,10,21.88,"foliation, foliations, groupoid, fundamental, group, groupoids, hyperbolic, leaves, manifolds, correspondent, covered, leaf, surface, taut, amenability, anosov, aspherical, automorphisms, bolic, handlebodies, heteroclinic, homoclinic, laminations, lie, manifold, mcg, metric, norm, orbits, quasicompact, tcb, torus","anosov, foliations, group, hyperbolic, manifold, flow, manifolds, foliation, groups, flows, mathbb, actions, foliated, fuchsian, pseudo, text, thurston","anosov, foliation, foliations, group, hyperbolic, manifold, manifolds","actions, flow, flows, foliated, fuchsian, groups, mathbb, pseudo, text, thurston","amenability, aspherical, automorphisms, bolic, correspondent, covered, fundamental, groupoid, groupoids, handlebodies, heteroclinic, homoclinic, laminations, leaf, leaves, lie, mcg, metric, norm, orbits"
math,5,2000–2005,2020–2025,0.628055,0.371945,30,15,8,22,7,26.67,"algebra, algebras, hopf, clifford, group, groups, cal, ah, dim, gg, gl, mathtt, bo, coloured, cycop, diff, frak, fuzzy, hat, inftyrep, kg, lie, modop, nichols, noncommutative, quantum, racks, rep, representation, unstable","algebra, algebras, group, groups, lie, mathbb, mathcal, mathfrak, gl, hopf, operatorname, clifford, ltlt, mathrm, otimes","algebra, algebras, clifford, gl, group, groups, hopf, lie","ltlt, mathbb, mathcal, mathfrak, mathrm, operatorname, otimes","ah, bo, cal, coloured, cycop, diff, dim, frak, fuzzy, gg, hat, inftyrep, kg, mathtt, modop, nichols, noncommutative, quantum, racks, rep"
math,6,2000–2005,2020–2025,0.552762,0.447238,33,26,8,25,18,24.24,"algebra, algebras, operator, banach, frak, nest, af, circ, csl, hyperatomic, kl, spaces, amenability, amenable, atoms, bidual, bounded, cal, closed, col, completely, containment, endomorphisms, functions, hahn, mathbf, mathcal, monotone, pseudodifferential, quasidiagonal, riesz, singly, unital","algebra, algebras, banach, mathcal, spaces, ell, mathfrak, property, boldsymbol, infty, mathscr, operator, operators, aa, amenability, attaining, cdot, closed, mathbb, multimorphisms, nonseparable, norm, overcomplete, star, topology, wap","algebra, algebras, amenability, banach, closed, mathcal, operator, spaces","aa, attaining, boldsymbol, cdot, ell, infty, mathbb, mathfrak, mathscr, multimorphisms, nonseparable, norm, operators, overcomplete, property, star, topology, wap","af, amenable, atoms, bidual, bounded, cal, circ, col, completely, containment, csl, endomorphisms, frak, functions, hahn, hyperatomic, kl, mathbf, monotone, nest"
math,7,2000–2005,2020–2025,0.667896,0.332104,29,18,10,19,8,34.48,"algebra, algebras, quantum, representations, sl, group, hopf, krammer, bb, quantized, affine, amenability, analogs, ast, bases, braid, braided, car, convolution, hbar, mathfrak, module, nichols, product, qkzb, rat, screening, tensor, weight","algebra, algebras, mathfrak, quantum, sl, mathbb, representations, braid, braided, groups, mathrm, frakk, mathbf, gl, group, hopf, mathcal, modules","algebra, algebras, braid, braided, group, hopf, mathfrak, quantum, representations, sl","frakk, gl, groups, mathbb, mathbf, mathcal, mathrm, modules","affine, amenability, analogs, ast, bases, bb, car, convolution, hbar, krammer, module, nichols, product, qkzb, quantized, rat, screening, tensor, weight"
math,8,2000–2005,2020–2025,0.529239,0.470761,35,19,9,26,10,25.71,"monomial, ideal, ideals, modules, glicci, ring, cal, cohomology, ext, graded, liaison, multiplicities, acm, annihilator, arrangement, betti, currents, forests, gorenstein, hilbert, ii, lambda, local, macdonald, module, multr, numbers, pfaffian, polynomial, rees, residue, rings, semigroup, sextics, vv","graded, ideal, ideals, monomial, ring, rr, modules, rings, ext, mathfrak, mathbb, mathrm, bp, cohomology, hessenberg, hmf, operatorname, powers, text","cohomology, ext, graded, ideal, ideals, modules, monomial, ring, rings","bp, hessenberg, hmf, mathbb, mathfrak, mathrm, operatorname, powers, rr, text","acm, annihilator, arrangement, betti, cal, currents, forests, glicci, gorenstein, hilbert, ii, lambda, liaison, local, macdonald, module, multiplicities, multr, numbers, pfaffian"
math,9,2000–2005,2020–2025,0.167034,0.832966,31,17,8,23,9,25.81,"tree, permutations, avoiding, pattern, catalan, continued, incidence, patterns, fraction, generating, mn3, random, statistics, trees, bouwkamp, discontinuity, ensemble, enumeration, enumerators, illuminates, jz, matrices, mn, number, ordered, paths, permutation, plancherel, tableau, viterbi, zeilberger","graph, graphs, number, permutation, permutations, trees, random, ex, vertices, catalan, ldots, parking, avoiding, frac, log, patterns, rainbow","avoiding, catalan, number, patterns, permutation, permutations, random, trees","ex, frac, graph, graphs, ldots, log, parking, rainbow, vertices","bouwkamp, continued, discontinuity, ensemble, enumeration, enumerators, fraction, generating, illuminates, incidence, jz, matrices, mn, mn3, ordered, paths, pattern, plancherel, statistics, tableau"
