subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
math,0,2000,2000,0,1.0,0.0
math,0,2000,2001,1,0.307754,0.692246
math,0,2000,2002,2,0.088246,0.911754
math,0,2000,2003,3,0.231884,0.768116
math,0,2000,2004,4,0.207551,0.792449
math,0,2000,2005,5,0.267817,0.732183
math,0,2000,2006,6,0.284943,0.715057
math,0,2000,2007,7,0.093029,0.906971
math,0,2000,2008,8,0.237647,0.762353
math,0,2000,2009,9,0.204884,0.795116
math,0,2000,2010,10,0.1965,0.8035
math,0,2000,2011,11,0.095838,0.904162
math,0,2000,2012,12,0.095838,0.904162
math,0,2000,2013,13,0.124033,0.875967
math,0,2000,2014,14,0.162775,0.837225
math,0,2000,2015,15,0.20947,0.79053
math,0,2000,2016,16,0.098284,0.901716
math,0,2000,2017,17,0.098284,0.901716
math,0,2000,2018,18,0.124033,0.875967
math,0,2000,2019,19,0.152934,0.847066
math,0,2000,2020,20,0.106599,0.893401
math,0,2000,2021,21,0.106599,0.893401
math,0,2000,2022,22,0.243754,0.756246
math,0,2000,2023,23,0.204884,0.795116
math,0,2000,2024,24,0.100621,0.899379
math,0,2000,2025,25,0.057096,0.942904
math,1,2000,2000,0,1.0,0.0
math,1,2000,2001,1,0.223568,0.776432
math,1,2000,2002,2,0.174788,0.825212
math,1,2000,2003,3,0.098284,0.901716
math,1,2000,2004,4,0.066937,0.933063
math,1,2000,2005,5,0.0,1.0
math,1,2000,2006,6,0.0,1.0
math,1,2000,2007,7,0.0,1.0
math,1,2000,2008,8,0.038742,0.961258
math,1,2000,2009,9,0.043525,0.956475
math,1,2000,2010,10,0.125284,0.874716
math,1,2000,2011,11,0.125284,0.874716
math,1,2000,2012,12,0.066937,0.933063
math,1,2000,2013,13,0.080059,0.919941
math,1,2000,2014,14,0.125284,0.874716
math,1,2000,2015,15,0.125284,0.874716
math,1,2000,2016,16,0.125284,0.874716
math,1,2000,2017,17,0.098284,0.901716
math,1,2000,2018,18,0.125284,0.874716
math,1,2000,2019,19,0.098284,0.901716
math,1,2000,2020,20,0.125284,0.874716
math,1,2000,2021,21,0.125284,0.874716
math,1,2000,2022,22,0.125284,0.874716
math,1,2000,2023,23,0.098284,0.901716
math,1,2000,2024,24,0.125284,0.874716
math,1,2000,2025,25,0.125284,0.874716
math,2,2000,2000,0,1.0,0.0
math,2,2000,2001,1,0.367659,0.632341
math,2,2000,2002,2,0.173537,0.826463
math,2,2000,2003,3,0.173537,0.826463
math,2,2000,2004,4,0.217062,0.782938
math,2,2000,2005,5,0.163695,0.836305
math,2,2000,2006,6,0.106599,0.893401
math,2,2000,2007,7,0.106599,0.893401
math,2,2000,2008,8,0.106599,0.893401
math,2,2000,2009,9,0.114191,0.885809
math,2,2000,2010,10,0.106599,0.893401
math,2,2000,2011,11,0.167558,0.832442
math,2,2000,2012,12,0.253596,0.746404
math,2,2000,2013,13,0.163695,0.836305
math,2,2000,2014,14,0.145342,0.854658
math,2,2000,2015,15,0.173537,0.826463
math,2,2000,2016,16,0.156103,0.843897
math,2,2000,2017,17,0.106599,0.893401
math,2,2000,2018,18,0.173537,0.826463
math,2,2000,2019,19,0.173537,0.826463
math,2,2000,2020,20,0.106599,0.893401
math,2,2000,2021,21,0.106599,0.893401
math,2,2000,2022,22,0.106599,0.893401
math,2,2000,2023,23,0.150124,0.849876
math,2,2000,2024,24,0.163695,0.836305
math,2,2000,2025,25,0.156103,0.843897
math,3,2000,2000,0,1.0,0.0
math,3,2000,2001,1,0.3031,0.6969
math,3,2000,2002,2,0.049504,0.950496
math,3,2000,2003,3,0.043525,0.956475
math,3,2000,2004,4,0.0,1.0
math,3,2000,2005,5,0.093029,0.906971
math,3,2000,2006,6,0.0,1.0
math,3,2000,2007,7,0.066937,0.933063
math,3,2000,2008,8,0.049504,0.950496
math,3,2000,2009,9,0.049504,0.950496
math,3,2000,2010,10,0.049504,0.950496
math,3,2000,2011,11,0.116441,0.883559
math,3,2000,2012,12,0.093029,0.906971
math,3,2000,2013,13,0.145342,0.854658
math,3,2000,2014,14,0.066937,0.933063
math,3,2000,2015,15,0.129563,0.870437
math,3,2000,2016,16,0.155183,0.844817
math,3,2000,2017,17,0.165221,0.834779
math,3,2000,2018,18,0.066937,0.933063
math,3,2000,2019,19,0.066937,0.933063
math,3,2000,2020,20,0.066937,0.933063
math,3,2000,2021,21,0.066937,0.933063
math,3,2000,2022,22,0.066937,0.933063
math,3,2000,2023,23,0.066937,0.933063
math,3,2000,2024,24,0.066937,0.933063
math,3,2000,2025,25,0.066937,0.933063
math,4,2000,2000,0,1.0,0.0
math,4,2000,2001,1,0.574869,0.425131
math,4,2000,2002,2,0.574869,0.425131
math,4,2000,2003,3,0.270284,0.729716
math,4,2000,2004,4,0.186659,0.813341
math,4,2000,2005,5,0.049504,0.950496
math,4,2000,2006,6,0.124033,0.875967
math,4,2000,2007,7,0.095838,0.904162
math,4,2000,2008,8,0.192221,0.807779
math,4,2000,2009,9,0.275964,0.724036
math,4,2000,2010,10,0.124033,0.875967
math,4,2000,2011,11,0.066937,0.933063
math,4,2000,2012,12,0.149204,0.850796
math,4,2000,2013,13,0.15538,0.84462
math,4,2000,2014,14,0.116441,0.883559
math,4,2000,2015,15,0.124033,0.875967
math,4,2000,2016,16,0.0,1.0
math,4,2000,2017,17,0.116441,0.883559
math,4,2000,2018,18,0.082267,0.917733
math,4,2000,2019,19,0.066937,0.933063
math,4,2000,2020,20,0.066937,0.933063
math,4,2000,2021,21,0.066937,0.933063
math,4,2000,2022,22,0.116441,0.883559
