subject,topic_id,year_from,year_to,cosine_sim,drift
math,0,2000,2001,0.133415,0.866585
math,1,2000,2001,0.153833,0.846167
math,2,2000,2001,0.158452,0.841548
math,3,2000,2001,0.12876,0.87124
math,4,2000,2001,0.365661,0.634339
math,5,2000,2001,0.241265,0.758735
math,6,2000,2001,0.248217,0.751783
math,7,2000,2001,0.185004,0.814996
math,8,2000,2001,0.080731,0.919269
math,9,2000,2001,0.290729,0.709271
math,10,2000,2001,0.487647,0.512353
math,11,2000,2001,0.125142,0.874858
math,12,2000,2001,0.467191,0.532809
math,13,2000,2001,0.527962,0.472038
math,14,2000,2001,0.311493,0.688507
math,15,2000,2001,0.548599,0.451401
math,16,2000,2001,0.578065,0.421935
math,17,2000,2001,0.292213,0.707787
math,18,2000,2001,0.185407,0.814593
math,19,2000,2001,0.502925,0.497075
math,21,2000,2001,0.208404,0.791596
math,22,2000,2001,0.28508,0.71492
math,23,2000,2001,0.371634,0.628366
math,24,2000,2001,0.356718,0.643282
math,25,2000,2001,0.426387,0.573613
math,26,2000,2001,0.271024,0.728976
math,27,2000,2001,0.584822,0.415178
math,31,2000,2001,0.238364,0.761636
math,32,2000,2001,0.388147,0.611853
math,33,2000,2001,0.238364,0.761636
math,35,2000,2001,0.620766,0.379234
math,36,2000,2001,0.446909,0.553091
math,37,2000,2001,0.195244,0.804756
math,38,2000,2001,0.415905,0.584095
math,39,2000,2001,0.260365,0.739635
math,40,2000,2001,0.403374,0.596626
math,42,2000,2001,0.140677,0.859323
math,43,2000,2001,0.378581,0.621419
math,44,2000,2001,0.462341,0.537659
math,47,2000,2001,0.43066,0.56934
math,48,2000,2001,0.605681,0.394319
math,49,2000,2001,0.452248,0.547752
math,50,2000,2001,0.046705,0.953295
math,58,2000,2001,0.515098,0.484902
math,60,2000,2001,0.456668,0.543332
math,62,2000,2001,0.244343,0.755657
math,0,2001,2002,0.364417,0.635583
math,1,2001,2002,0.294126,0.705874
math,2,2001,2002,0.344747,0.655253
math,3,2001,2002,0.25313,0.74687
math,4,2001,2002,0.487636,0.512364
math,5,2001,2002,0.346781,0.653219
math,6,2001,2002,0.468024,0.531976
math,7,2001,2002,0.382402,0.617598
math,8,2001,2002,0.28013,0.71987
math,9,2001,2002,0.230643,0.769357
math,10,2001,2002,0.352857,0.647143
math,11,2001,2002,0.256747,0.743253
math,12,2001,2002,0.401781,0.598219
math,13,2001,2002,0.300809,0.699191
math,14,2001,2002,0.179473,0.820527
math,15,2001,2002,0.321334,0.678666
math,16,2001,2002,0.43066,0.56934
math,17,2001,2002,0.353,0.647
math,18,2001,2002,0.503245,0.496755
math,19,2001,2002,0.311918,0.688082
math,20,2001,2002,0.121469,0.878531
math,21,2001,2002,0.008657,0.991343
math,22,2001,2002,0.357783,0.642217
math,23,2001,2002,0.410853,0.589147
math,24,2001,2002,0.393123,0.606877
math,25,2001,2002,0.284363,0.715637
math,26,2001,2002,0.298833,0.701167
math,27,2001,2002,0.075948,0.924052
math,30,2001,2002,0.284172,0.715828
math,31,2001,2002,0.081926,0.918074
math,32,2001,2002,0.320419,0.679581
math,35,2001,2002,0.488098,0.511902
math,36,2001,2002,0.53002,0.46998
math,37,2001,2002,0.412957,0.587043
math,38,2001,2002,0.284078,0.715922
math,39,2001,2002,0.316545,0.683455
math,40,2001,2002,0.280937,0.719063
math,42,2001,2002,0.546588,0.453412
math,43,2001,2002,0.250052,0.749948
math,44,2001,2002,0.339542,0.660458
math,47,2001,2002,0.434249,0.565751
math,48,2001,2002,0.444612,0.555388
math,49,2001,2002,0.189776,0.810224
math,50,2001,2002,0.556111,0.443889
math,58,2001,2002,0.099645,0.900355
math,60,2001,2002,0.279968,0.720032
math,62,2001,2002,0.447252,0.552748
math,0,2002,2003,0.085339,0.914661
math,1,2002,2003,0.092688,0.907312
math,2,2002,2003,0.451968,0.548032
math,3,2002,2003,0.312273,0.687727
math,4,2002,2003,0.250052,0.749948
math,5,2002,2003,0.303885,0.696115
math,6,2002,2003,0.415351,0.584649
math,7,2002,2003,0.492612,0.507388
math,8,2002,2003,0.449488,0.550512
math,9,2002,2003,0.435954,0.564046
math,10,2002,2003,0.566268,0.433732
math,11,2002,2003,0.357391,0.642609
math,12,2002,2003,0.52854,0.47146
math,13,2002,2003,0.438408,0.561592
math,14,2002,2003,0.42513,0.57487
math,15,2002,2003,0.239291,0.760709
math,16,2002,2003,0.460827,0.539173
math,17,2002,2003,0.239291,0.760709
math,18,2002,2003,0.447421,0.552579
math,19,2002,2003,0.30435,0.69565
math,21,2002,2003,0.012531,0.987469
math,22,2002,2003,0.469486,0.530514
math,23,2002,2003,0.284751,0.715249
math,24,2002,2003,0.213007,0.786993
math,25,2002,2003,0.384004,0.615996
math,26,2002,2003,0.442519,0.557481
math,27,2002,2003,0.244343,0.755657
math,29,2002,2003,0.410836,0.589164
math,31,2002,2003,0.12636,0.87364
math,32,2002,2003,0.061341,0.938659
math,35,2002,2003,0.35866,0.64134
math,36,2002,2003,0.271354,0.728646
math,37,2002,2003,0.53002,0.46998
math,39,2002,2003,0.326387,0.673613
math,40,2002,2003,0.257644,0.742356
math,41,2002,2003,0.434057,0.565943
math,42,2002,2003,0.302707,0.697293
math,43,2002,2003,0.389534,0.610466
math,44,2002,2003,0.148139,0.851861
math,47,2002,2003,0.438123,0.561877
math,48,2002,2003,0.199914,0.800086
math,49,2002,2003,0.316881,0.683119
math,50,2002,2003,0.300296,0.699704
math,53,2002,2003,0.593565,0.406435
math,55,2002,2003,0.370456,0.629544
math,56,2002,2003,0.507248,0.492752
math,58,2002,2003,0.257525,0.742475
math,60,2002,2003,0.12636,0.87364
math,62,2002,2003,0.212762,0.787238
math,0,2003,2004,0.370434,0.629566
math,1,2003,2004,0.122486,0.877514
math,2,2003,2004,0.403885,0.596115
math,3,2003,2004,0.003874,0.996126
math,4,2003,2004,0.057723,0.942277
math,5,2003,2004,0.420123,0.579877
math,6,2003,2004,0.374781,0.625219
math,7,2003,2004,0.557493,0.442507
math,8,2003,2004,0.357542,0.642458
math,9,2003,2004,0.327313,0.672687
math,10,2003,2004,0.387543,0.612457
math,11,2003,2004,0.091897,0.908103
math,12,2003,2004,0.407697,0.592303
math,13,2003,2004,0.447514,0.552486
math,14,2003,2004,0.054297,0.945703
math,15,2003,2004,0.447503,0.552497
math,16,2003,2004,0.053849,0.946151
math,17,2003,2004,0.39864,0.60136
math,18,2003,2004,0.364735,0.635265
math,19,2003,2004,0.375194,0.624806
math,21,2003,2004,0.362057,0.637943
math,22,2003,2004,0.554371,0.445629
math,23,2003,2004,0.321615,0.678385
math,24,2003,2004,0.224473,0.775527
math,25,2003,2004,0.324282,0.675718
math,26,2003,2004,0.449076,0.550924
math,27,2003,2004,0.387879,0.612121
math,29,2003,2004,0.475616,0.524384
math,31,2003,2004,0.003874,0.996126
math,32,2003,2004,0.543142,0.456858
math,33,2003,2004,0.098176,0.901824
math,35,2003,2004,0.267317,0.732683
math,36,2003,2004,0.359666,0.640334
math,37,2003,2004,0.460625,0.539375
math,39,2003,2004,0.41471,0.58529
math,40,2003,2004,0.416545,0.583455
math,41,2003,2004,0.247898,0.752102
math,42,2003,2004,0.401874,0.598126
math,43,2003,2004,0.257902,0.742098
math,44,2003,2004,0.387441,0.612559
math,47,2003,2004,0.240092,0.759908
math,48,2003,2004,0.298833,0.701167
math,49,2003,2004,0.583757,0.416243
math,50,2003,2004,0.321217,0.678783
math,53,2003,2004,0.430272,0.569728
math,55,2003,2004,0.157211,0.842789
math,56,2003,2004,0.329718,0.670282
math,58,2003,2004,0.288339,0.711661
math,60,2003,2004,0.103363,0.896637
math,62,2003,2004,0.516612,0.483388
math,0,2004,2005,0.374196,0.625804
math,1,2004,2005,0.053849,0.946151
math,2,2004,2005,0.176346,0.823654
