subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
math,0,0.204,0.0,0.7959999999999999,1.0
math,1,0.21600000000000003,0.0,0.784,1.0
math,2,0.26,0.0,0.74,1.0
math,3,0.11200000000000002,0.0,0.888,1.0
math,4,0.23600000000000002,0.0,0.764,1.0
math,5,0.424,0.2,0.5760000000000001,0.8
math,6,0.228,0.1,0.772,0.9
math,7,0.3,0.1,0.7,0.9
math,8,0.28,0.0,0.72,1.0
math,9,0.268,0.0,0.732,1.0
math,10,0.488,0.2,0.512,0.8
math,11,0.292,0.0,0.708,1.0
math,12,0.34,0.1,0.66,0.9
math,13,0.40399999999999997,0.2,0.596,0.8
math,14,0.20400000000000001,0.0,0.7959999999999999,1.0
math,15,0.316,0.1,0.684,0.9
math,16,0.16,0.0,0.84,1.0
math,17,0.332,0.1,0.6679999999999999,0.9
math,18,0.364,0.1,0.636,0.9
math,19,0.43200000000000005,0.2,0.568,0.8
math,20,0.20909090909090908,0.0,0.7909090909090909,1.0
math,21,0.29600000000000004,0.0,0.7040000000000001,1.0
math,22,0.58,0.3,0.42,0.7
math,23,0.37200000000000005,0.1,0.628,0.9
math,24,0.22,0.0,0.78,1.0
math,25,0.252,0.0,0.748,1.0
math,26,0.324,0.1,0.6759999999999999,0.9
math,27,0.368,0.0,0.632,1.0
math,28,0.3105263157894737,0.0,0.6894736842105263,1.0
math,29,0.3130434782608696,0.1,0.6869565217391305,0.9
math,30,0.3318181818181818,0.0,0.6681818181818181,1.0
math,31,0.084,0.0,0.9159999999999999,1.0
math,32,0.324,0.0,0.6759999999999999,1.0
math,33,0.16086956521739132,0.0,0.8391304347826087,1.0
math,34,0.43333333333333335,0.0,0.5666666666666667,1.0
math,35,0.248,0.0,0.752,1.0
math,36,0.344,0.2,0.6559999999999999,0.8
math,37,0.29600000000000004,0.0,0.7040000000000001,1.0
math,38,0.48571428571428565,0.0,0.5142857142857143,1.0
math,39,0.46,0.2,0.54,0.8
math,40,0.24,0.0,0.76,1.0
math,41,0.3826086956521739,0.0,0.6173913043478261,1.0
math,42,0.28,0.0,0.72,1.0
math,43,0.34,0.0,0.66,1.0
math,44,0.38799999999999996,0.1,0.612,0.9
math,45,0.56,0.0,0.44,1.0
math,46,0.485,0.0,0.515,1.0
math,47,0.3,0.0,0.7,1.0
math,48,0.272,0.0,0.728,1.0
math,49,0.316,0.0,0.684,1.0
math,50,0.316,0.0,0.684,1.0
math,51,0.2222222222222222,0.0,0.7777777777777778,1.0
math,52,0.355,0.0,0.645,1.0
math,53,0.5478260869565217,0.0,0.45217391304347826,1.0
math,54,0.5428571428571428,0.2,0.45714285714285713,0.8
math,55,0.29047619047619044,0.0,0.7095238095238096,1.0
math,56,0.42173913043478256,0.2,0.5782608695652174,0.8
math,57,0.5176470588235295,0.1,0.48235294117647054,0.9
math,58,0.20800000000000002,0.0,0.792,1.0
math,59,0.3761904761904762,0.0,0.6238095238095238,1.0
math,60,0.308,0.0,0.6920000000000001,1.0
math,61,0.7,0.5,0.3,0.5
math,62,0.392,0.0,0.608,1.0
