subject,topic_id,window,win_start,win_end,top_words,n_words
math,0,2000–2005,2000,2005,"cohomology, ring, degeneration, toric_variety, calabi_yau_hypersurface, chiral, chow, genus, gromov_witten, group, hypersurface, modulus_space, monopole, semiample, toric, donaldson_seiberg_witten, elliptic, equivalence, fibration, gluing, hyperkaehler, langland_correspondence, micro, mirror, moduli_space, modulus_stack, multiplicity, numerical, projective, quantum, roberts, seiberg_witten, sigma, teichmueller, toric_del_pezzo, torus, varitie, witten, wronskian",39
math,0,2005–2010,2005,2010,"gromov_witten, group, cohomology, calabi_yau_fold, toric, chow, hypersurface, mirror, mirror_symmetry, ring, variety, adic, calabi_yau_hypersurface, calabi_yau_threefold, carayol, complete_intersection, degeneration, gaminf, genus, invariant, langland_correspondence, local, lubin_tate, lubin_tate_tower, marino_vafa, markarian, math, micro, picard_fuchs, projective, quantum, quintic, space, teichmueller, theory, zeroth",36
math,0,2010–2015,2010,2015,"group, calabi_yau_threefold, cohomology, calabi_yau, gromov_witten, hypersurface, langland_correspondence, hodge, local, mirror, ron, toric, adic, bgo, character, complete_intersection, correspondence, curve, genus, inertial, lubin_tate, maschke, metaplectic, projective, quintic, ring, scheme, smooth, surface, theory, variety, witt",32
math,0,2015–2020,2015,2020,"group, hodge, variety, cohomology, hypersurface, calabi_yau_threefold, chow, curve, perp, ring, smooth, witt, bott_chern_aeppli, braid, breve, calabi_yau, correspondence, crc, field, genus, glsm, gromov_witten, holed, inertial, ker, mathbb, mathcal, mathcal_mathcal, mathfrak, mirror, qcoh, rig, tmf_tmf, toric, usp",35
math,0,2020–2025,2020,2025,"cohomology, group, mathbb, mathcal, mathcal_mathcal, gromov_witten, hodge, curve, mathbb_mathbb, variety, genus, toric, breve, chow, field, fukaya_category, hypersurface, invariant, mathrm, overline_mathds, rham, ring, surface, toric_variety",24
math,1,2000–2005,2000,2005,"inequality, laplacian, bergman_kernel, monic, det, eigenvalue, estimate, norm, qtext, riesz_transform, bigcap, boundary, compact, concentrate, covering, cusp, dispersion, domain, ellipticity, energy, fefferman, isoperimetric, liouville, log, manifold, neumann, nonlinear, operator, plate, plb, power, profile, quantization, remainder, segment, sobolev, surface, theorem, weinberger, wellknown",40
math,1,2005–2010,2005,2010,"domain, eigenvalue, inequality, operator, laplacian, manifold, riesz_transform, sobolev, sup, compact, function, lebesgue_measure, liouville, remez, absolute, ball, bohr_radius, boundary, cluster, constant, covering, dispersion, euclidean, hardy, monge_amp, operatorname_lip, poly, polydisc, surface, theorem",30
math,1,2010–2015,2010,2015,"domain, eigenvalue, inequality, laplacian, estimate, sobolev, function, bound, operator, sharp, constant, boundary, capacity, curvature, eigenfunction, fundamentality, hardy, manifold, operatorname_lip, polynomial, remez, steklov",22
math,1,2015–2020,2015,2020,"domain, eigenvalue, estimate, inequality, laplacian, sobolev, hardy, operator, sharp, bound, eigenfunction, function, dirichlet, frac, manifold, mathbb, riemannian_manifold, sup",18
math,1,2020–2025,2020,2025,"domain, eigenvalue, estimate, function, inequality, laplacian, operator, sobolev, boundary, hardy, sharp, dirichlet, frac, mathbb, mathbb_mathbb",15
