subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_disappear
physics,2000,2001,41,44,20,13,0,8,0,11,48.78,31.71,0.0,19.51
physics,2001,2002,44,51,15,15,6,8,3,18,34.09,34.09,13.64,18.18
physics,2002,2003,51,51,19,13,2,17,1,18,37.25,25.49,3.92,33.33
physics,2003,2004,51,54,25,13,0,13,0,16,49.02,25.49,0.0,25.49
physics,2004,2005,54,58,26,10,7,11,3,19,48.15,18.52,12.96,20.37
physics,2005,2006,58,65,37,14,2,5,1,13,63.79,24.14,3.45,8.62
physics,2006,2007,65,67,33,16,8,8,3,15,50.77,24.62,12.31,12.31
physics,2007,2008,67,68,37,24,0,6,0,7,55.22,35.82,0.0,8.96
physics,2008,2009,68,71,41,15,10,2,5,10,60.29,22.06,14.71,2.94
physics,2009,2010,71,74,50,15,4,2,2,7,70.42,21.13,5.63,2.82
physics,2010,2011,74,74,57,15,2,0,1,1,77.03,20.27,2.7,0.0
physics,2011,2012,74,73,55,15,2,2,1,2,74.32,20.27,2.7,2.7
physics,2012,2013,73,74,60,9,2,2,1,4,82.19,12.33,2.74,2.74
physics,2013,2014,74,74,62,10,2,0,1,1,83.78,13.51,2.7,0.0
physics,2014,2015,74,74,65,5,4,0,2,2,87.84,6.76,5.41,0.0
physics,2015,2016,74,74,64,8,2,0,1,1,86.49,10.81,2.7,0.0
physics,2016,2017,74,74,65,6,2,1,1,2,87.84,8.11,2.7,1.35
physics,2017,2018,74,74,70,4,0,0,0,0,94.59,5.41,0.0,0.0
physics,2018,2019,74,74,68,2,4,0,2,2,91.89,2.7,5.41,0.0
physics,2019,2020,74,74,73,0,0,1,0,1,98.65,0.0,0.0,1.35
physics,2020,2021,74,74,67,3,4,0,2,2,90.54,4.05,5.41,0.0
physics,2021,2022,74,74,71,3,0,0,0,0,95.95,4.05,0.0,0.0
physics,2022,2023,74,74,70,4,0,0,0,0,94.59,5.41,0.0,0.0
physics,2023,2024,74,74,70,4,0,0,0,0,94.59,5.41,0.0,0.0
physics,2024,2025,74,74,72,2,0,0,0,0,97.3,2.7,0.0,0.0
