subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
physics,0,2000,2025,26,0.305836,0.694164,"colliders, gamma, plasma, beam, muon, converter, ions, backstreaming, electron, laser","plasma, beam, plasmas, electron, particle, laser, magnetic, ion, wakefield, collisionless"
physics,1,2000,2025,26,0.235747,0.764253,"alpha, ln, corrections, lamb, tlh, qed, energy, recoil, hydrogen, grecp","relativistic, corrections, nuclear, muonic, qed, hydrogen, mathrm, 2p, hyperfine, electron"
physics,2,2000,2025,26,0.270284,0.729716,"dna, tracts, ligand, adenine, bonded, helical, double, stranded, bends, basepairs","dna, protein, molecular, proteins, chromatin, dynamics, conformational, model, md, drug"
physics,3,2000,2025,26,0.557895,0.442105,"cooling, cesium, trap, evaporative, optical, sideband, 10muk, 300nk, laser, atoms","cooling, optical, trap, quantum, atoms, laser, trapping, mot, trapped, atom"
physics,4,2005,2025,21,0.225401,0.774599,"photonic, crystal, terahertz, rectification, impedance, microcavities, harmonic, generation, matching, nonlinear","nonlinear, generation, optical, harmonic, photonic, niobate, frequency, lithium, shg, thz"
physics,5,2000,2025,26,0.082267,0.917733,"sisyphus, collisions, stability, wave, atoms, gases, contact, cooling, hotter, fermi","quantum, fermi, yrast, states, bose, gas, component, quartet, gases, phase"
physics,6,2000,2025,26,0.0,1.0,"deforming, inherit, energetic, automatically, reference, newtonian, discretisations, abscence, descriptions, incompressible","fluid, relativistic, hydrodynamics, sph, fluids, flows, flow, particle, viscosity, equations"
physics,7,2000,2025,25,0.0,1.0,"attractor, viscosity, inertial, eigenfrequencies, cauchy, ekman, ill, poincar, attractors, problem","flow, vortex, reynolds, flows, fluid, instability, turbulence, wake, turbulent, rotating"
physics,8,2001,2025,19,0.038742,0.961258,"vibronic, ro, qubit, coherences, tfrcars, cars, superpositions, resolved, cnot, quantum","optical, photonic, quantum, light, topological, oam, nonlinear, chiral, phase, integrated"
physics,9,2000,2025,25,0.223568,0.776432,"rdm, micromaser, states, quantum, quasitrapping, quasitrapped, diagonal, mesoscopic, fock, mesoscopically","quantum, spin, states, dynamics, rydberg, systems, time, optical, atoms, state"
physics,10,2000,2025,26,0.289311,0.710689,"pixel, epic, detector, mos, electrode, ccds, events, xmm, board, beam","detector, detectors, pixel, readout, lhc, resolution, performance, muon, beam, sensor"
physics,11,2000,2025,25,0.213809,0.786191,"linac, beam, spoilers, colliders, beams, rfq, nlc, ma, high, funneling","beam, laser, electron, high, accelerator, plasma, wakefield, pulse, energy, accelerators"
physics,12,2000,2025,26,0.098284,0.901716,"exponents, anomalous, ast, turbulence, scaling, small, k41, functions, kolmogorov, parameter","turbulence, solar, wind, turbulent, magnetic, ell, mathrm, mhd, scale, fluctuations"
physics,13,2000,2025,26,0.164026,0.835974,"flow, morphologies, convecting, lyapunov, rolls, rayleigh, entropy, frequency, heat, turbulence","turbulence, turbulent, flow, flows, energy, reynolds, scale, velocity, dissipation, scales"
physics,14,2001,2025,23,0.123584,0.876416,"cutoff, fractal, affine, field, nanoscale, silver, far, scattered, near, speckle","plasmonic, plasmon, optical, surface, field, light, plasmons, near, nanoparticles, metal"
physics,15,2000,2025,26,0.049504,0.950496,"le, bar, clusters, twist, sjm, metals, shell, spin, inequality, jellium","spin, magnetic, altermagnetic, magnetization, hall, materials, fe, spintronic, ferromagnetic, topological"
physics,16,2006,2025,20,0.367009,0.632991,"single, detectors, photon, 1300nm, apds, superconducting, sspds, photodiodes, sensitivity, qds","photon, quantum, single, optical, photons, superconducting, detection, detectors, detector, nanowire"
physics,17,2000,2025,26,0.301181,0.698819,"reconnection, fluid, magnetic, galactic, goes, resistivity, field, fast, stochasticity, solar","magnetic, dynamo, turbulence, turbulent, reconnection, field, mhd, rm, solar, simulations"
physics,18,2000,2025,25,0.223568,0.776432,"flows, gam, tokamak, turbulence, zonal, stringer, winsor, braginskii, geodesic, edge","plasma, tokamak, turbulence, magnetic, transport, gyrokinetic, plasmas, turbulent, fusion, toroidal"
physics,19,2001,2025,24,0.080059,0.919941,"reactive, wendroff, microflows, millimetric, boltzmann, efficiency, lax, barriers, reaction, micro","boltzmann, fluid, flow, flows, method, lattice, dsmc, lbm, rarefied, particle"
physics,20,2003,2025,22,0.0,1.0,"pbpb, finder, cdf, tevatron, multiplicity, calorimetry, alice, run, tpc, recognition","detector, reconstruction, calorimeter, data, learning, physics, lhc, trigger, collider, high"
physics,21,2003,2025,23,0.125284,0.874716,"dissimilarity, network, leq, community, jj, node, attractor, ii, vertices, distance","epidemic, networks, network, disease, social, covid, infection, contagion, vaccination, spread"
physics,22,2002,2025,24,0.038742,0.961258,"srrs, permeability, permittivity, negative, refraction, dielectric, left, handed, wires, real","metamaterials, hyperbolic, materials, wave, media, elastic, metamaterial, waves, dispersion, permittivity"
physics,23,2000,2025,26,0.307311,0.692689,"positron, plasma, electron, intense, rfq, positrons, accelerated, lazer, asynchronac, energy","laser, plasma, acceleration, electron, beam, pulse, wakefield, particle, relativistic, positron"
physics,24,2002,2025,24,0.098284,0.901716,"cu, fe, nonmagnetic, optical, magneto, response, converges, eigenstates, mry, layers","metasurfaces, optical, photonic, metasurface, nonlinear, polarization, light, chiral, metamaterials, bics"
physics,25,2002,2025,22,0.057096,0.942904,"ocean, kalman, assimilator, nino, assimilation, el, fokker, mpimet, grob, componenet","weather, climate, forecasting, learning, data, models, ocean, forecasts, model, neural"
physics,26,2002,2025,24,0.066937,0.933063,"interatomic, neon, orthogonalized, moduli, exp, potential, liquids, md, empirically, hartree","potentials, learning, molecular, functional, machine, interatomic, density, accuracy, quantum, energy"
