subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
physics,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.506853,0.493147,"beam, plasma, electron, ion, colliders, collisionless, fusion, gamma, mri, par, positron, agrees, backstreaming, charge, converter, dense, eb, electromagnetic, field, focusing, gev, gluon, gol, gyrokinetic, hb, ions, kev, kevsec, laser, ll, lsim, macroscopic, muon, poicare, quark, simulated, spots","plasma, beam, dust, electron, fusion, wakefield, ion, laser, plasmas, field, shock, accelerator, beams, beatwave, bunch, contamination, deplete, eb, electromagnetic, electrons, filamentation, hb, instabilities, instability, lens, macroscopic, mpwa, neutrino, relativistic, wake, weibel"
physics,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.601763,0.398237,"plasma, beam, dust, electron, fusion, wakefield, ion, laser, plasmas, field, shock, accelerator, beams, beatwave, bunch, contamination, deplete, eb, electromagnetic, electrons, filamentation, hb, instabilities, instability, lens, macroscopic, mpwa, neutrino, relativistic, wake, weibel","beam, plasma, plasmas, electron, ion, laser, field, particle, magnetic, relativistic, dust, electrons, instability, wakefield, density, filamentation, pic, shock, vec"
physics,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.718804,0.281196,"beam, plasma, plasmas, electron, ion, laser, field, particle, magnetic, relativistic, dust, electrons, instability, wakefield, density, filamentation, pic, shock, vec","beam, electron, magnetic, particle, plasma, plasmas, wakefield, laser, ion, field, pic, reconnection, relativistic, shock"
physics,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.844881,0.155119,"beam, electron, magnetic, particle, plasma, plasmas, wakefield, laser, ion, field, pic, reconnection, relativistic, shock","beam, electron, laser, magnetic, particle, plasma, plasmas, field, shock, wakefield, acceleration, beams, ion, collisionless, reconnection"
physics,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.457466,0.542534,"corrections, energy, alpha, qed, radiative, hydrogen, parity, pnc, relativistic, correction, hyperfine, lamb, ln, nonconservation, atoms, az, breit, cp, cs, electron, grecp, kaonic, le, loop, muonium, pionic, recoil, splitting, tlh","corrections, relativistic, hydrogen, hyperfine, electron, muonic, nuclear, correction, kaonic, qed, splitting, 5f, atoms, az, black, body, calc, cp, deltas, dkb, e112h, energy, expt, gs, insertions, ions, lamb, order, pionic, radiative, superheavy, zalpha"
physics,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.550855,0.449145,"corrections, relativistic, hydrogen, hyperfine, electron, muonic, nuclear, correction, kaonic, qed, splitting, 5f, atoms, az, black, body, calc, cp, deltas, dkb, e112h, energy, expt, gs, insertions, ions, lamb, order, pionic, radiative, superheavy, zalpha","corrections, hydrogen, muonic, lamb, proton, relativistic, hyperfine, shift, 2p, 2s, 24p, 4m, 4p, 4s, bound, cal, correction, deltas, deuterium, electron, gs, mass, nuclear, zalpha"
physics,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.575456,0.424544,"corrections, hydrogen, muonic, lamb, proton, relativistic, hyperfine, shift, 2p, 2s, 24p, 4m, 4p, 4s, bound, cal, correction, deltas, deuterium, electron, gs, mass, nuclear, zalpha","muonic, corrections, lamb, relativistic, shift, hydrogen, nuclear, 2p, 3s, electron, ions, mathcal, qed, 24p, 3p, 4be, 4p, 4s, cal, calculations, isotope, leq, polarizabilities, proton, tho"
physics,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.630083,0.369917,"muonic, corrections, lamb, relativistic, shift, hydrogen, nuclear, 2p, 3s, electron, ions, mathcal, qed, 24p, 3p, 4be, 4p, 4s, cal, calculations, isotope, leq, polarizabilities, proton, tho","muonic, nuclear, qed, relativistic, corrections, 2p, electron, hydrogen, 3p, calculations, 3s, e1, hyperfine, 2s, helium, hfs, ions, lamb, mathrm, pv"
physics,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.638054,0.361946,"dna, folding, protein, stranded, tracts, adenine, binding, cage, conformational, curvature, model, trp, basepairs, bends, bonded, ce, chain, conformations, denaturation, double, elasticity, enthalpies, fjc, hamming, helical, ligand, ligands, miniprotein, native, nmr, overstretching, rmsd, sh3, stacking, stretch, tract","dna, folding, protein, proteins, trp, cage, zinc, conformations, enthalpies, model, residue, vivo, ashkin, bend, binding, ce, denaturation, dsdna, folded, landscape, looping, molecular, molecule, multicanonical, multiscaal, native, rco, stacking, writhe"
physics,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.67513,0.32487,"dna, folding, protein, proteins, trp, cage, zinc, conformations, enthalpies, model, residue, vivo, ashkin, bend, binding, ce, denaturation, dsdna, folded, landscape, looping, molecular, molecule, multicanonical, multiscaal, native, rco, stacking, writhe","dna, folding, protein, proteins, model, coarse, grained, binding, denaturation, folded, rna, tmao, backbone, base, crosslink, force, hp1, hydrogen, loop, melting, molecular, multiscaal, residue, ssdna, stranded, trp, zinc"
