subject,year_from,year_to,topic_id,words
math,2000,2001,38,"meixner, pollaczek, repka, masson, jacobi, favard, tridiagonal, deficiency, hypergeometric, stating"
math,2000,2001,41,"drunkard, discrepancy, sinai, aging, lim, rollnik, journe, interestion, to0, soffer"
math,2000,2001,60,"stream, superlinearly, displayed, fine, cavity, navier, contours, coarse, viscous, stokes"
math,2000,2001,63,"twice, repetitions, sampled, merging, coagulation, chains, transience, parts, fragmentation, biased"
math,2000,2001,71,"fpt, anomalous, passage, barriers, drift, fox, expression, absorbing, levy, diffusion"
math,2000,2001,115,"freeness, hierarchy, limit, smaller, invariance, depth, crossing, laws, expressed, partitions"
math,2001,2002,20,"lipschitzian, controls, pontryagin, assuring, assure, applicability, lagrange, unrestricted, trajectories, rewriting"
math,2001,2002,22,"noncompact, greene, biholomorphic, wu, affirmative, positively, sectional, curved, hler, chern"
math,2001,2002,54,"pezzo, break, del, terminal, fibrations, pathological, singularities, mather, rotational, isolated"
math,2001,2002,59,"10j, crane, barrett, foam, sle, foams, amplitudes, symbols, schramm, quasicrystals"
math,2001,2002,61,"rieman, powers, avoids, replace, formed, primes, unlike, calculations, regions, represented"
math,2001,2002,73,"exchanging, leopoldt, surmise, units, distinguish, congruent, searching, raises, conjugates, logarithms"
math,2001,2002,74,"turning, diffeomorphisms, bar, linearizable, inverse, conjugated, uniquely, mapsto, affects, ergodic"
math,2001,2002,79,"stewartson, davey, willmore, correspond, transformed, immersion, determination, variational, weierstrass, help"
math,2001,2002,87,"web, coalescing, werner, arratia, brownian, formally, motions, later, characterizing, em"
math,2001,2002,99,"insurance, investor, utility, portfolio, strategy, intuitivity, protective, scenarios, practise, pratt"
math,2001,2002,113,"renyi, erdos, bessis, zuber, itzykson, valence, enumeration, partition, expansion, labelled"
math,2001,2002,119,"partiton, nonparametrics, perman, weng, calculus, amplification, yor, pitman, bayesian, lo"
math,2002,2003,39,"restrained, quadruple, covers, auf, gruppenoperationen, gezuegelter, kurven, entartung, zur, extremal"
math,2002,2003,51,"ribbon, insertion, murnagham, bratelli, st02, elimination, plancherel, ladder, exchangeable, bars"
math,2002,2003,62,"corput, discriminant, binary, binomiaux, lassalle, der, van, coefficients, une, sur"
math,2002,2003,67,"nielsen, dimy, dimx, preimage, homotopies, dimz, writable, coincidence, removability, aschbacher"
math,2002,2003,105,"capacitances, conductors, calculating, shapes, cubature, multidimensional, calculation, developing, weakly, code"
math,2002,2003,108,"discipline, service, queues, queue, nonhomogenuity, logconvex, nonhomogeneous, gnedenko, foreground, makarov"
math,2003,2004,53,"reversible, mcmc, sometime, peskun, chain, chains, staying, backtrack, variance, expectations"
