subject,year_from,year_to,topic_id,category,best_match_topic,best_match_sim,words
math,2000,2001,0,evolve,0,0.369189,"isoparametric, isospectral, isophasal, audible, osgood, submersions, phillips, superconnections, sarnak, anticommutator"
math,2000,2001,1,evolve,1,0.287151,"rolle, bump, omega, pc, szlenk, alpha, starlike, index, null, lipschiz"
math,2000,2001,2,evolve,2,0.44063,"thoery, krein, hermitian, kernels, gns, exponentials, dilation, played, realize, indefinite"
math,2000,2001,3,evolve,3,0.305964,"semiample, varities, chiral, hypersurfaces, batyrev, thomsen, pandharipande, toric, vari, vfr"
math,2000,2001,4,evolve,4,0.304584,"qtext, f3, vibrating, ij, clamped, weinberger, plate, ellipticity, cz, hile"
math,2000,2001,5,evolve,5,0.338309,"hexagon, ggs, belavin, gervais, jordanian, parafermion, felder, wx, neveu, fermionc"
math,2000,2001,6,evolve,6,0.205343,"sedenions, assessors, quartets, trefoils, equiresolution, shokurov, kite, fujino, indices, subadditivity"
math,2000,2001,7,stable,7,0.598752,"foliation, groupoids, correspondent, groupoid, leaves, covered, ergodically, tautly, leaf, latters"
math,2000,2001,8,stable,8,0.624485,"mathtt, cycop, modop, ah, biconvolution, gebra, clifford, diff, chord, quaternions"
math,2000,2001,9,evolve,9,0.318072,"vassiliev, arrangement, ta, complement, quadriple, amelioration, optimistically, 16a, hyperplane, figure"
math,2000,2001,10,stable,10,0.625752,"nest, hyperatomic, csl, propery, conditon, singly, containment, atoms, hahn, characterisation"
math,2000,2001,11,evolve,2,0.049504,"krammer, gns, pip, formanek, braid, bicrossed, convolution, majid, nb, 2rank"
math,2000,2001,12,evolve,12,0.493853,"morita, rieffel, onsager, formal, equivalence, ring, analzye, quantization, induction, deformation"
math,2000,2001,13,evolve,13,0.139363,"orlik, arrangement, ext, semigroup, solomon, saturation, succesive, polygraphs, bass, ka"
math,2000,2001,14,stable,14,0.615973,"incidence, continued, fraction, illuminates, enumerates, catalan, robertson, tree, zeilberger, mapped"
math,2000,2001,15,stable,15,0.582719,"kontsevich, akizuki, parshin, motivic, igusa, batyrev, nakano, arakelov, mckay, zeta"
math,2000,2001,16,stable,16,0.64642,"quasiperiodic, titchmarsh, amplitude, schrodinger, gordon, gronwall, pseudospectral, absence, dinger, schr"
math,2000,2001,17,evolve,17,0.174788,"superconformal, schrodinger, supercurrents, deformed, oscillator, ads, quasiclassical, berezin, supersymmetry, vasiliev"
math,2000,2001,18,stable,18,0.894321,"diagram, platonov, amalgamation, plotkin, kerphi, superrigid, thompson, bottom, nil, bases"
math,2000,2001,19,evolve,19,0.435506,"painlev, okamoto, painleve, calogero, homoclinic, kzb, inozemtsev, pvi, 2d, melnikov"
