subject,year_from,year_to,topic_id,category,best_match_topic,best_match_sim,words
physics,2000,2001,0,evolve,0,0.32738,"schroedinger, 100a, subspace, extracting, wavefunctions, diatomic, sigma, gerade, mesh, ungerade"
physics,2000,2001,1,evolve,83,0.209026,"equipartitioning, colliders, backstreaming, converter, askaryan, gamma, livermore, spots, lawrence, cup"
physics,2000,2001,2,stable,2,0.875967,"formulae, logically, considerations, imperfect, uncertainty, meaning, intervals, probabilistic, included, subsequent"
physics,2000,2001,3,stable,3,0.533597,"7s, alpha, tlh, logarithms, lamb, 6s, hfs, ln, grecp, 133cs"
physics,2000,2001,4,disappear,0,0.0,"heckmann, substratum, hooke, newtonian, mach, cartan, philosophic, availing, assis, objectios"
physics,2000,2001,5,stable,5,0.627227,"tracts, dna, unzipping, adenine, basepairs, replisome, bends, tract, bonded, polypeptide"
physics,2000,2001,6,evolve,6,0.137155,"epr, reichenbach, inequalities, bell, cause, maximally, loophole, common, reichenbachian, postscript"
physics,2000,2001,7,stable,7,0.746529,"evaporative, cesium, 10muk, 300nk, eia, trap, knife, evanescent, ultrastable, evaporation"
physics,2000,2001,8,disappear,0,0.0,"voltammograms, 2x2, disordering, bromine, electrosorption, voltammetry, electrodeposition, cyclic, br, desorption"
physics,2000,2001,9,stable,9,0.634691,"mshg, nondirect, ni, empty, concentrate, harmonics, clean, harmonic, choosing, third"
physics,2000,2001,10,stable,10,0.62112,"maws, chaos, pitaevskii, cgle, jaynes, cummings, gross, condensates, semiclassical, possibilty"
physics,2000,2001,11,evolve,11,0.337114,"cycloids, horn, metalic, oscilator, demostrated, tangent, eclipsing, lasing, paths, deformed"
physics,2000,2001,12,evolve,12,0.167558,"6c, condensates, recombination, collapse, ns, asserted, pitaevskii, arrests, alpha, reforms"
physics,2000,2001,13,stable,13,0.725383,"recombination, sodium, coefficients, iv, recomputed, ccd, longrightarrow, quantal, ascertain, noble"
physics,2000,2001,14,evolve,14,0.412839,"alben, literatuare, matrices, lanczos, comparision, eigenvalue, decided, eigenfunction, economical, arithmetic"
physics,2000,2001,15,stable,15,0.874716,"hyperspheres, demixing, penetrated, binodal, shedding, hysteresis, spinodal, hysteretic, metastability, laminar"
physics,2000,2001,17,evolve,40,0.038742,"algerian, pod, altimetry, mediterranean, quasigeostrophic, optimality, western, sea, satellite, projecting"
physics,2000,2001,18,evolve,18,0.298372,"linac, rfq, leda, nlc, emittance, rf, injector, fel, cw, linacs"
physics,2000,2001,19,stable,19,0.840757,"cch4, franck, antiatom, condon, ch3f, ortho, para, ell, ethylene, algebraic"
physics,2000,2001,20,stable,20,0.618912,"deforming, inherit, abscence, tangential, discretisations, riemann, focusses, reconciles, godunov, automatically"
physics,2000,2001,21,disappear,0,0.0,"arbitrarily, oscillator, enclosed, facing, turning, resonators, sphere, priori, mathematically, reflecting"
physics,2000,2001,22,evolve,22,0.32738,"cal, couette, attractor, bf, compactons, electroconvection, inviscid, cnoidal, collapse, 10x5"
physics,2000,2001,23,stable,23,0.631881,"flop, flip, zehnder, programming, pigtailed, ballistic, mach, interferometers, launching, gates"
physics,2000,2001,24,evolve,24,0.280467,"znse, saturable, automodulation, destabilizations, cw, testify, picosecond, locking, absorbers, semiconductor"
physics,2000,2001,25,evolve,25,0.276559,"si28, obm, stopping, swift, projectile, fusion, superstrong, 1gev, protons, fusing"
physics,2000,2001,26,evolve,26,0.106599,"gerlach, stern, fluxtubes, cylindric, circularity, schroedinger, paschen, magnetisation, inspect, knotted"
physics,2000,2001,27,evolve,52,0.057096,"fractures, fracture, affine, arguments, aperture, tracer, roughness, lubrication, rough, tortuosity"
physics,2000,2001,28,evolve,28,0.038742,"hera, lazer, flipping, triumf, positrons, bombards, e497, efficiences, polarized, amend"
physics,2000,2001,29,disappear,0,0.0,"micromaser, rdm, quasitrapping, quasitrapped, mesoscopically, diagonal, mesoscopic, instant, hierarchy, distinguishable"
physics,2000,2001,30,stable,30,0.563874,"breather, breathers, inversionless, dnls, schroedinger, multiphonon, standing, perturbed, discrete, inhomogeneously"
physics,2000,2001,31,evolve,31,0.444933,"crosslinks, replica, imbibition, resistor, exponent, criticality, organized, corroborating, pipe, gelation"
physics,2000,2001,33,stable,33,0.722657,"epic, mos, nlcta, pixel, ccds, electrode, xmm, monitors, cesr, calcurated"
physics,2000,2001,34,stable,34,0.595948,"pms1, pms, mflop, 45mflop, supercomputer, man, mssm, budapest, eotvos, request"
physics,2000,2001,35,evolve,35,0.276628,"linac, rfq, spoilers, nlc, ma, clic, funneling, wakefields, jlc, msec"
physics,2000,2001,36,evolve,36,0.319406,"gammagamma, ankara, isolde, workshop, weizsacker, derivations, williams, quadrupoles, isoltrap, gammagammap"
physics,2000,2001,37,disappear,0,0.0,"counterions, disjoining, mesoscopic, hierarchic, solvent, solvability, primitive, colloidal, interrelation, counterion"
physics,2000,2001,38,evolve,38,0.273237,"hologram, mss, talbot, microfabricated, shadow, gratings, focusses, lau, compresses, rephasing"
physics,2000,2001,39,stable,39,0.675811,"exponents, k41, anomalous, ast, accelerations, uvuv, hyperskewness, kolmogorov, flush, nnth"
physics,2000,2001,40,stable,40,0.796311,"ncia, turbul, desenvolvida, estoc, todos, sticos, para, compreens, recentes, homog"
physics,2000,2001,42,stable,42,0.706086,"methane, stretch, cd4, nu, translational, kj, ch4, asymmetrical, vibrational, vibrationally"
physics,2000,2001,44,stable,44,0.608935,"radiant, indirect, doublets, condensate, exciton, engeneering, nondegenerate, photoassociation, bose, inouye"
physics,2000,2001,45,evolve,45,0.487991,"op, polymers, 0r, pulling, unzipping, lumley72, biopolymers, polymer, gg, surfactants"
physics,2000,2001,46,stable,46,0.62209,"waitat, emmited, gravitational, superluminally, rowe, manley, alfven, actio, sync, reactio"
physics,2000,2001,47,stable,47,0.56079,"cir, flashboard, bow, pos, ulf, whistler, marliani, asssuming, grauermar99, correleated"
physics,2000,2001,48,evolve,48,0.467654,"le, bar, nanographite, clusters, sjm, funnel, jellium, twist, onsite, nnlinear"
physics,2000,2001,49,evolve,49,0.339094,"nabla, semidilute, nonequilibrium, nonuniversal, concentration, toluene, concentrations, dilute, disorder, polystyrene"
physics,2000,2001,50,stable,50,0.973,"overtone, cepheids, p4, pulsational, hydrodynamical, 4th, p1, survey, curves, indicated"
physics,2000,2001,51,stable,51,0.950496,"pisa, ati, conference, antenna, june, italy, reviews, multiphoton, dots, hhg"
physics,2000,2001,52,stable,52,0.610914,"nonwetting, drainage, strands, loopless, arguments, displacement, front, stabilization, stabilizes, invasion"
physics,2000,2001,55,stable,55,0.74147,"kluk, hermann, semiclassically, ati, postulated, semiclassical, devised, propagator, action, accumulation"
physics,2000,2001,56,stable,56,0.914838,"linac, pem, unilac, aps, slc, guns, 2gev, execution, manager, procedures"
physics,2000,2001,57,disappear,0,0.0,"sg, supercontinuum, irrespective, suppression, samples, circularly, demonstration, selectivity, undergoes, circular"
physics,2000,2001,58,evolve,58,0.415626,"intercenter, fragmentation, inelastic, artifacts, mutually, coulomb, wavefunction, body, trough, convincing"
physics,2000,2001,59,evolve,59,0.317281,"paco, transducer, squid, aluminium, encryption, eavesdroppers, gravitational, impinging, distorting, mk"
physics,2000,2001,60,stable,60,0.690974,"twice, classically, scatterers, backscattering, diffuse, localization, backward, enhances, chosen, disordered"
physics,2000,2001,61,evolve,10,0.043525,"interelectron, impurity, uhf, clean, futher, nonspherical, condensates, dot, ss, occupying"
physics,2000,2001,62,stable,62,0.776432,"twin, paradox, eigenintervals, eigentime, lapses, observer, lacuna, observers, noninertial, coordinate"
physics,2000,2001,63,evolve,63,0.445072,"showers, radar, primaries, curiously, untested, air, shower, suggestion, echoes, standalone"
physics,2000,2001,64,disappear,0,0.0,"lively, curriculum, beautiful, prescribe, arts, insert, noether, taught, week, rarely"
physics,2000,2001,67,stable,67,0.799844,"onion, lamellar, sequences, foldability, letters, native, onions, swells, homopolymeric, residues"
physics,2000,2001,70,stable,70,0.58563,"simply, finite, propagation, practical, controlled, crystals, gap, device, exhibit, size"
physics,2000,2001,72,disappear,0,0.0,"feasibity, eliminated, broadened, doppler, illustrated, addressed, outcomes, broadening, mixing, intensities"
physics,2000,2001,73,stable,73,0.769816,"adriatic, drifter, lsf, fsle, drifters, sea, basins, basin, enclosed, lagrangian"
physics,2000,2001,74,stable,74,0.554283,"axonemal, szent, gyorgyi, actin, shortening, headed, filaments, bundle, takiguchi, dirstributed"
physics,2000,2001,75,disappear,0,0.0,"hele, shaw, diwhirl, ferrofluids, ferrofluid, dean, tends, inertialess, ripples, weissenberg"
physics,2000,2001,76,stable,76,0.528876,"convecting, reconnection, morphologies, barber, andereck, goes, resistivity, lyapunov, galactic, riga"
physics,2000,2001,77,stable,77,1.0,"turing, penney, diffractions, hexagons, activator, concretely, inhibitor, kronig, lateral, inhibition"
physics,2000,2001,78,evolve,78,0.22738,"virial, shafranov, magnetohydrodynamical, star, gam, bernoulli, derrick, stringer, winsor, overdetermination"
physics,2000,2001,79,evolve,79,0.360806,"maser, 40ca, dressed, zeeman, unremarked, parity, tests, delta, clean, jumps"
physics,2000,2001,83,stable,83,0.650191,"colliders, meson, helicities, luminosities, compton, monochromaticity, prolific, formulae, motivation, bar"
physics,2000,2001,84,evolve,84,0.2063,"loma, prieta, log, periodicity, benioff, dsi, logarithm, cumulative, earthquake, bs"
physics,2000,2001,85,evolve,85,0.270284,"0g, plates, enclosed, gravity, kept, seen, happens, heat, magnitudes, opposite"
physics,2000,2001,86,evolve,86,0.241725,"pade, approximants, thermodynamical, heats, inflation, multifractal, derivatives, introductions, isochoric, chose"
physics,2000,2001,87,disappear,0,0.0,"e791, exabyte, fifos, terabyte, crates, formatted, tapes, vme, housed, tape"
physics,2000,2001,90,disappear,0,0.0,"coauthored, scientist, scientists, papers, connectedness, coauthorship, closeness, whom, collaborators, authors"
physics,2000,2001,91,stable,91,0.729823,"infty, benzene, rr, establishment, nonperturbative, delocalized, behaves, survival, permits, simplicity"
physics,2000,2001,93,stable,93,0.751591,"aids, hiv, syncytia, uninfected, aggregations, infection, automata, mutation, pathogen, organize"
