subject,year_from,year_to,topic_id,ttc,tts,ttq
cs,2000,2001,0,0.380347,0.449248,0.411936
cs,2000,2001,3,0.315317,0.407863,0.355668
cs,2000,2001,4,0.565144,0.368651,0.446224
cs,2000,2001,5,0.26633,0.933063,0.414381
cs,2000,2001,8,0.274776,0.477836,0.348912
cs,2000,2001,9,0.73846,0.209026,0.325825
cs,2000,2001,10,0.372068,0.742945,0.495825
cs,2000,2001,11,0.51575,0.2415,0.328963
cs,2000,2001,13,0.316718,0.774599,0.449603
cs,2000,2001,16,0.323465,0.311814,0.317533
cs,2000,2001,28,0.608963,0.283406,0.386799
cs,2000,2001,29,0.463531,0.344792,0.395441
cs,2000,2001,31,0.499256,0.737689,0.595492
cs,2000,2001,34,0.368806,0.636687,0.467062
cs,2000,2001,46,0.322599,0.437842,0.371488
cs,2000,2001,62,0.513799,0.395109,0.446704
cs,2000,2001,98,0.472598,0.222317,0.302387
cs,2000,2001,109,0.389699,0.212027,0.274632
cs,2001,2002,0,0.36369,0.625624,0.459982
cs,2001,2002,3,0.218709,0.559432,0.314474
cs,2001,2002,4,0.605647,0.306666,0.407166
cs,2001,2002,8,0.205884,0.829716,0.329905
cs,2001,2002,10,0.535123,0.610702,0.57042
cs,2001,2002,12,0.294959,0.450328,0.356449
cs,2001,2002,13,0.374849,0.357807,0.36613
cs,2001,2002,16,0.390165,0.507847,0.441295
cs,2001,2002,18,0.42245,0.48733,0.452577
cs,2001,2002,24,0.249361,0.605424,0.353233
cs,2001,2002,28,0.443927,0.787721,0.567842
cs,2001,2002,29,0.461706,0.268568,0.339598
cs,2001,2002,31,0.53834,0.26563,0.355733
cs,2001,2002,34,0.366804,0.48563,0.417935
cs,2001,2002,37,0.402526,0.51437,0.451627
cs,2001,2002,41,0.399168,0.437714,0.417553
cs,2001,2002,44,0.540243,0.231161,0.323781
cs,2001,2002,48,0.433178,0.787721,0.558971
cs,2001,2002,61,0.541336,0.570131,0.555361
cs,2001,2002,62,0.442235,0.442121,0.442178
cs,2001,2002,66,0.364654,0.554928,0.440105
cs,2001,2002,99,0.421315,0.264647,0.32509
cs,2001,2002,101,0.37036,0.759183,0.497849
cs,2002,2003,0,0.50172,0.220673,0.306526
cs,2002,2003,4,0.501333,0.439561,0.468419
cs,2002,2003,8,0.45213,0.541769,0.492907
cs,2002,2003,10,0.484888,0.456814,0.470433
cs,2002,2003,12,0.16548,0.724036,0.26939
cs,2002,2003,13,0.343893,0.401332,0.370399
cs,2002,2003,16,0.393903,0.752383,0.517089
cs,2002,2003,20,0.389854,0.455731,0.420226
cs,2002,2003,28,0.326031,0.617437,0.426731
cs,2002,2003,29,0.415526,0.452311,0.433139
cs,2002,2003,31,0.533214,0.442819,0.48383
cs,2002,2003,34,0.259378,0.81347,0.393338
cs,2002,2003,38,0.437579,0.335634,0.379886
cs,2002,2003,41,0.370535,0.335439,0.352115
cs,2002,2003,42,0.409762,0.347617,0.37614
cs,2002,2003,44,0.499279,0.491406,0.495311
cs,2002,2003,48,0.370874,0.721164,0.489838
cs,2002,2003,61,0.584073,0.578055,0.581048
cs,2002,2003,89,0.585692,0.378539,0.459863
cs,2002,2003,101,0.159423,0.787524,0.265167
cs,2003,2004,0,0.463015,0.546888,0.501469
cs,2003,2004,4,0.324111,1.0,0.489553
cs,2003,2004,8,0.385934,0.581307,0.463889
cs,2003,2004,10,0.392238,0.422769,0.406932
cs,2003,2004,11,0.338807,0.762224,0.4691
cs,2003,2004,12,0.140018,0.901716,0.242397
cs,2003,2004,13,0.366565,0.814261,0.505544
cs,2003,2004,15,0.348865,0.284943,0.313681
cs,2003,2004,16,0.481072,0.343821,0.401028
cs,2003,2004,20,0.443458,0.805878,0.572101
cs,2003,2004,27,0.378799,0.377836,0.378317
cs,2003,2004,29,0.417245,0.501248,0.455405
cs,2003,2004,31,0.547339,0.574336,0.560513
cs,2003,2004,33,0.378801,0.654099,0.479762
cs,2003,2004,34,0.411923,0.484435,0.445246
cs,2003,2004,38,0.320254,0.692689,0.438004
cs,2003,2004,41,0.367824,0.461147,0.409233
cs,2003,2004,42,0.214822,0.44063,0.28883
cs,2003,2004,44,0.463345,0.635126,0.535804
cs,2003,2004,46,0.298938,0.464406,0.363738
cs,2003,2004,48,0.183517,0.852212,0.302
cs,2003,2004,61,0.312243,0.961258,0.471372
cs,2003,2004,101,0.216509,1.0,0.355951
cs,2004,2005,0,0.371603,0.64766,0.472248
cs,2004,2005,4,0.289806,0.550303,0.379668
cs,2004,2005,6,0.461563,0.169258,0.247687
cs,2004,2005,8,0.384656,0.807779,0.521147
cs,2004,2005,10,0.343009,0.342346,0.342677
cs,2004,2005,12,0.360572,0.792449,0.495629
cs,2004,2005,13,0.361486,0.653594,0.46551
cs,2004,2005,15,0.360494,0.809478,0.498836
cs,2004,2005,16,0.372534,0.899379,0.526843
cs,2004,2005,20,0.43301,0.454307,0.443403
cs,2004,2005,27,0.312987,0.660906,0.4248
cs,2004,2005,29,0.50151,0.304092,0.378612
cs,2004,2005,31,0.471675,0.480399,0.475997
cs,2004,2005,33,0.33483,0.274489,0.301672
cs,2004,2005,34,0.460756,0.54358,0.498753
cs,2004,2005,35,0.425749,0.423678,0.424711
cs,2004,2005,36,0.60572,0.145846,0.235087
cs,2004,2005,38,0.362768,0.704432,0.478908
cs,2004,2005,41,0.413001,0.355025,0.381825
cs,2004,2005,42,0.331371,0.483753,0.393319
cs,2004,2005,44,0.427747,0.38383,0.4046
cs,2004,2005,46,0.241006,0.899379,0.380145
cs,2004,2005,48,0.13655,0.814261,0.233879
cs,2004,2005,61,0.423313,0.470049,0.445459
cs,2004,2005,62,0.328007,0.245785,0.281005
cs,2004,2005,66,0.536474,0.408762,0.46399
cs,2004,2005,83,0.424531,0.566941,0.485508
cs,2004,2005,101,0.350348,0.665689,0.459083
cs,2004,2005,109,0.457821,0.537494,0.494469
cs,2005,2006,0,0.490599,0.524372,0.506924
cs,2005,2006,6,0.506541,0.284363,0.364245
cs,2005,2006,8,0.438558,0.449052,0.443743
cs,2005,2006,10,0.418978,0.738941,0.534753
cs,2005,2006,12,0.330416,0.537494,0.409251
cs,2005,2006,13,0.424017,0.131771,0.201059
cs,2005,2006,15,0.287476,0.801292,0.423143
cs,2005,2006,16,0.439477,0.320409,0.370614
cs,2005,2006,27,0.273558,0.737561,0.399094
cs,2005,2006,28,0.333871,0.556011,0.417215
cs,2005,2006,29,0.553893,0.059345,0.107204
cs,2005,2006,31,0.548676,0.429783,0.482006
cs,2005,2006,33,0.307287,0.8035,0.444558
cs,2005,2006,34,0.410896,0.568656,0.477073
cs,2005,2006,35,0.457628,0.510181,0.482477
cs,2005,2006,36,0.631503,0.133709,0.220691
cs,2005,2006,39,0.43659,0.507506,0.469384
cs,2005,2006,41,0.359192,0.458811,0.402935
cs,2005,2006,42,0.442537,0.391406,0.415404
cs,2005,2006,44,0.412852,0.559432,0.475093
cs,2005,2006,46,0.344992,0.620328,0.443393
cs,2005,2006,47,0.40692,0.270284,0.324818
cs,2005,2006,48,0.258213,0.51221,0.343342
cs,2005,2006,61,0.3605,0.688057,0.473116
cs,2005,2006,66,0.530865,0.337139,0.412384
cs,2005,2006,89,0.432482,0.173408,0.247556
cs,2005,2006,101,0.270863,0.801095,0.404842
cs,2005,2006,109,0.552863,0.437866,0.488691
cs,2006,2007,0,0.305162,0.950496,0.461997
cs,2006,2007,6,0.539175,0.162326,0.249529
cs,2006,2007,8,0.523317,0.564153,0.542968
cs,2006,2007,10,0.408653,0.787721,0.538133
cs,2006,2007,12,0.313932,0.858191,0.459702
cs,2006,2007,13,0.185324,1.0,0.312697
cs,2006,2007,15,0.396504,0.628647,0.486291
cs,2006,2007,16,0.412748,0.604315,0.49049
cs,2006,2007,27,0.365477,0.502039,0.423009
cs,2006,2007,28,0.333849,0.854658,0.480143
cs,2006,2007,29,0.373046,0.834779,0.515656
cs,2006,2007,31,0.497085,0.669557,0.570572
cs,2006,2007,33,0.28763,0.730708,0.412778
cs,2006,2007,34,0.432264,0.832442,0.569041
cs,2006,2007,35,0.52981,0.472819,0.499695
cs,2006,2007,36,0.621168,0.425944,0.505357
cs,2006,2007,37,0.500104,0.291201,0.368077
cs,2006,2007,41,0.421171,0.337114,0.374484
cs,2006,2007,42,0.473978,0.350685,0.403115
cs,2006,2007,44,0.41853,0.515906,0.462144
cs,2006,2007,46,0.389895,0.239582,0.296792
cs,2006,2007,48,0.354647,0.813341,0.493925
cs,2006,2007,61,0.272839,1.0,0.42871
cs,2006,2007,66,0.465216,0.388059,0.423149
cs,2006,2007,71,0.455829,0.274489,0.342645
cs,2006,2007,89,0.302273,0.961258,0.459921
cs,2006,2007,101,0.220301,0.821657,0.347446
cs,2006,2007,107,0.555828,0.268904,0.362456
cs,2006,2007,109,0.323622,0.553752,0.408506
cs,2007,2008,0,0.257918,0.956475,0.406281
cs,2007,2008,2,0.401592,0.505531,0.447606
cs,2007,2008,4,0.212041,0.179571,0.19446
cs,2007,2008,6,0.553082,0.281471,0.373078
cs,2007,2008,8,0.375264,0.605683,0.463411
cs,2007,2008,10,0.410759,0.282872,0.335026
