subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
cs,2000,2001,42,0.391702,0.476089,0.394884
cs,2001,2002,47,0.397221,0.513082,0.380233
cs,2002,2003,60,0.402,0.509141,0.390297
cs,2003,2004,63,0.337641,0.593713,0.381776
cs,2004,2005,68,0.353414,0.568054,0.381911
cs,2005,2006,74,0.358899,0.592883,0.394881
cs,2006,2007,66,0.342707,0.640203,0.398307
cs,2007,2008,62,0.359457,0.609249,0.403993
cs,2008,2009,65,0.350768,0.66846,0.423807
cs,2009,2010,74,0.373094,0.567551,0.410549
cs,2010,2011,92,0.351001,0.573187,0.380299
cs,2011,2012,118,0.344686,0.603048,0.390735
cs,2012,2013,141,0.337701,0.589117,0.379776
cs,2013,2014,155,0.35352,0.605227,0.398964
cs,2014,2015,167,0.353352,0.609095,0.394793
cs,2015,2016,205,0.360119,0.535124,0.373774
cs,2016,2017,240,0.34696,0.531254,0.36276
cs,2017,2018,264,0.352325,0.536449,0.371717
cs,2018,2019,270,0.358305,0.547889,0.37561
cs,2019,2020,274,0.385206,0.516698,0.37849
cs,2020,2021,276,0.405795,0.513704,0.383257
cs,2021,2022,276,0.410048,0.53218,0.386483
cs,2022,2023,276,0.426773,0.480661,0.376343
cs,2023,2024,276,0.455224,0.443703,0.372591
cs,2024,2025,276,0.49803,0.386782,0.362371
