subject,year_from,year_to,n_topics,avg_ttc,coherence_at_t_next,ttc_ratio,avg_tts,avg_ttq
math,2000,2001,46,0.396456,0.424297,0.934382,0.634783,0.475688
math,2001,2002,47,0.407404,0.448697,0.907971,0.653191,0.488784
math,2002,2003,49,0.407514,0.425738,0.957195,0.659184,0.491977
math,2003,2004,50,0.401161,0.434986,0.922238,0.66,0.486539
math,2004,2005,54,0.435735,0.435404,1.000759,0.694444,0.529066
math,2005,2006,54,0.43244,0.440012,0.982792,0.716667,0.53018
math,2006,2007,56,0.466478,0.450983,1.034358,0.753571,0.568096
math,2007,2008,60,0.449043,0.466785,0.96199,0.751667,0.556221
math,2008,2009,59,0.471636,0.433209,1.088704,0.752542,0.571412
math,2009,2010,59,0.464804,0.470497,0.987901,0.766102,0.567435
math,2010,2011,61,0.522364,0.490029,1.065985,0.791803,0.621219
math,2011,2012,62,0.526944,0.507766,1.037769,0.81129,0.629724
math,2012,2013,62,0.547439,0.521782,1.049173,0.819355,0.648684
math,2013,2014,62,0.576582,0.548422,1.051347,0.816129,0.671861
math,2014,2015,62,0.597645,0.582077,1.026745,0.856452,0.698197
math,2015,2016,62,0.610765,0.587976,1.038758,0.856452,0.705998
math,2016,2017,62,0.607087,0.586293,1.035467,0.859677,0.705603
math,2017,2018,63,0.599413,0.602223,0.995334,0.847619,0.695826
math,2018,2019,63,0.618536,0.609648,1.014578,0.866667,0.717046
math,2019,2020,63,0.641358,0.620219,1.034083,0.887302,0.739947
math,2020,2021,63,0.631589,0.61217,1.031721,0.868254,0.72627
math,2021,2022,63,0.612853,0.605836,1.011583,0.871429,0.713873
math,2022,2023,63,0.641113,0.61545,1.041699,0.885714,0.737981
math,2023,2024,63,0.639493,0.633678,1.009176,0.890476,0.739163
math,2024,2025,63,0.652672,0.656366,0.994373,0.904762,0.753395
