subject,year_from,year_to,topic_id,ttc,tts,ttq
physics,2000,2001,0,0.30218,0.67262,0.417013
physics,2000,2001,1,0.139429,0.883559,0.240851
physics,2000,2001,2,0.551531,0.124033,0.202521
physics,2000,2001,3,0.371925,0.466403,0.41384
physics,2000,2001,4,0.108173,1.0,0.195227
physics,2000,2001,5,0.328661,0.372773,0.34933
physics,2000,2001,6,0.242747,0.862845,0.378897
physics,2000,2001,7,0.512808,0.253471,0.339255
physics,2000,2001,9,0.32866,0.365309,0.346017
physics,2000,2001,10,0.322895,0.37888,0.348654
physics,2000,2001,11,0.336205,0.662886,0.446137
physics,2000,2001,12,0.276505,0.832442,0.415122
physics,2000,2001,13,0.369633,0.274617,0.315118
physics,2000,2001,14,0.348581,0.587161,0.437457
physics,2000,2001,15,0.406932,0.125284,0.191584
physics,2000,2001,18,0.456888,0.701628,0.553407
physics,2000,2001,19,0.256635,0.159243,0.196535
physics,2000,2001,20,0.236194,0.381088,0.291636
physics,2000,2001,22,0.204139,0.67262,0.313217
physics,2000,2001,23,0.300925,0.368119,0.331147
physics,2000,2001,24,0.377646,0.719533,0.495322
physics,2000,2001,25,0.264698,0.723441,0.387584
physics,2000,2001,26,0.140826,0.893401,0.243301
physics,2000,2001,28,0.141136,0.961258,0.246134
physics,2000,2001,30,0.308848,0.436126,0.361615
physics,2000,2001,31,0.306787,0.555067,0.395165
physics,2000,2001,33,0.38379,0.277343,0.321997
physics,2000,2001,34,0.405398,0.404052,0.404724
physics,2000,2001,35,0.280203,0.723372,0.403938
physics,2000,2001,36,0.1629,0.680594,0.26288
physics,2000,2001,38,0.352507,0.726763,0.474745
physics,2000,2001,39,0.37357,0.324189,0.347132
physics,2000,2001,40,0.725972,0.203689,0.318121
physics,2000,2001,42,0.630253,0.293914,0.40088
physics,2000,2001,44,0.420805,0.391065,0.40539
physics,2000,2001,45,0.400149,0.512009,0.44922
physics,2000,2001,46,0.276574,0.37791,0.319397
physics,2000,2001,47,0.105294,0.43921,0.169865
physics,2000,2001,48,0.331591,0.532346,0.408644
physics,2000,2001,49,0.354982,0.660906,0.461881
physics,2000,2001,50,0.69213,0.027,0.051973
physics,2000,2001,51,0.572654,0.049504,0.09113
physics,2000,2001,52,0.531974,0.389086,0.449446
physics,2000,2001,55,0.554152,0.25853,0.352573
physics,2000,2001,56,0.38216,0.085162,0.139285
physics,2000,2001,58,0.343972,0.584374,0.433047
physics,2000,2001,59,0.185602,0.682719,0.29186
physics,2000,2001,60,0.46623,0.309026,0.37169
physics,2000,2001,61,0.320535,0.961258,0.480759
physics,2000,2001,62,0.520523,0.223568,0.312791
physics,2000,2001,63,0.236906,0.554928,0.332054
physics,2000,2001,67,0.384632,0.200156,0.263297
physics,2000,2001,70,0.548852,0.41437,0.472223
physics,2000,2001,73,0.531506,0.230184,0.321244
physics,2000,2001,74,0.456165,0.445717,0.45088
physics,2000,2001,76,0.260086,0.471124,0.335151
physics,2000,2001,77,0.493911,0.0,0.0
physics,2000,2001,78,0.190287,0.77262,0.305365
physics,2000,2001,79,0.394397,0.639194,0.487807
physics,2000,2001,83,0.324606,0.349809,0.336737
physics,2000,2001,84,0.410421,0.7937,0.54106
physics,2000,2001,85,0.22261,0.729716,0.341149
physics,2000,2001,86,0.327733,0.758275,0.457661
physics,2000,2001,91,0.3408,0.270177,0.301407
physics,2000,2001,93,0.543585,0.248409,0.340991
physics,2000,2001,97,0.460317,0.604432,0.522621
physics,2000,2001,98,0.279949,0.527339,0.365739
physics,2000,2001,101,0.191085,0.557895,0.284668
physics,2000,2001,108,0.118046,0.894321,0.208563
physics,2000,2001,119,0.287467,0.453131,0.35177
physics,2000,2001,121,0.27113,0.874716,0.41395
physics,2000,2001,125,0.259796,0.556179,0.35416
physics,2000,2001,126,0.297222,0.455534,0.359731
physics,2000,2001,127,0.357864,0.253927,0.297067
physics,2000,2001,130,0.325669,0.44063,0.374526
physics,2000,2001,131,0.394,0.607847,0.478101
physics,2000,2001,135,0.305835,0.919941,0.459056
physics,2000,2001,139,0.554203,0.067729,0.120706
physics,2000,2001,144,0.669864,0.0,0.0
physics,2000,2001,151,0.096336,0.690974,0.169097
physics,2000,2001,154,0.742395,0.027,0.052105
physics,2000,2001,155,0.291786,0.543186,0.37964
physics,2000,2001,158,0.252798,0.906971,0.39539
physics,2000,2001,163,0.49413,0.712721,0.583629
physics,2000,2001,165,0.543027,0.125284,0.203596
physics,2000,2001,166,0.715252,0.110521,0.191458
physics,2000,2001,169,0.180479,0.360527,0.240542
physics,2000,2001,170,0.551554,0.066937,0.119386
physics,2000,2001,171,0.354395,0.214725,0.267422
physics,2000,2001,177,0.588756,0.131771,0.215345
physics,2000,2001,179,0.418148,0.398131,0.407894
physics,2000,2001,180,0.46468,0.311814,0.3732
physics,2000,2001,185,0.235141,0.626307,0.341914
physics,2001,2002,0,0.335132,0.331584,0.333349
physics,2001,2002,1,0.090527,1.0,0.166025
physics,2001,2002,2,0.383713,0.698819,0.495405
physics,2001,2002,3,0.434815,0.752383,0.551125
physics,2001,2002,4,0.229959,0.429869,0.29963
physics,2001,2002,5,0.371095,0.706411,0.486579
physics,2001,2002,7,0.570924,0.433527,0.492828
physics,2001,2002,9,0.15133,0.649657,0.245479
physics,2001,2002,10,0.329348,0.35188,0.340242
physics,2001,2002,12,0.295508,0.665689,0.409316
physics,2001,2002,13,0.405913,0.365181,0.384471
physics,2001,2002,14,0.354533,0.893401,0.507623
physics,2001,2002,15,0.135103,0.551372,0.217028
physics,2001,2002,16,0.269366,0.860637,0.410311
physics,2001,2002,18,0.245112,0.906971,0.385926
physics,2001,2002,19,0.194346,0.704534,0.304653
physics,2001,2002,20,0.163386,0.824103,0.272705
physics,2001,2002,22,0.129418,0.686191,0.217765
physics,2001,2002,24,0.108331,0.956475,0.194619
physics,2001,2002,25,0.300967,0.637069,0.408805
physics,2001,2002,26,0.351841,0.630811,0.451727
physics,2001,2002,28,0.296594,0.710471,0.418486
physics,2001,2002,31,0.152636,0.831695,0.257934
physics,2001,2002,33,0.351725,0.280664,0.312202
physics,2001,2002,35,0.176116,0.729716,0.28375
physics,2001,2002,36,0.13629,0.762779,0.231259
physics,2001,2002,38,0.397298,0.302055,0.343191
physics,2001,2002,39,0.167381,0.956475,0.284905
physics,2001,2002,40,0.584425,0.094926,0.163323
physics,2001,2002,41,0.487601,0.145342,0.223934
physics,2001,2002,44,0.442859,0.615906,0.515241
physics,2001,2002,45,0.257418,0.767841,0.385573
physics,2001,2002,46,0.187657,0.843897,0.307038
physics,2001,2002,47,0.172446,0.556628,0.263315
physics,2001,2002,48,0.294713,0.549052,0.38355
physics,2001,2002,51,0.333853,0.517773,0.405953
physics,2001,2002,52,0.354784,0.273072,0.308611
physics,2001,2002,53,0.324147,0.72642,0.448266
physics,2001,2002,55,0.265023,0.894321,0.408879
physics,2001,2002,56,0.342618,0.742541,0.468886
physics,2001,2002,58,0.192028,0.901716,0.316628
physics,2001,2002,59,0.169694,0.825212,0.2815
physics,2001,2002,60,0.301464,0.544773,0.388141
physics,2001,2002,61,0.598203,0.038742,0.072771
physics,2001,2002,62,0.507722,0.494855,0.501206
physics,2001,2002,63,0.245393,0.689886,0.362017
physics,2001,2002,65,0.22263,0.480399,0.304258
physics,2001,2002,67,0.234824,0.500452,0.319657
physics,2001,2002,70,0.478798,0.707158,0.570992
physics,2001,2002,73,0.460232,0.547336,0.500019
physics,2001,2002,74,0.249405,0.881199,0.388775
physics,2001,2002,76,0.267933,0.595752,0.369629
physics,2001,2002,77,0.157015,0.74147,0.259152
physics,2001,2002,78,0.187336,0.956475,0.313307
physics,2001,2002,79,0.432182,0.638278,0.51539
physics,2001,2002,82,0.329869,0.464406,0.385743
physics,2001,2002,83,0.074258,1.0,0.138249
physics,2001,2002,85,0.401112,0.494473,0.442927
physics,2001,2002,86,0.351268,0.46079,0.398643
physics,2001,2002,91,0.266311,0.805878,0.40033
physics,2001,2002,93,0.349683,0.293589,0.319191
physics,2001,2002,97,0.252998,0.894321,0.394418
physics,2001,2002,98,0.148108,0.792449,0.249572
physics,2001,2002,100,0.417941,0.203964,0.274141
physics,2001,2002,101,0.176884,0.904162,0.295884
physics,2001,2002,105,0.593386,0.137026,0.22264
physics,2001,2002,108,0.428348,0.226876,0.296637
physics,2001,2002,117,0.621981,0.534931,0.575181
physics,2001,2002,118,0.355248,0.488899,0.411493
physics,2001,2002,119,0.209531,0.610914,0.312039
physics,2001,2002,121,0.349415,0.457435,0.396194
physics,2001,2002,125,0.246027,0.835974,0.38017
physics,2001,2002,126,0.340558,0.736687,0.465789
physics,2001,2002,127,0.241463,0.919941,0.382523
physics,2001,2002,130,0.39582,0.681928,0.500897
physics,2001,2002,131,0.320399,0.33025,0.32525
physics,2001,2002,139,0.343331,0.413119,0.375006
physics,2001,2002,144,0.347747,0.683403,0.460944
physics,2001,2002,154,0.37017,0.690353,0.481928
physics,2001,2002,155,0.288383,0.506147,0.367423
physics,2001,2002,158,0.183151,0.754719,0.294769
physics,2001,2002,163,0.563274,0.174788,0.266789
physics,2001,2002,165,0.355994,0.605511,0.448376
physics,2001,2002,166,0.700164,0.387611,0.498984
physics,2001,2002,168,0.494754,0.339094,0.402395
physics,2001,2002,169,0.077551,0.942904,0.143315
physics,2001,2002,170,0.502685,0.117692,0.19073
physics,2001,2002,177,0.294866,0.875967,0.441212
physics,2001,2002,179,0.30645,0.209026,0.248532
