subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
physics,2000,2001,20,0.516257,0.417514,0.432683
physics,2001,2002,23,0.493066,0.491706,0.452813
physics,2002,2003,24,0.521886,0.542766,0.503811
physics,2003,2004,24,0.523511,0.47998,0.459066
physics,2004,2005,27,0.541191,0.436607,0.44804
physics,2005,2006,34,0.548972,0.434776,0.458376
physics,2006,2007,38,0.544626,0.460058,0.464046
physics,2007,2008,39,0.539987,0.43521,0.457262
physics,2008,2009,39,0.54222,0.406738,0.427089
physics,2009,2010,41,0.559527,0.377232,0.412916
physics,2010,2011,41,0.586691,0.309753,0.378764
physics,2011,2012,41,0.588279,0.297855,0.37006
physics,2012,2013,41,0.596843,0.28689,0.359359
physics,2013,2014,41,0.604847,0.241946,0.32284
physics,2014,2015,41,0.613635,0.209294,0.299057
physics,2015,2016,41,0.618283,0.218971,0.300211
physics,2016,2017,41,0.622067,0.222216,0.310803
physics,2017,2018,41,0.628826,0.198661,0.290953
physics,2018,2019,41,0.629506,0.203024,0.291912
physics,2019,2020,41,0.631726,0.194218,0.287508
physics,2020,2021,41,0.632354,0.185658,0.275289
physics,2021,2022,41,0.626896,0.186017,0.274848
physics,2022,2023,41,0.626275,0.193146,0.286329
physics,2023,2024,41,0.629085,0.188282,0.273502
physics,2024,2025,41,0.629593,0.158351,0.240036
