doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,coherence,irbo
14,26,Relativistic Common Sense,0.6057403683662415,129,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
28,25,Three-Body Virtual States,0.5605089664459229,121,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
40,63,Ultra-Short Pulse Coherence,0.5389255285263062,403,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
45,15,Pulse-Level Beam Feedback,0.5921861529350281,54,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
47,0,Plasma Beam Interactions,0.5277299284934998,4,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
53,15,Pulse-Level Beam Feedback,0.5378241539001465,54,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
54,2,Quantum Corrections,0.5504176616668701,6,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
67,15,Pulse-Level Beam Feedback,0.6067590713500977,54,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
80,26,Relativistic Common Sense,0.5662102699279785,129,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
88,17,Anomalous Scaling Turbulence,0.7477273344993591,66,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
90,2,Quantum Corrections,0.5130985379219055,6,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
94,53,Self-Organized Cooperation,0.52000892162323,326,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
96,11,Rotating Flow Dynamics,0.5798105001449585,36,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
102,62,Soliton Pair Dynamics,0.6299705505371094,391,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
104,15,Pulse-Level Beam Feedback,0.5660734176635742,54,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
105,21,Radial Current Discharge Dynamics,0.5060058832168579,80,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
122,70,Quantum-Classical Boundary,0.6523729562759399,437,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
127,26,Relativistic Common Sense,0.5939227342605591,129,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
128,16,Mass-Energy Relationships,0.5264161825180054,55,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
132,7,Molecular Absorption Precision,0.5176042318344116,20,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
135,64,Excited State Perturbation Theory,0.5213128924369812,406,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
138,70,Quantum-Classical Boundary,0.5100868344306946,437,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
151,59,Ion Pairing Dynamics,0.5104690194129944,361,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
153,51,Laser-Assisted Tunneling Dynamics,0.5241605639457703,313,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
161,7,Molecular Absorption Precision,0.504619836807251,20,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
164,2,Quantum Corrections,0.5522928833961487,6,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
171,26,Relativistic Common Sense,0.5989688634872437,129,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
209,13,Micromaser Dynamics,0.7826636433601379,46,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
210,8,Lanczos Eigenvalue Methods,0.6856569647789001,21,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
225,3,DNA Conformational Dynamics,0.6733989715576172,8,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
226,15,Pulse-Level Beam Feedback,0.5024641156196594,54,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
228,17,Anomalous Scaling Turbulence,0.6615504622459412,66,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
229,68,Gravitational Constant Fluctuations,0.517527163028717,424,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
234,25,Three-Body Virtual States,0.568087100982666,121,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
244,2,Quantum Corrections,0.6051895618438721,6,physics,all_distilroberta_v1,0.7405698089629805,0.9834754593743877
