subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
cs,2000,66,138,26,0.684512,0.998717,0.812288
cs,2001,75,138,36,0.697164,0.998338,0.821002
cs,2002,88,138,36,0.632219,0.99851,0.774227
cs,2003,102,138,32,0.604934,0.998284,0.753355
cs,2004,109,138,36,0.589952,0.997533,0.74142
cs,2005,171,138,41,0.576081,0.997259,0.730296
cs,2006,176,138,39,0.555232,0.997899,0.713482
cs,2007,178,138,42,0.632161,0.997643,0.773923
cs,2008,208,138,46,0.636246,0.997934,0.777064
cs,2009,173,138,41,0.5794,0.997819,0.733109
cs,2010,219,138,52,0.556452,0.997887,0.714485
cs,2011,300,138,62,0.521911,0.997295,0.685225
cs,2012,408,138,76,0.56849,0.997965,0.724353
cs,2013,451,138,94,0.5731,0.998186,0.728143
cs,2014,565,138,97,0.494218,0.997625,0.660986
cs,2015,834,138,115,0.517686,0.997279,0.68157
cs,2016,1150,138,128,0.452268,0.996438,0.622151
cs,2017,1766,138,135,0.479221,0.993122,0.646486
cs,2018,2692,138,138,0.468452,0.991647,0.636311
cs,2019,3622,138,137,0.490283,0.989162,0.65561
cs,2020,4774,138,138,0.499337,0.988171,0.663432
cs,2021,5757,138,138,0.511984,0.986132,0.674025
cs,2022,6432,138,138,0.514178,0.985262,0.675719
cs,2023,7947,138,138,0.538949,0.981525,0.695825
cs,2024,10783,138,138,0.575151,0.976532,0.723928
cs,2025,16633,138,138,0.598945,0.97708,0.74265
