subject,year,topic_id,topic_label,doc_count,total_docs_year,proportion
cs,2000,0,Web Text Database Classification,7,60,0.116667
cs,2000,1,AI Story Understanding,1,60,0.016667
cs,2000,2,Novelty-Based Retrieval Evaluation,2,60,0.033333
cs,2000,3,Predictor-Based Parsing,3,60,0.05
cs,2000,4,Combinatorial Auction Optimization,2,60,0.033333
cs,2000,5,Variable Word Rate Modeling,4,60,0.066667
cs,2000,6,Multi-Channel Rate Distortion Optimization,1,60,0.016667
cs,2000,7,Spatial-Textual Document Analysis,0,60,0.0
cs,2000,8,Conditional Rewriting Systems,6,60,0.1
cs,2000,9,User Privacy Tools,1,60,0.016667
cs,2000,10,Spec-Language Compilation,9,60,0.15
cs,2000,11,Distributed Object Store Coherence,1,60,0.016667
cs,2000,12,Planar Graph Encoding,0,60,0.0
cs,2000,13,Resource Discovery Infrastructure,3,60,0.05
cs,2000,14,Dynamic Topic Modeling,0,60,0.0
cs,2000,15,Distributed Time-Stamped Key Archiving,0,60,0.0
cs,2000,16,Graph Realization Theory,1,60,0.016667
cs,2000,17,Incremental Universal Search,0,60,0.0
cs,2000,18,Planning-Augmented RL,0,60,0.0
cs,2000,19,Domain-Informed Sampling,0,60,0.0
cs,2000,20,Semantic Polarity Learning,0,60,0.0
cs,2000,21,Cross-Lingual Patent Retrieval,0,60,0.0
cs,2000,22,Context-Dependent Classification,0,60,0.0
cs,2000,23,Adaptive Motivation Learning,0,60,0.0
cs,2000,24,Monotone Hypergraph Transversals,0,60,0.0
cs,2000,25,Catadioptric Projection Optimization,0,60,0.0
cs,2000,26,Epistemic Blame Theory,0,60,0.0
cs,2000,27,Runtime Monitoring Languages,3,60,0.05
cs,2000,28,Hypergraph Approximation Hardness,1,60,0.016667
cs,2000,29,AS Topology Modeling,1,60,0.016667
cs,2000,30,Single-Camera Gaze-Orientation Estimation,0,60,0.0
cs,2000,31,Dominating Set Approximation and Partial Order Episode Mining,1,60,0.016667
cs,2000,32,Nonlinear Rating Scaling,0,60,0.0
cs,2000,33,Decentralized Identity Networks,0,60,0.0
cs,2000,34,Succinct Model Representation,5,60,0.083333
cs,2000,35,Space-Time Coding Performance,0,60,0.0
cs,2000,36,MIMO Channel Optimization,0,60,0.0
cs,2000,37,Capacity-Aware Mechanism Design,0,60,0.0
cs,2000,38,Intrinsic Dimension Analysis,0,60,0.0
cs,2000,39,Energy-Efficient Communication,0,60,0.0
cs,2000,40,Rate-Distortion Testing,0,60,0.0
cs,2000,41,Orthogonal Group Coding Theory,0,60,0.0
cs,2000,42,Dual Code Gray Mapping,0,60,0.0
cs,2000,43,Valuation-Based Metrics,0,60,0.0
cs,2000,44,Monotone Search Games,0,60,0.0
cs,2000,45,Dynamic Network Optimization,1,60,0.016667
cs,2000,46,Finite Field Sparse Matrix Multiplication,1,60,0.016667
cs,2000,47,Kernel Herding Methods,0,60,0.0
cs,2000,48,Social Network Aggregation Dynamics,0,60,0.0
cs,2000,49,Mobile Augmented Reality Systems,0,60,0.0
cs,2000,50,Differential Privacy Mechanisms,0,60,0.0
cs,2000,51,Real-Time Compression Systems,0,60,0.0
cs,2000,52,Edge-Cloud Deployment,0,60,0.0
cs,2000,53,Velocity-Aware Action Recognition,0,60,0.0
cs,2000,54,Cluttered Grasping Optimization,0,60,0.0
cs,2000,55,Visual Debugging Sequences,0,60,0.0
cs,2000,56,Compressed Data Detection,0,60,0.0
cs,2000,57,Sparse Weight Tuning Networks,0,60,0.0
cs,2000,58,Psychiatric Readmission Prediction,0,60,0.0
cs,2000,59,Domain Expert Usability AI,0,60,0.0
cs,2000,60,Cuboid Structure Recovery,0,60,0.0
cs,2000,61,Bandit Learning Games,0,60,0.0
cs,2000,62,Characteristic-Driven Summarization,1,60,0.016667
cs,2000,63,Sub-Character MT Performance,0,60,0.0
cs,2000,64,Audio Prior Networks,0,60,0.0
cs,2000,65,Video Explainability Frameworks,0,60,0.0
cs,2000,66,Soft Channel Coding Exponents,0,60,0.0
cs,2000,67,Millimeter Wave 5G Integration,0,60,0.0
cs,2000,68,UAV-5G Blockchain Networks,0,60,0.0
cs,2000,69,Quantum Random Feature Sampling,0,60,0.0
cs,2000,70,GAN Attribute Editing,0,60,0.0
cs,2000,71,Cold Start Recommendation,0,60,0.0
cs,2000,72,Random Layer Mixup,0,60,0.0
cs,2000,73,Multimodal Semantic Forecasting,0,60,0.0
cs,2000,74,Pessimistic Reinforcement Learning,0,60,0.0
cs,2000,75,Abuse Intent Detection,0,60,0.0
cs,2000,76,Temporal Fact Verification,0,60,0.0
cs,2000,77,Interpretable Neural Architectures,0,60,0.0
cs,2000,78,Diffusion-Based Image Refinement,0,60,0.0
cs,2000,79,Dietary Supplement CA Systems,0,60,0.0
cs,2000,80,Self-Supervised Embodied Learning,0,60,0.0
cs,2000,81,Multilingual Image Captioning,1,60,0.016667
cs,2000,82,Human Feedback Modeling,0,60,0.0
cs,2000,83,Hybrid Grasp Metrics,0,60,0.0
cs,2000,84,Phoneme Granularity Contrastive Learning,0,60,0.0
cs,2000,85,Self-Supervised AST Pretraining,0,60,0.0
cs,2000,86,Multiset Hypergraph Learning,0,60,0.0
cs,2000,87,Domain-Generalization MOT,0,60,0.0
cs,2000,88,Cross-Modal Prototype Matching,0,60,0.0
cs,2000,89,Multilingual Entity Name Datasets,0,60,0.0
cs,2000,90,Self-Supervised Keypoint Detection,0,60,0.0
cs,2000,91,Neuromorphic CAD Systems,0,60,0.0
cs,2000,92,Point Cloud SSM Learning,0,60,0.0
cs,2000,93,Periodic Universal Audio Synthesis,0,60,0.0
cs,2000,94,Cross-Lingual Scene Text SR,0,60,0.0
cs,2000,95,Heat-Diffusion Generative Models,0,60,0.0
cs,2000,96,Cross-Modality Clue Integration,0,60,0.0
cs,2000,97,Compositional Attack Defense,0,60,0.0
cs,2000,98,Low-Resource Corpus Quality,1,60,0.016667
cs,2000,99,Carbon-Aware Scheduling,0,60,0.0
cs,2000,100,Nerf Privacy Poisoning,0,60,0.0
cs,2000,101,Range-Avoidance Circuit Complexity,0,60,0.0
cs,2000,102,Universal Language Translation,0,60,0.0
cs,2000,103,Concept Bank Expansion,0,60,0.0
cs,2000,104,Sketch-Based 3D Reconstruction,0,60,0.0
cs,2000,105,Algorithmic Power Dynamics,0,60,0.0
cs,2000,106,Memristor-LLM Integration,0,60,0.0
cs,2000,107,Latent Watermarking Systems,0,60,0.0
cs,2000,108,Gender Bias in MT Systems,0,60,0.0
cs,2000,109,Minecraft Planning Benchmarks,1,60,0.016667
cs,2000,110,LLM Ensemble Probability Fusion,0,60,0.0
cs,2000,111,Dynamic Scene Decomposition,0,60,0.0
cs,2000,112,Neural Spectral Continuation,0,60,0.0
cs,2000,113,Crowdsourced Attention Bias Mitigation,0,60,0.0
cs,2000,114,DP Multi-Sampling Approximation,0,60,0.0
cs,2000,115,GenAI in Education,0,60,0.0
cs,2000,116,Deformation-Based Diffusion Synthesis,0,60,0.0
cs,2000,117,Wildfire Multi-Agent Benchmarking,0,60,0.0
cs,2000,118,Parallel Decoding Strategies,0,60,0.0
cs,2000,119,Sparse Attention Distillation,0,60,0.0
cs,2000,120,Human-AI Co-Reasoning Benchmarks,0,60,0.0
cs,2000,121,Low-Resource Language Adaptation,0,60,0.0
cs,2000,122,Zero-Shot Lidar Completion,0,60,0.0
cs,2000,123,Vision-Language Model Compression,0,60,0.0
cs,2000,124,LLM Kernel Automatization,0,60,0.0
cs,2000,125,Pruning Impact Analysis,2,60,0.033333
cs,2000,126,Vision-Based Odometry Systems,0,60,0.0
cs,2000,127,Adversarial Motion Optimization,0,60,0.0
cs,2000,128,Neural Field Dataset Compression,0,60,0.0
cs,2000,129,EEG Foundation Model Taxonomy,0,60,0.0
cs,2000,130,Phenological Orchard Datasets,0,60,0.0
cs,2000,131,Multi-Style Diffusion Fusion,0,60,0.0
cs,2000,132,Embodied Affective Computing,0,60,0.0
cs,2000,133,Spiking Mamba Architectures,0,60,0.0
cs,2000,134,Prompt Adaptive Scaling,0,60,0.0
cs,2000,135,Multi-Layer Depth Ambiguity Resolution,0,60,0.0
cs,2000,136,Diffusion-Based Optimization Learning,0,60,0.0
cs,2000,137,Script Transliteration Systems,0,60,0.0
cs,2001,0,Web Text Database Classification,6,74,0.081081
cs,2001,1,AI Story Understanding,0,74,0.0
cs,2001,2,Novelty-Based Retrieval Evaluation,0,74,0.0
cs,2001,3,Predictor-Based Parsing,2,74,0.027027
cs,2001,4,Combinatorial Auction Optimization,2,74,0.027027
cs,2001,5,Variable Word Rate Modeling,1,74,0.013514
cs,2001,6,Multi-Channel Rate Distortion Optimization,0,74,0.0
cs,2001,7,Spatial-Textual Document Analysis,0,74,0.0
cs,2001,8,Conditional Rewriting Systems,3,74,0.040541
cs,2001,9,User Privacy Tools,2,74,0.027027
cs,2001,10,Spec-Language Compilation,6,74,0.081081
cs,2001,11,Distributed Object Store Coherence,4,74,0.054054
cs,2001,12,Planar Graph Encoding,3,74,0.040541
cs,2001,13,Resource Discovery Infrastructure,4,74,0.054054
cs,2001,14,Dynamic Topic Modeling,1,74,0.013514
cs,2001,15,Distributed Time-Stamped Key Archiving,1,74,0.013514
cs,2001,16,Graph Realization Theory,2,74,0.027027
cs,2001,17,Incremental Universal Search,0,74,0.0
cs,2001,18,Planning-Augmented RL,4,74,0.054054
cs,2001,19,Domain-Informed Sampling,0,74,0.0
cs,2001,20,Semantic Polarity Learning,0,74,0.0
cs,2001,21,Cross-Lingual Patent Retrieval,0,74,0.0
cs,2001,22,Context-Dependent Classification,0,74,0.0
cs,2001,23,Adaptive Motivation Learning,0,74,0.0
cs,2001,24,Monotone Hypergraph Transversals,1,74,0.013514
cs,2001,25,Catadioptric Projection Optimization,0,74,0.0
cs,2001,26,Epistemic Blame Theory,0,74,0.0
cs,2001,27,Runtime Monitoring Languages,0,74,0.0
cs,2001,28,Hypergraph Approximation Hardness,1,74,0.013514
cs,2001,29,AS Topology Modeling,1,74,0.013514
cs,2001,30,Single-Camera Gaze-Orientation Estimation,0,74,0.0
cs,2001,31,Dominating Set Approximation and Partial Order Episode Mining,1,74,0.013514
cs,2001,32,Nonlinear Rating Scaling,0,74,0.0
cs,2001,33,Decentralized Identity Networks,0,74,0.0
cs,2001,34,Succinct Model Representation,3,74,0.040541
cs,2001,35,Space-Time Coding Performance,0,74,0.0
cs,2001,36,MIMO Channel Optimization,0,74,0.0
cs,2001,37,Capacity-Aware Mechanism Design,1,74,0.013514
cs,2001,38,Intrinsic Dimension Analysis,0,74,0.0
cs,2001,39,Energy-Efficient Communication,0,74,0.0
cs,2001,40,Rate-Distortion Testing,0,74,0.0
cs,2001,41,Orthogonal Group Coding Theory,6,74,0.081081
cs,2001,42,Dual Code Gray Mapping,0,74,0.0
cs,2001,43,Valuation-Based Metrics,0,74,0.0
cs,2001,44,Monotone Search Games,2,74,0.027027
cs,2001,45,Dynamic Network Optimization,0,74,0.0
cs,2001,46,Finite Field Sparse Matrix Multiplication,1,74,0.013514
cs,2001,47,Kernel Herding Methods,0,74,0.0
cs,2001,48,Social Network Aggregation Dynamics,1,74,0.013514
cs,2001,49,Mobile Augmented Reality Systems,0,74,0.0
cs,2001,50,Differential Privacy Mechanisms,0,74,0.0
cs,2001,51,Real-Time Compression Systems,0,74,0.0
cs,2001,52,Edge-Cloud Deployment,0,74,0.0
cs,2001,53,Velocity-Aware Action Recognition,0,74,0.0
cs,2001,54,Cluttered Grasping Optimization,0,74,0.0
cs,2001,55,Visual Debugging Sequences,0,74,0.0
cs,2001,56,Compressed Data Detection,0,74,0.0
cs,2001,57,Sparse Weight Tuning Networks,0,74,0.0
cs,2001,58,Psychiatric Readmission Prediction,0,74,0.0
cs,2001,59,Domain Expert Usability AI,0,74,0.0
cs,2001,60,Cuboid Structure Recovery,0,74,0.0
cs,2001,61,Bandit Learning Games,1,74,0.013514
cs,2001,62,Characteristic-Driven Summarization,1,74,0.013514
cs,2001,63,Sub-Character MT Performance,0,74,0.0
cs,2001,64,Audio Prior Networks,0,74,0.0
cs,2001,65,Video Explainability Frameworks,0,74,0.0
cs,2001,66,Soft Channel Coding Exponents,1,74,0.013514
cs,2001,67,Millimeter Wave 5G Integration,1,74,0.013514
cs,2001,68,UAV-5G Blockchain Networks,0,74,0.0
cs,2001,69,Quantum Random Feature Sampling,0,74,0.0
cs,2001,70,GAN Attribute Editing,0,74,0.0
