subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
math,2000,386,124,91,0.362794,0.999122,0.532302
math,2001,401,124,97,0.341824,0.999072,0.509371
math,2002,428,124,103,0.388151,0.999149,0.559102
math,2003,514,124,102,0.35047,0.999158,0.518921
math,2004,615,124,111,0.359895,0.999203,0.529187
math,2005,696,124,114,0.342325,0.999356,0.509964
math,2006,821,124,114,0.344308,0.999196,0.51214
math,2007,966,124,120,0.371808,0.999088,0.541936
math,2008,993,124,121,0.334959,0.999326,0.501742
math,2009,1072,124,119,0.345712,0.99931,0.513707
math,2010,1219,124,122,0.344581,0.999295,0.512455
math,2011,1366,124,123,0.376544,0.999321,0.546984
math,2012,1505,124,122,0.363414,0.999014,0.532953
math,2013,1759,124,123,0.3851,0.999003,0.555907
math,2014,1852,124,123,0.390928,0.998907,0.561938
math,2015,2049,124,123,0.417779,0.998881,0.589149
math,2016,2174,124,123,0.410141,0.998856,0.581508
math,2017,2314,124,124,0.396172,0.99874,0.567309
math,2018,2437,124,124,0.414605,0.998767,0.585966
math,2019,2553,124,124,0.435271,0.99863,0.606283
math,2020,2797,124,124,0.435268,0.998518,0.606259
math,2021,2879,124,124,0.452505,0.99844,0.622765
math,2022,2872,124,124,0.432202,0.998358,0.603249
math,2023,3117,124,124,0.442542,0.998515,0.613279
math,2024,3814,124,124,0.466338,0.998378,0.63573
math,2025,5027,124,124,0.51017,0.997985,0.675186
