subject,year,topic_id,topic_label,doc_count,total_docs_year,proportion
math,2000,0,Mirror symmetry cohomology,12,247,0.048583
math,2000,1,Polynomial norm bounds,4,247,0.016194
math,2000,2,Yangian deformations,7,247,0.02834
math,2000,3,Multiplier ideals,6,247,0.024291
math,2000,4,Foliation theory,5,247,0.020243
math,2000,5,Clifford-algebra group theory,10,247,0.040486
math,2000,6,Hahn-Banach extensions,3,247,0.012146
math,2000,7,Quantum affine representations,11,247,0.044534
math,2000,8,Local cohomology monomial ideals,5,247,0.020243
math,2000,9,Pattern-avoiding permutations,2,247,0.008097
math,2000,10,Spectral amplitude relations,4,247,0.016194
math,2000,11,Quantum superalgebra structures,11,247,0.044534
math,2000,12,Geometric group theory equivalence,4,247,0.016194
math,2000,13,Knot move invariants,5,247,0.020243
math,2000,14,Fano variety bounds,9,247,0.036437
math,2000,15,Representability failure,1,247,0.004049
math,2000,16,Toric modular forms,4,247,0.016194
math,2000,17,Projective Galois group endomorphisms,7,247,0.02834
math,2000,18,Algebraic Hodge motives,4,247,0.016194
math,2000,19,Double plane structures,9,247,0.036437
math,2000,20,Random walk aging limits,0,247,0.0
math,2000,21,Random packing asymptotics,2,247,0.008097
math,2000,22,Einstein-Kähler metrics,6,247,0.024291
math,2000,23,Super Lie identity theorems,2,247,0.008097
math,2000,24,Fibre-space Hodge cohomology vanishing,11,247,0.044534
math,2000,25,Lamination geodesic convergence,1,247,0.004049
math,2000,26,Random heap dynamics,3,247,0.012146
math,2000,27,Noncommutative crepant resolutions,2,247,0.008097
math,2000,28,Numerical PDE error analysis,0,247,0.0
math,2000,29,Prime divisor asymptotics,0,247,0.0
math,2000,30,Fragmentation-coalescent processes,0,247,0.0
math,2000,31,Mirror symmetry i-functions,6,247,0.024291
math,2000,32,Siegel uniformity conjecture,6,247,0.024291
math,2000,33,Group embedding dimension bounds,1,247,0.004049
math,2000,34,Convex cone optimization,0,247,0.0
math,2000,35,Galois cohomology obstructions,1,247,0.004049
math,2000,36,Non-symplectic group actions,14,247,0.05668
math,2000,37,Hodge-Frobenius manifolds,15,247,0.060729
math,2000,38,Signed domination complexity,1,247,0.004049
math,2000,39,Reduced Khovanov homology,7,247,0.02834
math,2000,40,Contact manifold fillings,4,247,0.016194
math,2000,41,Martingale measure augmentation,1,247,0.004049
math,2000,42,Multizeta q-values,2,247,0.008097
math,2000,43,Pro pp group commensurability,3,247,0.012146
math,2000,44,n-ary bihom algebras,2,247,0.008097
math,2000,45,Non-smooth proximal gradient analysis,0,247,0.0
math,2000,46,Nonlocal diffusion regularity,0,247,0.0
math,2000,47,Extended hypergeometric functions,5,247,0.020243
math,2000,48,Quadratic Gorenstein ideals,3,247,0.012146
math,2000,49,Moduli sheaf operator theory,3,247,0.012146
math,2000,50,Singular Plateau Douglas Problem,2,247,0.008097
math,2000,51,Exponential family mirror descent,0,247,0.0
math,2000,52,Heavy-tail renewal mixing times,0,247,0.0
math,2000,53,Perfect divisibility graphs,0,247,0.0
math,2000,54,Operator regression acceleration,0,247,0.0
math,2000,55,Hardy space fractional operators,2,247,0.008097
math,2000,56,Hive-spectrum large deviations,5,247,0.020243
math,2000,57,Decentralized consensus topologies,0,247,0.0
math,2000,58,Fano threefold geometry,4,247,0.016194
math,2000,59,Fractional Maximal Operators,0,247,0.0
math,2000,60,Complete intersection foliations,6,247,0.024291
math,2000,61,Physics-informed synthetic data generation,0,247,0.0
math,2000,62,Operadic Kan extensions,4,247,0.016194
math,2001,0,Mirror symmetry cohomology,8,266,0.030075
math,2001,1,Polynomial norm bounds,3,266,0.011278
math,2001,2,Yangian deformations,8,266,0.030075
math,2001,3,Multiplier ideals,9,266,0.033835
math,2001,4,Foliation theory,3,266,0.011278
math,2001,5,Clifford-algebra group theory,15,266,0.056391
math,2001,6,Hahn-Banach extensions,3,266,0.011278
math,2001,7,Quantum affine representations,6,266,0.022556
math,2001,8,Local cohomology monomial ideals,3,266,0.011278
math,2001,9,Pattern-avoiding permutations,5,266,0.018797
math,2001,10,Spectral amplitude relations,7,266,0.026316
math,2001,11,Quantum superalgebra structures,4,266,0.015038
math,2001,12,Geometric group theory equivalence,8,266,0.030075
math,2001,13,Knot move invariants,14,266,0.052632
math,2001,14,Fano variety bounds,3,266,0.011278
math,2001,15,Representability failure,1,266,0.003759
math,2001,16,Toric modular forms,5,266,0.018797
math,2001,17,Projective Galois group endomorphisms,6,266,0.022556
math,2001,18,Algebraic Hodge motives,5,266,0.018797
math,2001,19,Double plane structures,15,266,0.056391
math,2001,20,Random walk aging limits,3,266,0.011278
math,2001,21,Random packing asymptotics,3,266,0.011278
math,2001,22,Einstein-Kähler metrics,9,266,0.033835
math,2001,23,Super Lie identity theorems,7,266,0.026316
math,2001,24,Fibre-space Hodge cohomology vanishing,8,266,0.030075
math,2001,25,Lamination geodesic convergence,1,266,0.003759
math,2001,26,Random heap dynamics,2,266,0.007519
math,2001,27,Noncommutative crepant resolutions,3,266,0.011278
math,2001,28,Numerical PDE error analysis,1,266,0.003759
math,2001,29,Prime divisor asymptotics,0,266,0.0
math,2001,30,Fragmentation-coalescent processes,1,266,0.003759
math,2001,31,Mirror symmetry i-functions,3,266,0.011278
math,2001,32,Siegel uniformity conjecture,2,266,0.007519
math,2001,33,Group embedding dimension bounds,1,266,0.003759
math,2001,34,Convex cone optimization,0,266,0.0
math,2001,35,Galois cohomology obstructions,10,266,0.037594
math,2001,36,Non-symplectic group actions,13,266,0.048872
math,2001,37,Hodge-Frobenius manifolds,10,266,0.037594
math,2001,38,Signed domination complexity,2,266,0.007519
math,2001,39,Reduced Khovanov homology,2,266,0.007519
math,2001,40,Contact manifold fillings,5,266,0.018797
math,2001,41,Martingale measure augmentation,0,266,0.0
math,2001,42,Multizeta q-values,3,266,0.011278
math,2001,43,Pro pp group commensurability,4,266,0.015038
math,2001,44,n-ary bihom algebras,4,266,0.015038
math,2001,45,Non-smooth proximal gradient analysis,0,266,0.0
math,2001,46,Nonlocal diffusion regularity,0,266,0.0
math,2001,47,Extended hypergeometric functions,5,266,0.018797
math,2001,48,Quadratic Gorenstein ideals,8,266,0.030075
math,2001,49,Moduli sheaf operator theory,5,266,0.018797
math,2001,50,Singular Plateau Douglas Problem,1,266,0.003759
math,2001,51,Exponential family mirror descent,0,266,0.0
math,2001,52,Heavy-tail renewal mixing times,0,266,0.0
math,2001,53,Perfect divisibility graphs,0,266,0.0
math,2001,54,Operator regression acceleration,0,266,0.0
math,2001,55,Hardy space fractional operators,0,266,0.0
math,2001,56,Hive-spectrum large deviations,0,266,0.0
math,2001,57,Decentralized consensus topologies,0,266,0.0
math,2001,58,Fano threefold geometry,8,266,0.030075
math,2001,59,Fractional Maximal Operators,0,266,0.0
math,2001,60,Complete intersection foliations,9,266,0.033835
math,2001,61,Physics-informed synthetic data generation,0,266,0.0
math,2001,62,Operadic Kan extensions,2,266,0.007519
math,2002,0,Mirror symmetry cohomology,7,282,0.024823
math,2002,1,Polynomial norm bounds,5,282,0.01773
math,2002,2,Yangian deformations,9,282,0.031915
math,2002,3,Multiplier ideals,4,282,0.014184
math,2002,4,Foliation theory,4,282,0.014184
math,2002,5,Clifford-algebra group theory,7,282,0.024823
math,2002,6,Hahn-Banach extensions,5,282,0.01773
math,2002,7,Quantum affine representations,13,282,0.046099
math,2002,8,Local cohomology monomial ideals,8,282,0.028369
math,2002,9,Pattern-avoiding permutations,9,282,0.031915
math,2002,10,Spectral amplitude relations,5,282,0.01773
math,2002,11,Quantum superalgebra structures,9,282,0.031915
math,2002,12,Geometric group theory equivalence,7,282,0.024823
math,2002,13,Knot move invariants,4,282,0.014184
math,2002,14,Fano variety bounds,6,282,0.021277
math,2002,15,Representability failure,1,282,0.003546
math,2002,16,Toric modular forms,10,282,0.035461
math,2002,17,Projective Galois group endomorphisms,9,282,0.031915
math,2002,18,Algebraic Hodge motives,1,282,0.003546
math,2002,19,Double plane structures,9,282,0.031915
math,2002,20,Random walk aging limits,2,282,0.007092
math,2002,21,Random packing asymptotics,1,282,0.003546
math,2002,22,Einstein-Kähler metrics,8,282,0.028369
math,2002,23,Super Lie identity theorems,7,282,0.024823
math,2002,24,Fibre-space Hodge cohomology vanishing,11,282,0.039007
math,2002,25,Lamination geodesic convergence,2,282,0.007092
math,2002,26,Random heap dynamics,1,282,0.003546
math,2002,27,Noncommutative crepant resolutions,5,282,0.01773
math,2002,28,Numerical PDE error analysis,0,282,0.0
math,2002,29,Prime divisor asymptotics,1,282,0.003546
math,2002,30,Fragmentation-coalescent processes,1,282,0.003546
math,2002,31,Mirror symmetry i-functions,5,282,0.01773
math,2002,32,Siegel uniformity conjecture,3,282,0.010638
math,2002,33,Group embedding dimension bounds,0,282,0.0
math,2002,34,Convex cone optimization,0,282,0.0
math,2002,35,Galois cohomology obstructions,4,282,0.014184
math,2002,36,Non-symplectic group actions,18,282,0.06383
math,2002,37,Hodge-Frobenius manifolds,7,282,0.024823
math,2002,38,Signed domination complexity,3,282,0.010638
math,2002,39,Reduced Khovanov homology,7,282,0.024823
math,2002,40,Contact manifold fillings,3,282,0.010638
