subject,topic_id,topic_label,top_words,total_docs,first_year,last_year,early_proportion,late_proportion,slope,r_squared,p_value,trend
math,0,Mirror symmetry cohomology,"mathbb, varieties, cohomology, mirror, mathrm",574,2000,2025,0.029793,0.0173,-0.0007406,0.4952,6e-05,DECLINING
math,1,Polynomial norm bounds,"eigenvalue, inequalities, steklov, laplacian, inequality",587,2000,2025,0.013196,0.019785,0.00042036,0.2818,0.005268,GROWING
math,2,Yangian deformations,"mathfrak, mathcal, gl, algebras, bethe",345,2000,2025,0.025399,0.010061,-0.00059853,0.386,0.000706,DECLINING
math,3,Multiplier ideals,"mathcal, ct, quot, sheaves, tautological",421,2000,2025,0.022146,0.010787,-0.00057073,0.478,9.2e-05,DECLINING
math,4,Foliation theory,"anosov, hyperbolic, foliations, group, mathbb",401,2000,2025,0.016358,0.011941,-0.00026453,0.328,0.002228,DECLINING
math,5,Clifford-algebra group theory,"algebras, algebra, mathbb, group, mathfrak",557,2000,2025,0.033714,0.01443,-0.00083687,0.4374,0.000234,DECLINING
math,6,Hahn-Banach extensions,"banach, cdot, spaces, algebras, mathbb",382,2000,2025,0.015171,0.008298,-0.00026096,0.2134,0.017507,DECLINING
math,7,Quantum affine representations,"quantum, mathbb, algebras, gl, mathfrak",455,2000,2025,0.036401,0.010933,-0.00108888,0.5364,2.1e-05,DECLINING
math,8,Local cohomology monomial ideals,"ideals, monomial, operatorname, rings, ideal",427,2000,2025,0.020055,0.010909,-0.00045289,0.3575,0.001255,DECLINING
math,9,Pattern-avoiding permutations,"graph, graphs, trees, ex, permutations",712,2000,2025,0.017958,0.022835,0.00018521,0.0648,0.209332,STABLE
math,10,Spectral amplitude relations,"operators, spectral, potentials, dinger, schr",528,2000,2025,0.022793,0.012265,-0.00051385,0.4357,0.000244,DECLINING
math,11,Quantum superalgebra structures,"mathfrak, sl, algebra, quantum, widehat",410,2000,2025,0.0241,0.01278,-0.00048769,0.2269,0.013887,DECLINING
math,12,Geometric group theory equivalence,"groups, group, subgroups, subgroup, textsf",849,2000,2025,0.025984,0.023427,-0.00025317,0.0996,0.116282,STABLE
math,13,Knot move invariants,"knots, knot, links, mathbb, homology",533,2000,2025,0.025765,0.012394,-0.00069811,0.3152,0.00284,DECLINING
math,14,Fano variety bounds,"fano, mathbb, bundles, mathcal, rc",336,2000,2025,0.018741,0.010382,-0.00037803,0.2243,0.014537,DECLINING
math,15,Representability failure,"categories, category, bolda, triangulated, mathcal",330,2000,2025,0.004939,0.010633,0.00019084,0.1583,0.044133,GROWING
math,16,Toric modular forms,"modular, mathbb, selmer, forms, curves",523,2000,2025,0.02119,0.015306,-0.00024384,0.1536,0.047714,DECLINING
math,17,Projective Galois group endomorphisms,"mathbb, mathrm, mathbf, rm, gl",714,2000,2025,0.02735,0.019805,-0.00034243,0.1719,0.035182,DECLINING
math,18,Algebraic Hodge motives,"hodge, motivic, cohomology, motives, varieties",304,2000,2025,0.012139,0.008444,-0.00018145,0.1235,0.078273,STABLE
math,19,Double plane structures,"surfaces, mathbb, surface, curves, genus",925,2000,2025,0.038011,0.027596,-0.00064333,0.3111,0.003072,DECLINING
math,20,Random walk aging limits,"mathbb, dinger, schr, ell, estimates",321,2001,2025,0.007487,0.01016,0.00028957,0.3037,0.003522,GROWING
