subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
physics,2000,134,74,41,0.626852,0.99833,0.770136
physics,2001,125,74,44,0.592235,0.998413,0.743465
physics,2002,142,74,51,0.630607,0.997751,0.772789
physics,2003,140,74,51,0.625401,0.998659,0.769137
physics,2004,209,74,54,0.602092,0.99793,0.751047
physics,2005,240,74,58,0.519757,0.997763,0.683476
physics,2006,326,74,65,0.529055,0.997611,0.69143
physics,2007,344,74,67,0.514823,0.997613,0.679161
physics,2008,377,74,68,0.460503,0.99672,0.629955
physics,2009,475,74,71,0.475524,0.996799,0.643883
physics,2010,612,74,74,0.492873,0.99555,0.659328
physics,2011,783,74,74,0.443967,0.994333,0.613851
physics,2012,894,74,73,0.468894,0.994985,0.637406
physics,2013,1058,74,74,0.500198,0.993749,0.665447
physics,2014,1216,74,74,0.469787,0.991919,0.637599
physics,2015,1275,74,74,0.47364,0.991957,0.641145
physics,2016,1408,74,74,0.496489,0.991905,0.661747
physics,2017,1476,74,74,0.49669,0.991654,0.661869
physics,2018,1638,74,74,0.507139,0.98982,0.670662
physics,2019,1733,74,74,0.514547,0.991536,0.677508
physics,2020,2096,74,74,0.518547,0.989461,0.680476
physics,2021,2030,74,74,0.525098,0.986959,0.68549
physics,2022,2031,74,74,0.522853,0.987909,0.683802
physics,2023,2094,74,74,0.526547,0.987024,0.68674
physics,2024,2478,74,74,0.538408,0.987891,0.696965
physics,2025,3173,74,74,0.58695,0.98709,0.736159
