subject,year,topic_id,topic_label,doc_count,total_docs_year,proportion
physics,2000,0,Quantum Field Effects,6,458,0.0131
physics,2000,1,Plasma Beam Interactions,13,458,0.028384
physics,2000,2,Uncertainty Propagation,1,458,0.002183
physics,2000,3,Quantum Corrections,21,458,0.045852
physics,2000,4,Newtonian Geometric Gravity,7,458,0.015284
physics,2000,5,DNA Conformational Dynamics,6,458,0.0131
physics,2000,6,Bell-Inequality Tests,5,458,0.010917
physics,2000,7,Optical Trapping Cooling,8,458,0.017467
physics,2000,8,Electrode Dynamics,3,458,0.00655
physics,2000,9,Nonlinear Harmonic Generation,2,458,0.004367
physics,2000,10,Quantum Tunneling Dynamics,9,458,0.019651
physics,2000,11,Photon Path Dynamics,3,458,0.00655
physics,2000,12,Fermi Gas Stability,8,458,0.017467
physics,2000,13,Molecular Absorption Precision,3,458,0.00655
physics,2000,14,Lanczos Eigenvalue Methods,4,458,0.008734
physics,2000,15,Low-Reynolds Hysteresis,2,458,0.004367
physics,2000,16,RF Cavity Optimization,0,458,0.0
physics,2000,17,Coherent Structure Modeling,1,458,0.002183
physics,2000,18,Free Electron Laser Synchrotron,48,458,0.104803
physics,2000,19,Algebraic Products and Angular Momentum Separation,5,458,0.010917
physics,2000,20,Deforming Reference Frame Dynamics,2,458,0.004367
physics,2000,21,Oscillator Radiation Theory,2,458,0.004367
physics,2000,22,Rotating Flow Dynamics,11,458,0.024017
physics,2000,23,Optical Logic Gates,2,458,0.004367
physics,2000,24,Nonlinear Mode Locking,3,458,0.00655
physics,2000,25,Proton Stopping Dynamics,5,458,0.010917
physics,2000,26,Magnetic Field Symmetry Breaking,6,458,0.0131
physics,2000,27,Fractal Permeability,2,458,0.004367
physics,2000,28,Beam Polarization Advances,7,458,0.015284
physics,2000,29,Micromaser Dynamics,2,458,0.004367
physics,2000,30,Nonlinear Breather Dynamics,4,458,0.008734
physics,2000,31,Criticality Dynamics,4,458,0.008734
physics,2000,32,Stochastic Tunneling Optimization,0,458,0.0
physics,2000,33,Pixel Detector Calibration,4,458,0.008734
physics,2000,34,Parallel Lattice Computing,1,458,0.002183
physics,2000,35,Pulse-Level Beam Feedback,29,458,0.063319
physics,2000,36,Mass-Energy Relationships,8,458,0.017467
physics,2000,37,Thin-Film Hydrodynamics,3,458,0.00655
physics,2000,38,Diffraction-Based Atomic Interference,2,458,0.004367
physics,2000,39,Anomalous Scaling Turbulence,4,458,0.008734
physics,2000,40,High-Order Turbulence Moments,3,458,0.00655
physics,2000,41,Soliton-Based Information Transport,0,458,0.0
physics,2000,42,Methane Dissociation Dynamics,1,458,0.002183
physics,2000,43,Graphene Defect Dynamics,0,458,0.0
physics,2000,44,Thermal Fluorescence Dynamics,5,458,0.010917
physics,2000,45,Polymer Entropic Mechanics,5,458,0.010917
physics,2000,46,Gravitational-Wave Absorption Dynamics,5,458,0.010917
physics,2000,47,Radial Current Discharge Dynamics,7,458,0.015284
physics,2000,48,Bimetallic Cluster Magnetism,6,458,0.0131
physics,2000,49,Turbid Media Imaging,2,458,0.004367
physics,2000,50,Stellar Pulsation Instability,1,458,0.002183
physics,2000,51,HHG Control Mechanisms,1,458,0.002183
physics,2000,52,Polymer Translocation Dynamics,1,458,0.002183
physics,2000,53,Turbulent Flow Tracking,0,458,0.0
physics,2000,54,Photon Statistics Cavities,0,458,0.0
physics,2000,55,Multiphoton Coherent Control,1,458,0.002183
physics,2000,56,Accelerator Control Migration,5,458,0.010917
physics,2000,57,Nonlinear Noise Spectra,1,458,0.002183
physics,2000,58,Three-Body Virtual States,5,458,0.010917
physics,2000,59,Ferromagnetic Gravitational Sensors,4,458,0.008734
physics,2000,60,Light-Matter Coupling Dynamics,1,458,0.002183
physics,2000,61,Borromean Stability,2,458,0.004367
physics,2000,62,Relativistic Common Sense,3,458,0.00655
physics,2000,63,Mirror Matter Phenomena,1,458,0.002183
physics,2000,64,Pedagogical Reasoning Frameworks,1,458,0.002183
physics,2000,65,Gravitational Charged-Particle Dynamics,0,458,0.0
physics,2000,66,Phase Error Correction,0,458,0.0
physics,2000,67,Tubular Polymer Conformation,2,458,0.004367
physics,2000,68,Near-Field Optical Transmission,0,458,0.0
physics,2000,69,Macroscopic Quantum Collapse,0,458,0.0
physics,2000,70,Photonic Molecule Design,1,458,0.002183
physics,2000,71,Coherent Image Reconstruction,0,458,0.0
physics,2000,72,Coherent Medium Amplification,1,458,0.002183
physics,2000,73,Chaotic Flow Dynamics,1,458,0.002183
physics,2000,74,Nonlinear Flagellar Dynamics,2,458,0.004367
physics,2000,75,Taylor-Couette Axial Flow Dynamics,2,458,0.004367
physics,2000,76,Chaotic Dynamo Reversals,4,458,0.008734
physics,2000,77,Nonlinear Scattering Dynamics,2,458,0.004367
physics,2000,78,Tokamak Flow Barriers,6,458,0.0131
physics,2000,79,Forbidden Transition Spectroscopy,4,458,0.008734
physics,2000,80,Bipartite Matching Dynamics,0,458,0.0
physics,2000,81,Axion Solar Search,0,458,0.0
physics,2000,82,Solvation Dynamics,0,458,0.0
physics,2000,83,Laser-Induced Photon Polarization,5,458,0.010917
physics,2000,84,Seismic Network Analysis,2,458,0.004367
