word,category,slope,r_squared,early_avg,late_avg,overall_avg,first_year,n_present
mathbb,emerging,0.00124188,0.9017,0.0094,0.029837,0.019209,2000,26
mathcal,emerging,0.0008735,0.9189,0.0057,0.019762,0.012451,2000,26
mathrm,emerging,0.00039321,0.8973,0.000861,0.007052,0.003707,2002,24
frac,emerging,0.00035659,0.9255,0.003364,0.009036,0.006189,2000,26
optimization,emerging,0.00034676,0.9166,0.001008,0.006265,0.003521,2000,25
method,emerging,0.00032,0.8939,0.007342,0.012568,0.009949,2000,26
time,emerging,0.00031164,0.9362,0.008092,0.012866,0.010535,2000,26
optimal,emerging,0.00031052,0.9685,0.003164,0.007882,0.005512,2000,26
control,emerging,0.00029478,0.9563,0.002339,0.006939,0.004597,2000,26
numerical,emerging,0.00028798,0.9485,0.003305,0.007855,0.005573,2000,26
convergence,emerging,0.00028729,0.9685,0.003715,0.008122,0.005936,2000,26
data,emerging,0.00028369,0.9379,0.004129,0.008409,0.006187,2000,26
problem,emerging,0.000271,0.8998,0.010828,0.015156,0.013043,2000,26
stochastic,emerging,0.00026373,0.9036,0.00344,0.007338,0.005509,2000,26
learning,emerging,0.00026268,0.7847,0.000296,0.004099,0.002003,2002,23
problems,emerging,0.00025506,0.9158,0.005266,0.00939,0.007412,2000,26
varepsilon,emerging,0.00025324,0.8909,0.000279,0.004326,0.002251,2008,17
mathfrak,emerging,0.00024617,0.7992,0.001687,0.005861,0.003724,2000,25
model,emerging,0.00024165,0.9224,0.008527,0.012341,0.01044,2000,26
graph,emerging,0.00023384,0.8377,0.006264,0.009873,0.008213,2000,26
study,stable,-7.7e-07,0.0004,0.011149,0.01117,0.011142,2000,26
non,stable,-1.566e-05,0.0601,0.012425,0.012308,0.012294,2000,26
number,stable,6.93e-06,0.0058,0.010999,0.01117,0.011074,2000,26
new,stable,3.29e-06,0.0058,0.010148,0.010196,0.010188,2000,26
paper,stable,-4.819e-05,0.5078,0.014447,0.013762,0.014161,2000,26
results,stable,3.694e-05,0.4522,0.012264,0.012843,0.012582,2000,26
result,stable,-9.77e-06,0.0306,0.00958,0.009392,0.009512,2000,26
function,stable,2.958e-05,0.1359,0.010956,0.011477,0.011224,2000,26
prove,stable,-6.42e-05,0.6606,0.013973,0.012962,0.013525,2000,26
set,stable,2.685e-05,0.1783,0.009681,0.010223,0.010042,2000,26
type,stable,-4.26e-05,0.3442,0.011062,0.010531,0.010799,2000,26
functions,stable,-7.403e-05,0.45,0.012992,0.012159,0.012604,2000,26
finite,stable,-8.127e-05,0.6089,0.013411,0.012176,0.012805,2000,26
local,stable,1.281e-05,0.0146,0.007399,0.007732,0.007561,2000,26
random,stable,4.079e-05,0.0637,0.008696,0.009048,0.009027,2000,26
positive,stable,2.61e-06,0.0017,0.006459,0.006531,0.006554,2000,26
case,stable,-5.91e-05,0.7318,0.010442,0.009588,0.010007,2000,26
point,stable,-1.435e-05,0.0564,0.00709,0.007026,0.007092,2000,26
spaces,stable,-8.591e-05,0.4472,0.012113,0.01094,0.011526,2000,26
systems,stable,5.024e-05,0.3662,0.008615,0.009356,0.00893,2000,26
algebras,decaying,-0.00048368,0.8202,0.015248,0.008284,0.011495,2000,26
algebra,decaying,-0.00047318,0.9246,0.014504,0.007499,0.010872,2000,26
group,decaying,-0.00041266,0.9413,0.018021,0.011584,0.014716,2000,26
manifolds,decaying,-0.00033566,0.8028,0.01108,0.006133,0.008403,2000,26
lie,decaying,-0.00033303,0.8561,0.010331,0.005347,0.007665,2000,26
quantum,decaying,-0.00032897,0.6005,0.010095,0.005499,0.007458,2000,26
groups,decaying,-0.00028219,0.8872,0.014749,0.010362,0.012531,2000,26
complex,decaying,-0.00025937,0.7476,0.010746,0.006987,0.008671,2000,26
manifold,decaying,-0.00025178,0.7488,0.008581,0.004884,0.006564,2000,26
cohomology,decaying,-0.00025032,0.8036,0.007417,0.00356,0.00536,2000,26
theory,decaying,-0.00023522,0.7334,0.014282,0.010816,0.012372,2000,26
space,decaying,-0.00021283,0.874,0.015973,0.013027,0.014475,2000,26
algebraic,decaying,-0.00021212,0.7625,0.008848,0.005609,0.007029,2000,26
invariants,decaying,-0.00020295,0.7081,0.006172,0.003141,0.004545,2000,26
geometry,decaying,-0.00019568,0.7577,0.007052,0.004132,0.005408,2000,26
symplectic,decaying,-0.00019248,0.7649,0.005547,0.002759,0.004028,2000,26
hopf,decaying,-0.00019084,0.7013,0.004607,0.001798,0.003069,2000,26
invariant,decaying,-0.00019031,0.6891,0.008246,0.005493,0.00677,2000,26
varieties,decaying,-0.00017978,0.5981,0.006319,0.003846,0.004918,2000,26
let,decaying,-0.00017848,0.9697,0.008514,0.005757,0.007175,2000,26
