subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,learning,emerging,8,8,2018,26,30.8,27,3.38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 4, 4, 3, 6, 5]",··················████████
physics,imaging,emerging,13,17,2013,26,65.4,21,1.24,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1]",··█······███·█████████████
physics,neural,emerging,8,8,2018,26,30.8,14,1.75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4, 1, 2, 2, 1]",··················████████
physics,based,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,network,emerging,21,22,2005,26,84.6,62,2.82,"[0, 0, 0, 1, 0, 2, 3, 1, 4, 4, 5, 3, 5, 2, 3, 3, 3, 3, 2, 5, 3, 3, 2, 1, 1, 3]",···█·█████████████████████
physics,high,emerging,8,11,2018,26,42.3,17,1.55,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 1, 3, 1, 1, 3]",█············█··█·████████
physics,materials,emerging,8,11,2018,26,42.3,25,2.27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 3, 2, 2, 4, 4, 2, 4]",··········██····█·████████
physics,demonstrate,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,performance,emerging,2,5,2013,26,19.2,7,1.4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1]",·············██····█····██
physics,networks,emerging,22,22,2004,26,84.6,60,2.73,"[0, 0, 0, 0, 1, 1, 2, 3, 1, 2, 5, 4, 3, 4, 3, 4, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3]",····██████████████████████
physics,machine,emerging,5,6,2021,26,23.1,9,1.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 3]",···················█·█████
physics,models,emerging,8,11,2018,26,42.3,14,1.27,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 3, 1, 1, 1]",········█····██···████████
physics,optical,emerging,26,26,2000,26,100.0,234,9.0,"[2, 1, 4, 4, 3, 1, 3, 5, 3, 7, 7, 12, 8, 10, 15, 16, 11, 12, 14, 13, 13, 16, 16, 13, 13, 12]",██████████████████████████
physics,deep,emerging,1,2,2018,26,7.7,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",··················█··█····
physics,mathrm,emerging,7,15,2019,26,57.7,27,1.8,"[0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 0, 2, 1, 3, 1, 4, 1, 5]",····███···█··███·█·███████
physics,topological,emerging,12,15,2014,26,57.7,35,2.33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1, 2, 3, 3, 4, 4, 2, 3, 3, 4]",··········███·████████████
physics,work,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,data,emerging,10,13,2016,26,50.0,26,2.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 2, 1, 2, 4, 3, 2, 2, 4]",█········█·█····██████████
physics,quantum,emerging,26,26,2000,26,100.0,256,9.85,"[3, 3, 4, 1, 2, 4, 3, 5, 4, 5, 9, 11, 12, 13, 12, 12, 12, 13, 16, 14, 16, 17, 16, 16, 15, 18]",██████████████████████████
physics,flow,emerging,22,23,2004,26,88.5,77,3.35,"[1, 0, 0, 0, 1, 3, 4, 4, 3, 4, 4, 4, 2, 5, 3, 3, 4, 4, 4, 3, 5, 3, 3, 3, 3, 4]",█···██████████████████████
physics,energy,stable,21,23,2005,26,88.5,61,2.65,"[1, 0, 0, 1, 0, 2, 1, 2, 2, 1, 1, 3, 1, 4, 6, 7, 3, 4, 3, 3, 1, 2, 2, 5, 3, 3]",█··█·█████████████████████
physics,results,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
