doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,min_docs,ngram_range,max_features,coherence,irbo
0,31,Criticality Dynamics,0.5583571791648865,48,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
2,101,Laser-Plasma Acceleration,0.5587064623832703,233,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
5,0,Quantum Field Effects,0.550125002861023,1,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
6,35,Pulse-Level Beam Feedback,0.5519564747810364,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
11,18,Free Electron Laser Synchrotron,0.5803760290145874,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
12,12,Fermi Gas Stability,0.5070053339004517,18,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
14,154,Meta-Physical Foundations,0.5072211027145386,388,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
19,22,Rotating Flow Dynamics,0.504738986492157,36,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
20,121,Singularity Reinterpretation,0.6148746013641357,290,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
21,58,Three-Body Virtual States,0.5101792812347412,121,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
23,76,Chaotic Dynamo Reversals,0.5748836994171143,177,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
24,185,Rydberg Excitation Dynamics,0.6486170887947083,490,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
28,108,Gaussian Basis Optimization,0.59556645154953,258,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
29,108,Gaussian Basis Optimization,0.5423299074172974,258,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
30,51,HHG Control Mechanisms,0.600726842880249,93,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
31,83,Laser-Induced Photon Polarization,0.6269888281822205,192,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
35,18,Free Electron Laser Synchrotron,0.6015253067016602,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
39,34,Parallel Lattice Computing,0.7482127547264099,51,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
44,86,Cosmic Thermodynamics,0.6427213549613953,199,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
45,35,Pulse-Level Beam Feedback,0.6379504203796387,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
47,83,Laser-Induced Photon Polarization,0.5531777143478394,192,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
50,48,Bimetallic Cluster Magnetism,0.5059834718704224,84,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
51,24,Nonlinear Mode Locking,0.614025354385376,38,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
53,35,Pulse-Level Beam Feedback,0.5720585584640503,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
54,3,Quantum Corrections,0.5520533919334412,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
58,18,Free Electron Laser Synchrotron,0.5349071621894836,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
62,7,Optical Trapping Cooling,0.6545882225036621,12,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
66,18,Free Electron Laser Synchrotron,0.5257620811462402,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
67,35,Pulse-Level Beam Feedback,0.7176806330680847,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
68,1,Plasma Beam Interactions,0.5610769391059875,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
69,131,Stochastic Dynamics Simulation,0.6290290951728821,325,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
70,73,Chaotic Flow Dynamics,0.5237106084823608,168,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
73,36,Mass-Energy Relationships,0.515029788017273,55,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
76,171,Quantum Contextuality Foundations,0.6471383571624756,452,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
77,44,Thermal Fluorescence Dynamics,0.5700618624687195,77,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
80,62,Relativistic Common Sense,0.5809757709503174,129,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
83,98,Polycyclic Aromatic Dimer Configurations,0.6157805919647217,221,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
85,130,Bessel Pulse Dynamics,0.5961070656776428,321,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
88,39,Anomalous Scaling Turbulence,0.7560095191001892,66,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
90,3,Quantum Corrections,0.5841476321220398,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
92,101,Laser-Plasma Acceleration,0.5884632468223572,233,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
94,132,Self-Organized Cooperation,0.5729516744613647,326,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
